"Time","body.phi","inertia.phi","inertia.w","prismatic.s","prismatic.v","revolute.w"
0,0,0,0,1,0,0
0.0040000000000000001,-9.514805263527547e-07,1.2860120335367365e-05,0.0059075561683007011,1.0000000000002496,3.1962130095544177e-10,-0.00063407388839336091
0.0080000000000000002,-5.6424824404802995e-06,4.5379814012332034e-05,0.010261737760836142,1.0000000000076175,4.459325776700348e-09,-0.0017388673451798739
0.012,-1.4964932773761804e-05,9.4615727911631051e-05,0.014340062856822869,1.0000000000474012,1.7112247458753617e-08,-0.0029272536795289313
0.016,-2.9077632097891081e-05,0.00016004382013655601,0.0183698961075709,1.0000000001590419,4.0608666979080622e-08,-0.004130334511808516
0.02,-4.8009385798774492e-05,0.00024156903289702063,0.022392477031701882,1.0000000003878724,7.579163912564562e-08,-0.0053356130173945202
0.024,-7.1763668800660195e-05,0.00033917989891795488,0.026412779938707068,1.0000000007813368,1.2293882295231557e-07,-0.0065415818285958069
0.028000000000000001,-0.00010034190326935683,0.00045287172500700916,0.030432840741073663,1.0000000013875368,1.8215770551344056e-07,-0.0077476240006856857
0.032000000000000001,-0.00013374433185709352,0.00058264371034611048,0.034453006807346684,1.0000000022548132,2.5348830857839881e-07,-0.0089536342685921349
0.036000000000000004,-0.0001719708813087466,0.00072849609658073757,0.038473173330450153,1.0000000034316319,3.3693680435714249e-07,-0.010159644389747303
0.040000000000000001,-0.00021502153333397011,0.00089042894392756216,0.042493314177692101,1.0000000049664817,4.3250511751534058e-07,-0.011365662280371749
0.043999999999999997,-0.00026289628022211438,0.0010684422776679481,0.04651341837209523,1.0000000069078512,5.4019537916650127e-07,-0.012571691263852106
0.048000000000000001,-0.00031559513550190419,0.0012625360529689182,0.050533505351496637,1.0000000093042274,6.6001058797542144e-07,-0.013777725446754098
0.052000000000000005,-0.00037311810762759865,0.0014727102415400845,0.054553587352028081,1.0000000122041146,7.9194931745731908e-07,-0.014983761116456615
0.056000000000000001,-0.00043546520354845468,0.0016989648201673935,0.058573674421044372,1.0000000156560092,9.3601225017054297e-07,-0.016189795224432268
0.059999999999999998,-0.00050263643096160114,0.0019412997631548599,0.0625937776809289,1.0000000197084071,1.0921998378278536e-06,-0.01739582439628154
0.064000000000000001,-0.00057463177862992674,0.0021997151070301188,0.066613881243370962,1.0000000244098051,1.260512106503903e-06,-0.018601853441152102
0.068000000000000005,-0.00065145124241442289,0.0024742108649918248,0.070633979346712256,1.0000000298087006,1.44094921651743e-06,-0.019807884100058824
0.072000000000000008,-0.00073309482807676558,0.0027647870176985474,0.074654080354305832,1.0000000359535901,1.6335115154355533e-06,-0.021013913834476924
0.075999999999999998,-0.00081956253469010266,0.003071443567463558,0.07867418320252681,1.0000000428929727,1.8381986432612829e-06,-0.022219942960243211
0.080000000000000002,-0.00091085435999368938,0.0033941805206441776,0.082694285044234636,1.0000000506753499,2.0550096127236185e-06,-0.023425972331705847
0.084000000000000005,-0.0010069703047826063,0.0037329978743331901,0.086714387118157557,1.0000000593492182,2.2839448735780965e-06,-0.02463200156953349
0.087999999999999995,-0.0011079103686515279,0.0040878956290234707,0.090734489141360106,1.000000068963075,2.5250043640331301e-06,-0.025838030752794346
0.091999999999999998,-0.0012136745509698785,0.0044588737836790352,0.094754591300430541,1.0000000795654167,2.7781884058950747e-06,-0.027044059809094835
0.096000000000000002,-0.0013242628514070229,0.0048459323392997028,0.098774693156747279,1.0000000912047424,3.0434968101777357e-06,-0.028250088867725349
0.10000000000000001,-0.0014396752695312372,0.0052490712961991764,0.10279479448240006,1.0000001039295494,3.3209295600448118e-06,-0.029456117990003725
0.10400000000000001,-0.0015599118049107988,0.0056682906546911566,0.10681489504947868,1.0000001177883358,3.6104866386600017e-06,-0.030662147237247802
0.108,-0.0016849724571139841,0.0061035904150893465,0.11083499463007292,1.0000001328295991,3.9121680291870015e-06,-0.031868176670775419
0.112,-0.0018148572257090704,0.0065549705777074498,0.11485509299627257,1.0000001491018373,4.225973714789516e-06,-0.03307420635190441
0.11600000000000001,-0.0019495661098154024,0.0070224311374289545,0.11887519166341776,1.0000001666535472,4.5519038304031158e-06,-0.034280235795487564
0.12,-0.0020890991087985531,0.0075059720921156706,0.12289529119072536,1.0000001855332259,4.8899584277208173e-06,-0.035486264816098213
0.124,-0.0022334562224284428,0.0080055934445203546,0.12691539056728035,1.0000002057893718,5.2401374217358998e-06,-0.036692293720506482
0.128,-0.0023826374502093689,0.0085212951941828208,0.1309354898136133,1.0000002274704827,5.6024408172419576e-06,-0.037898322492150277
0.13200000000000001,-0.0025366427916456266,0.0090530773406428729,0.13495558895025478,1.0000002506250563,5.9768686190325863e-06,-0.039104351114467507
0.13600000000000001,-0.0026954722462415141,0.0096009398834403254,0.1389756879977353,1.0000002753015895,6.3634208319013784e-06,-0.040310379570896088
0.14000000000000001,-0.0028591258135013298,0.010164882822114991,0.14299578697658547,1.0000003015485806,6.7620974606419287e-06,-0.041516407844873954
0.14400000000000002,-0.0030276034929293686,0.01074490615620668,0.14701588590733589,1.0000003294145274,7.1728985100478322e-06,-0.042722435919838986
0.14799999999999999,-0.0032009052840299276,0.0113410098852552,0.151035984810517,1.0000003589479272,7.5958239849126813e-06,-0.04392846377922912
0.152,-0.0033790311863073057,0.01195319400880037,0.15505608370665946,1.0000003901972776,8.0308738900300752e-06,-0.045134491406482277
0.156,-0.0035619811992657993,0.012581458526381997,0.15907618261629383,1.0000004232110766,8.4780482301936044e-06,-0.04634051878503636
