"Time","body1.phi","body1.w","revolute2.phi","revolute2.w"
0,0,0,0,0
0.002,-3.1266936284582184e-06,-0.0031266932408024039,1.4851794675858897e-05,0.014851792812338919
0.0040000000000000001,-1.250677398217093e-05,-0.0062533868929367121,5.940717261891538e-05,0.029703585134277167
0.0060000000000000001,-2.8140252583551166e-05,-0.0093800844371311875,0.00013366612206785501,0.04455537281599925
0.0080000000000000002,-5.0027133003429492e-05,-0.01250678694861421,0.00023762863879478907,0.059407154575589732
0.01,-7.8167623369116131e-05,-0.015633525791409468,0.00037129447470709746,0.074258893020025543
0.012,-0.00011256179356847778,-0.018760311547434155,0.00053466354650086908,0.089110575533263639
0.014,-0.00015320958043127457,-0.021887134651905719,0.00072773592947283699,0.10396221351869209
0.016,-0.00020011098395750649,-0.025013995104824171,0.00095051162362300113,0.11881380697631087
0.018000000000000002,-0.00025326664326316743,-0.028140972002206339,0.0012029898669857222,0.13366526160564804
0.02,-0.00031267754721193351,-0.031268187724306763,0.0014851694806198496,0.1485164315015591
0.021999999999999999,-0.00037834281776167835,-0.03439553360597624,0.0017970515113430786,0.16336744621765839
0.024,-0.00045026245491240196,-0.037523009647214764,0.0021386359591554103,0.17821830575394593
0.026000000000000002,-0.00052843658594579218,-0.04065063170994794,0.0025099226723085022,0.1930689911993568
0.028000000000000001,-0.00061286838457765426,-0.043778795304675946,0.0029109078670207576,0.20791903101437556
0.029999999999999999,-0.00070355581718120218,-0.046907246999523755,0.0033415939678317647,0.22276872734810699
0.032000000000000001,-0.00080049888375643594,-0.05003598679449138,0.003801980974741524,0.23761808020055109
0.034000000000000002,-0.00090370409500782525,-0.053165644410666978,0.0042920611254960257,0.25246633879731623
0.036000000000000004,-0.0010131682794669561,-0.056295913100823755,0.0048118382012135108,0.26731386885263209
0.037999999999999999,-0.0011288913641433933,-0.059426785805262339,0.0053613122889153231,0.28216067878330642
0.040000000000000001,-0.0012508812800317234,-0.062558924731551599,0.0059404739330070613,0.29700597907967652
0.042000000000000003,-0.0013791348849546716,-0.065692067519964578,0.0065493268796965346,0.31185008253723012
0.043999999999999997,-0.0015136535472457956,-0.068826296204589743,0.0071878694976073689,0.32669289135120921
0.045999999999999999,-0.0016544488191050023,-0.071962374459743988,0.0078560880138006488,0.34153349503608732
0.048000000000000001,-0.0018015147481312056,-0.075099908793636122,0.0085539895249382453,0.35637236272978462
0.050000000000000003,-0.0019548600872131474,-0.078239473092218528,0.0092815635954661673,0.37120881021264407
0.052000000000000005,-0.002114486758642873,-0.081381193391184534,0.010038807933548773,0.38604268721770318
0.053999999999999999,-0.0022803988361370592,-0.084525288891968198,0.010825717682294686,0.40087373239560753
0.056000000000000001,-0.0024526054806690667,-0.087672295286909049,0.011642281919562056,0.41570130705670943
0.058000000000000003,-0.0026311050417110685,-0.090822101546270975,0.012488502613165153,0.43052554357554373
0.059999999999999998,-0.0028159127756629903,-0.093975533512570389,0.013364361573606685,0.44534545731230324
0.062,-0.0030070254268835276,-0.097132404037173478,0.0142698626824129,0.46016127139867985
0.064000000000000001,-0.0032044603127546686,-0.10029359563264025,0.015204985292753994,0.47497193361366352
0.066000000000000003,-0.0034082186347202843,-0.10345913990289977,0.016169727972123592,0.48977740626829658
0.068000000000000005,-0.0036183159503267604,-0.10662977152275843,0.017164072171732245,0.50457681339392146
0.070000000000000007,-0.0038347583993137732,-0.10980575507942604,0.018188010571239858,0.51936983950441962
0.072000000000000008,-0.0040575552323597261,-0.11298750840323674,0.019241532141257473,0.53415598640184725
0.073999999999999996,-0.0042867287459459917,-0.11617596814750884,0.02032461029786203,0.54893413724407614
0.075999999999999998,-0.0045222814403779316,-0.119371223564744,0.021437242059860397,0.56370418559947233
0.078,-0.0047642351002725883,-0.12257415414909607,0.022579401453382948,0.57846508275912123
0.080000000000000002,-0.005012604431172421,-0.12578531719250149,0.02375107094465579,0.59321616417998302
0.082000000000000003,-0.0052673996793963481,-0.12900510496744663,0.024952238316767593,0.60795696209977568
0.084000000000000005,-0.0055286499384527765,-0.13223455498905318,0.026182868880061421,0.62268623927945488
0.086000000000000007,-0.0057963685567032856,-0.13547414903737237,0.027442946718675188,0.63740342120029769
0.087999999999999995,-0.0060705734835414162,-0.13872453495668755,0.028732450430725923,0.65210773531335953
0.089999999999999997,-0.0063512960600920262,-0.14198676442445732,0.030051342645203434,0.66679792736829424
0.091999999999999998,-0.0066385567557533907,-0.145261561276746,0.031399598955215512,0.68147313417143096
0.094,-0.0069323760458696402,-0.14854964952891769,0.032777194946779754,0.69613249231522667
0.096000000000000002,-0.0072327869039156868,-0.15185203334178476,0.034184091300816032,0.71077480409249361
0.098000000000000004,-0.0075398207865274283,-0.15516968450185648,0.035620250507231575,0.72539891043160998
0.10000000000000001,-0.0078534989660622272,-0.15850335742984548,0.03708564720173859,0.74000391166578294
0.10200000000000001,-0.0081738646453411341,-0.16185426125837069,0.038580229864259526,0.754588365392456
0.10400000000000001,-0.008500953611438657,-0.16522345262264737,0.040103955819386312,0.76915101123510388
0.106,-0.0088347933332358266,-0.16861181710256964,0.041656792312717662,0.78369079299458688
0.108,-0.0091754360237038431,-0.17202072039484007,0.043238677074998892,0.79820608121587133
0.11,-0.0095229195952118671,-0.17545125450173954,0.044849564895172521,0.81269557325708863
0.112,-0.0098772792034045945,-0.17890445866552521,0.04648941385048664,0.82715802947608452
0.114,-0.010238578575670362,-0.18238189139964356,0.048158147932884227,0.84159158995099481
0.11600000000000001,-0.010606857399990226,-0.18588467714101825,0.049855719813075711,0.85599491329755995
