"Time","damper.phi_rel","damper.w_rel","force_inWorld.force[1]","force_inWorld.force[2]","force_inFrameA.force[1]","force_inFrameA.force[2]","force_inFrameResolve.force[1]","force_inFrameResolve.force[2]"
0,0.34906585039887,0,0,0,0,0,0,0
0.00059999999999999995,0.34906530137449487,-0.0018300679397122612,-4.4360608132791256e-07,-5.8766218266489497e-08,-5.0237229959440192e-07,0,-5.0099630441410211e-07,-1.3759951802999976e-09
0.0011999999999999999,0.34906365436018477,-0.0036600310042127588,-1.774324767588317e-06,-2.3504927518148154e-07,-2.0093740427697982e-06,0,-2.003870723383773e-06,-5.5033193860256105e-09
0.0018,0.34906090941840079,-0.0054898852954436261,-3.9920042496610971e-06,-5.2882183390812586e-07,-4.5208260835692238e-06,7.0529661049337248e-39,-4.5084456391906849e-06,-1.2380444378537853e-08
0.0023999999999999998,0.34905706670050152,-0.0073196223095125116,-7.0964804897974972e-06,-9.4005012328949334e-07,-8.0365306130869912e-06,0,-8.0145255133954524e-06,-2.2005099691539267e-08
0.0029999999999999996,0.34905212622300114,-0.0091492411163625487,-1.1087595579353868e-05,-1.468696371446984e-06,-1.2556291950800847e-05,0,-1.252191762074453e-05,-3.4374330056318579e-08
0.0035999999999999999,0.34904608796788872,-0.010978742730350783,-1.5965199720968673e-05,-2.1147190699158496e-06,-1.8079918790884518e-05,0,-1.803043428877613e-05,-4.9484502108397171e-08
0.0041999999999999997,0.34903895238903831,-0.012808104842427604,-2.1729070197094307e-05,-2.8780622510983083e-06,-2.4607132448192615e-05,0,-2.4539801392969211e-05,-6.7331055223406287e-08
0.0047999999999999996,0.34903071955101722,-0.014637324278953524,-2.8379019500161238e-05,-3.7586698069251032e-06,-3.2137689307086346e-05,0,-3.2049780470489158e-05,-8.7908836597178197e-08
0.0053999999999999994,0.34902138928861332,-0.016466409160510044,-3.5914907498519557e-05,-4.7564870976798136e-06,-4.0671394596199375e-05,1.128474576789396e-37,-4.0560182457017686e-05,-1.1121213918169134e-07
0.0059999999999999993,0.34901096160182676,-0.018295359487097169,-4.4336574693318016e-05,-5.8714521209994366e-06,-5.0208026814317454e-05,-1.128474576789396e-37,-5.0070792317381077e-05,-1.3723449693637898e-07
0.0065999999999999991,0.34899943649065746,-0.020124175258714891,-5.3643865835931944e-05,-7.103498640588942e-06,-6.0747364476520897e-05,1.128474576789396e-37,-6.0581395717628107e-05,-1.6596875889278701e-07
0.0071999999999999998,0.34898681395510545,-0.021952856475363221,-6.3836629925610321e-05,-8.4525561885742173e-06,-7.2289186114184555e-05,0,-7.2091779023749234e-05,-1.9740709043531567e-07
0.0077999999999999996,0.34897309443726471,-0.023781383877415841,-7.4914598841995802e-05,-9.918534026756322e-06,-8.4833132868752126e-05,-1.128474576789396e-37,-8.460159226518084e-05,-2.3154060357127323e-07
0.0083999999999999995,0.34895827861556461,-0.025609727909391977,-8.6877401501002748e-05,-1.1501323037960816e-05,-9.8378724538963574e-05,4.5138983071575839e-37,-9.8110365134694203e-05,-2.6835940426938322e-07
0.0089999999999999993,0.34894236575965765,-0.027437920388562947,-9.9725059994448006e-05,-1.3200861292919732e-05,-0.00011292592128736773,0,-0.00011261806717796585,-3.0785410940187009e-07
0.0095999999999999992,0.34892535586954371,-0.029265961314928746,-0.00011345741557541739,-1.5017058177618475e-05,-0.00012847447375303588,-4.5138983071575839e-37,-0.00012812445966077594,-3.5001409225994331e-07
0.010199999999999999,0.3489072489452229,-0.031093850688489372,-0.00012807431373201828,-1.6949818863692382e-05,-0.00014502413259571064,4.5138983071575839e-37,-0.00014462930454459515,-3.9482805111546475e-07
0.010799999999999999,0.34888804498669518,-0.032921588509244835,-0.00014357560418433441,-1.8999044311471805e-05,-0.00016257464849580625,0,-0.0001621323644846284,-4.4228401117782764e-07
0.011399999999999999,0.34886774401198778,-0.034749174067756371,-0.00015996113434767084,-2.1164630411013891e-05,-0.00018112576475868471,-4.5138983071575839e-37,-0.00018063339545179103,-4.9236930689369883e-07
0.011999999999999999,0.34884634820218235,-0.036576521530589837,-0.00017722992927868682,-2.344635981296842e-05,-0.00020067628909165527,-4.5138983071575839e-37,-0.0002001312209836631,-5.4506810799218709e-07
0.012599999999999998,0.34882385596154047,-0.038403693695815304,-0.00019538236476256441,-2.5844188659736181e-05,-0.00022122655342230059,0,-0.00022062618542776358,-6.0036799453704107e-07
0.013199999999999998,0.34880026729006197,-0.040230690563432772,-0.00021441827289418933,-2.8357996587412468e-05,-0.0002427762694816018,0,-0.00024211801525847419,-6.5825422312767992e-07
0.013799999999999998,0.3487755821877469,-0.042057512133442262,-0.00023433748998378162,-3.0987659044414839e-05,-0.00026532514902819648,0,-0.00026460643763847008,-7.1871138972632357e-07
0.0144,0.34874980065459532,-0.04388415840584374,-0.00025513985655308349,-3.3733047295294319e-05,-0.00028887290384837778,0,-0.00028809118041607897,-7.8172343229875513e-07
0.014999999999999999,0.34872292269060728,-0.045710629380637226,-0.00027682521733146719,-3.659402842462904e-05,-0.00031341924575609625,0,-0.00031257197212253453,-8.4727363356167526e-07
0.015599999999999999,0.34869494997884054,-0.047536866642589305,-0.00029939268507332825,-3.9570368455969811e-05,-0.00033896305352929803,4.5138983071575839e-37,-0.00033804771109587057,-9.1534243342742778e-07
0.016199999999999999,0.34866588222521261,-0.049362880398658292,-0.00032284216156104416,-4.2661932626792265e-05,-0.00036550409418783641,0,-0.00036451818221609934,-9.8591197173700958e-07
0.016799999999999999,0.34863571874789495,-0.051188694313611983,-0.00034717375520551893,-4.5868608624342786e-05,-0.00039304236382986166,0,-0.00039198339948903136,-1.0589643408303216e-06
0.017399999999999999,0.3486044595468874,-0.053014308387450387,-0.00037238729184166857,-4.9190242228285351e-05,-0.00042157753406995386,0,-0.00042044305393392623,-1.1344801360276284e-06
0.017999999999999999,0.34857210462219013,-0.054839722620173489,-0.00039848260149053481,-5.2626675068100352e-05,-0.00045110927655863514,1.8055593228630335e-36,-0.00044989683724459579,-1.2124393140392938e-06
0.018599999999999998,0.34853865397380318,-0.056664937011781297,-0.00042545951835462305,-5.6177744627748229e-05,-0.00048163726298237138,-1.8055593228630335e-36,-0.00048034444178597944,-1.2928211963918617e-06
0.019199999999999998,0.34850410822094507,-0.058489933410884279,-0.00045331759924980132,-5.9843247311650139e-05,-0.00051316084656145139,1.8055593228630335e-36,-0.00051178524290942386,-1.3756036520276123e-06
0.019799999999999998,0.34846846847067914,-0.060314679365719735,-0.00048205614121226488,-6.3622940836171755e-05,-0.00054567908204843671,0,-0.00054421831888520845,-1.4607631632282436e-06
0.020399999999999998,0.34843173393811827,-0.062139197883979772,-0.00051167529657318361,-6.7516690476475768e-05,-0.00057919198704965941,1.8055593228630335e-36,-0.00057764370897595496,-1.5482780737044303e-06
0.020999999999999998,0.34839390474585424,-0.063963485372086834,-0.0005421748151141064,-7.1524304027668453e-05,-0.00061369911914177467,0,-0.00061206099422042581,-1.6381249213490076e-06
0.021599999999999998,0.34835498101647872,-0.065787538236463397,-0.00057355444380492975,-7.5645584277190308e-05,-0.00064920002808212002,0,-0.00064746974847093737,-1.7302796111825178e-06
0.022199999999999998,0.34831496287258346,-0.067611352883531858,-0.0006058139267983828,-7.9880329012837998e-05,-0.00068569425581122109,1.8055593228630335e-36,-0.00068386953839140311,-1.8247174198174288e-06
