"Time","body.phi","revolute1.w","absolutePosition.r[1]","absolutePosition.r[2]","absolutePosition.phi","absoluteVelocity.v[1]","absoluteVelocity.v[2]","absoluteVelocity.w","absoluteAcceleration.a[1]","absoluteAcceleration.a[2]","absoluteAcceleration.z"
0,0,10,10,0,0,0,100,10,-1000,0,0
0.00020000000000000001,0.0020000000000000005,10,9.9999999999999982,0,0,0,99.999999999999986,10,-999.99999999999989,0,0
0.00040000000000000002,0.004000000000000001,10,9.9999999999999982,0,0,0,100.00000000000001,10,-1000.0000000000001,0,0
0.00060000000000000006,0.0059999999999999993,10,10.000000000000002,0,0,-1.1102230246251565e-16,100,10,-1000.0000000000001,8.8817841970012523e-16,8.8729112857155359e-17
0.00080000000000000004,0.0080000000000000002,10,10,0,0,-1.1102230246251565e-16,100.00000000000001,10,-1000.0000000000001,-2.6645352591003757e-15,-1.7745822571431074e-16
0.001,0.0099999999999999985,10,10,0,0,-1.1102230246251565e-16,99.999999999999986,10,-1000,-1.7763568394002505e-15,-1.7745822571431074e-16
0.0012000000000000001,0.012000000000000002,10,10,-1.3877787807814457e-17,0,2.2204460492503131e-16,99.999999999999986,10,-999.99999999999989,1.7763568394002505e-15,0
0.0014,0.014,10,10.000000000000002,0,0,0,100,10,-1000.0000000000001,0,0
0.0016000000000000001,0.016000000000000004,10,9.9999999999999982,0,0,2.2204460492503131e-16,100,10,-1000,1.7763568394002505e-15,1.7745822571431077e-16
0.0018000000000000002,0.018000000000000002,10,9.9999999999999982,0,0,0,100,10,-1000.0000000000001,0,0
0.002,0.02,10,10,0,0,2.2204460492503131e-16,100,10,-999.99999999999989,0,0
0.0022000000000000001,0.022000000000000002,10,10,0,0,0,100,10,-1000,0,0
0.0024000000000000002,0.024000000000000011,10,9.9999999999999982,0,0,0,100,10,-1000,-3.5527136788005009e-15,0
0.0026000000000000003,0.026000000000000013,10,10,0,0,-4.4408920985006262e-16,100.00000000000001,10,-1000,0,0
0.0028,0.028000000000000008,10,10.000000000000002,0,0,0,100,10,-1000.0000000000001,0,0
0.0030000000000000001,0.030000000000000013,10,10.000000000000002,-5.5511151231257827e-17,0,0,100,10,-1000,7.1054273576010019e-15,7.0983290285724287e-16
0.0032000000000000002,0.032000000000000015,10,10.000000000000002,-5.5511151231257827e-17,0,8.8817841970012523e-16,100.00000000000001,10,-1000.0000000000002,3.5527136788005009e-15,3.5491645142862143e-16
0.0034000000000000002,0.034000000000000016,10,10,-5.5511151231257827e-17,0,0,100,10,-1000,7.1054273576010019e-15,7.0983290285724297e-16
0.0036000000000000003,0.036000000000000011,10,10,0,0,-4.4408920985006262e-16,100,10,-1000.0000000000001,-7.1054273576010019e-15,-7.0983290285724297e-16
0.0038,0.038000000000000006,10,9.9999999999999982,0,0,0,99.999999999999986,10,-1000,0,0
0.0040000000000000001,0.040000000000000008,10,9.9999999999999982,0,0,0,100,10,-1000.0000000000001,0,0
0.0042000000000000006,0.042000000000000016,10,10.000000000000002,-5.5511151231257827e-17,0,8.8817841970012523e-16,100,10,-1000,7.1054273576010019e-15,0
0.0044000000000000003,0.044000000000000011,10,10,-5.5511151231257827e-17,0,0,100,10,-1000.0000000000001,0,0
0.0045999999999999999,0.046000000000000013,10,10,5.5511151231257827e-17,0,-8.8817841970012523e-16,99.999999999999986,10,-1000,-7.1054273576010019e-15,0
0.0048000000000000004,0.048000000000000022,10,10,-5.5511151231257827e-17,0,8.8817841970012523e-16,100,10,-999.99999999999989,0,7.0983290285724297e-16
0.0050000000000000001,0.050000000000000017,10,10.000000000000002,0,0,-8.8817841970012523e-16,100.00000000000001,10,-1000.0000000000001,-7.1054273576010019e-15,-7.0983290285724287e-16
0.0052000000000000006,0.052000000000000025,10,10,0,0,-8.8817841970012523e-16,100,10,-1000.0000000000001,-1.4210854715202004e-14,-7.0983290285724297e-16
0.0054000000000000003,0.05400000000000002,10,10,0,0,8.8817841970012523e-16,99.999999999999986,10,-999.99999999999977,1.4210854715202004e-14,1.4196658057144859e-15
0.0055999999999999999,0.056000000000000022,10,10,-1.1102230246251565e-16,0,8.8817841970012523e-16,100.00000000000001,10,-1000.0000000000002,7.1054273576010019e-15,0
0.0058000000000000005,0.058000000000000024,10,10,0,0,8.8817841970012523e-16,100,10,-999.99999999999989,-7.1054273576010019e-15,-7.0983290285724297e-16
0.0060000000000000001,0.060000000000000019,10,10,0,0,-8.8817841970012523e-16,100.00000000000001,10,-1000.0000000000001,0,0
0.0062000000000000006,0.062000000000000027,10,10,1.1102230246251565e-16,0,-8.8817841970012523e-16,100,10,-1000.0000000000001,-1.4210854715202004e-14,-7.0983290285724297e-16
0.0064000000000000003,0.064000000000000029,10,10,0,0,-1.7763568394002505e-15,100,10,-1000.0000000000001,0,0
0.0066,0.066000000000000017,10,10,-1.1102230246251565e-16,0,0,99.999999999999986,10,-999.99999999999989,0,0
0.0068000000000000005,0.068000000000000019,10,10,0,0,0,100.00000000000001,10,-1000.0000000000001,0,0
0.0070000000000000001,0.070000000000000021,10,10,0,0,0,100,10,-1000,1.4210854715202004e-14,0
0.0072000000000000007,0.072000000000000022,10,10,0,0,0,99.999999999999986,10,-1000,0,0
0.0074000000000000003,0.074000000000000024,10,10,0,0,0,100.00000000000001,10,-1000.0000000000002,0,-1.4196658057144859e-15
0.0076,0.076000000000000012,10,10.000000000000002,0,0,0,100,10,-1000.0000000000001,0,0
