"Time","revolute1.phi","revolute1.w","revolute4.phi","revolute4.w"
0,0.41151684606748801,0,-0.69813170079773001,0
0.00050000000000000001,0.4115142768005331,-0.010267500275171293,-0.69812739575992111,0.017205805488389275
0.001,0.41150661482488915,-0.020408248238740611,-0.69811454934400918,0.034221601107640449
0.0015,0.41149391479256797,-0.030423463182491093,-0.69809324346180135,0.051049263395369207
0.002,0.41147623745369555,-0.040314493452835803,-0.69806356914396395,0.067690865784800422
0.0025000000000000001,0.41145364208090146,-0.050082644625063559,-0.69802561517819628,0.084148413451028706
0.0030000000000000001,0.41142618638555084,-0.059729182649428489,-0.69797946799843547,0.10042384938783927
0.0035000000000000001,0.41139393552153025,-0.069255529227408408,-0.69792522516261668,0.11651935371211285
0.0040000000000000001,0.41135694973033438,-0.078662991637363677,-0.69786297685021159,0.13243692919836314
0.0045000000000000005,0.41131528990832356,-0.087952884321298608,-0.69779281419960382,0.14817858775850642
0.0050000000000000001,0.41126901155142004,-0.097126371850856402,-0.69771482017620556,0.16374610306637066
0.0054999999999999997,0.41121817365849639,-0.10618471740857784,-0.69762908305151272,0.17914140583022475
0.0060000000000000001,0.41116283442181756,-0.11512916119641552,-0.69753568987428372,0.19436639010852233
0.0065000000000000006,0.4111030505895219,-0.12396089355911119,-0.6974347254828569,0.20942286850160111
0.0070000000000000001,0.4110388799378234,-0.13268114033481493,-0.69732627628917099,0.22431271159992938
0.0074999999999999997,0.41097037976257639,-0.14129111323434607,-0.69721042797664978,0.23903776735426538
0.0080000000000000002,0.41089759953599525,-0.1497917827364324,-0.69708725433279994,0.25359949477731458
0.0085000000000000006,0.41082059770279017,-0.15818439502639323,-0.69695684278528891,0.26799979721185785
0.0090000000000000011,0.41073942763170945,-0.16647003922408279,-0.69681927304877556,0.28224032453527159
0.0094999999999999998,0.41065413980979282,-0.17464971453667613,-0.6966746204615466,0.29632258129900707
0.01,0.41056478988116141,-0.18272458107833586,-0.69652296819380854,0.31024833212859038
0.010500000000000001,0.41047142804245296,-0.19069562963955269,-0.69636439115743876,0.32401906780512552
0.010999999999999999,0.41037410603548918,-0.19856389894952181,-0.69619896660475333,0.33763635666357916
0.0115,0.41027287696777304,-0.20633047018465778,-0.69602677385713219,0.35110183571612419
0.012,0.41016778798432185,-0.21399624317909829,-0.69584788322889679,0.36441684894800302
0.012500000000000001,0.41005889179725236,-0.22156228654504204,-0.69566237344057891,0.37758301301730129
0.013000000000000001,0.40994623849134199,-0.22902959037607834,-0.69547031925179248,0.39060181786392212
0.0135,0.40982987537915838,-0.23639906399805566,-0.69527179125440797,0.40347462332934542
0.014,0.40970985215208255,-0.24367168604304534,-0.69506686361660608,0.41620290089158074
0.014500000000000001,0.40958621712942722,-0.25084839516819907,-0.69485560844379934,0.42878805763815275
0.014999999999999999,0.40945901816698893,-0.25793011652621661,-0.69463809714454761,0.44123147890399222
0.0155,0.40932830265704734,-0.26491776176534676,-0.69441440043056057,0.45353452827143637
0.016,0.40919411673846218,-0.27181221054403071,-0.6941845871608987,0.4656985182862507
0.016500000000000001,0.40905650698841939,-0.2786143501212095,-0.69394872681735864,0.47772477317547413
0.017000000000000001,0.40891551921237562,-0.28532504703856321,-0.69370688773390532,0.48961458398722357
0.017500000000000002,0.40877119869663731,-0.29194515303137919,-0.69345913746624732,0.50136921795452327
0.018000000000000002,0.40862359023440431,-0.29847550563801445,-0.69320554282994606,0.51298991946079919
0.018499999999999999,0.4084727391563418,-0.30491697043054633,-0.69294617152914961,0.52447797946605446
0.019,0.40831869004998272,-0.31127038853860728,-0.69268109013271284,0.53583464923731294
0.0195,0.40816148606679936,-0.31753654825469141,-0.69241036297908065,0.54706109366842504
0.02,0.40800117046275947,-0.3237162481628299,-0.6921340546110113,0.55815849506209414
0.020500000000000001,0.40783778604666127,-0.32981027453252088,-0.69185222890371412,0.56912801596604146
0.021000000000000001,0.40767137545177479,-0.33581941285941047,-0.69156494949600811,0.57997081818997853
0.021500000000000002,0.40750198218243244,-0.34174449232955817,-0.69127228145149811,0.59068813607474713
0.021999999999999999,0.40732964716816394,-0.3475862394222532,-0.69097428578920161,0.60128103525600118
0.022499999999999999,0.40715441177902506,-0.35334540601593306,-0.69067102426956328,0.61175062375979861
0.023,0.40697631697375203,-0.35902273319758338,-0.69036255804238189,0.62209799236697894
0.0235,0.40679540329976077,-0.36461895126273813,-0.69004894764680869,0.6323242146131639
0.024,0.40661171206496399,-0.37013483042711909,-0.68973025487613704,0.64243043050053927
0.024500000000000001,0.40642528301103631,-0.37557108013467311,-0.68940653907511684,0.65241768028150482
0.025000000000000001,0.40623615550883818,-0.38092840079080503,-0.68907785904231011,0.66228698985684198
0.025500000000000002,0.40604436876257183,-0.38620749259749926,-0.6887442733549789,0.67203938536021102
0.026000000000000002,0.4058499615942337,-0.39140904622522021,-0.68840584002606975,0.68167587775987593
0.026499999999999999,0.40565297284228952,-0.39653376035006926,-0.68806261713907002,0.69119749187953028
0.027,0.40545344122265797,-0.40158233553865824,-0.68771466262663716,0.70060525627886838
0.0275,0.40525140420087413,-0.4065554246362108,-0.68736203247461158,0.70990012115485279
0.028000000000000001,0.40504689928673809,-0.41145368971629187,-0.68700478278363797,0.71908305258323202
0.028500000000000001,0.4048399636295294,-0.41627778427486106,-0.68664296912457767,0.72815500305291303
0.029000000000000001,0.40463063403270239,-0.42102835386443727,-0.68627664656178067,0.73711691251594946
0.029500000000000002,0.40441894774617698,-0.42570607028478863,-0.68590587090783539,0.74596976499707712
