"Time","body.phi","body.r[1]","body.r[2]","body.v[1]","body.v[2]","body.w"
0,0,1,1,0,0,0
0.00050000000000000001,0,0.99999750107219265,0.99999752481200654,-0.0099949967865270023,-0.009900044317054997,0
0.001,0,0.99999000858639553,0.99999010350482465,-0.019979974329517813,-0.019790164573387396,0
0.0015,0,0.99997752750916136,0.99997774099782433,-0.029954917869975294,-0.029670346150210535,0
0.002,0,0.99996006878160848,0.99996044812818308,-0.039919795116446423,-0.039540557062840188,0
0.0025000000000000001,0,0.9999376299650744,0.99993822248040609,-0.049874613267987679,-0.049400804441941802,0
0.0030000000000000001,0,0.99991021564704108,0.99991106859839396,-0.059819358892071996,-0.059251074982597324,0
0.0035000000000000001,0,0.99987783842807365,0.9998789989630068,-0.069753995093198254,-0.069091332139812889,0
0.0040000000000000001,0,0.99984049091510363,0.99984200625141006,-0.079678543518885203,-0.0789215973554558,0
0.0045000000000000005,0,0.99979819133180337,0.99980010851415113,-0.089592951642245899,-0.088741818601644595,0
0.0050000000000000001,0,0.99975096198788405,0.99975332784899906,-0.099497155159026629,-0.098551932185015872,0
0.0054999999999999997,0,0.99969878712285609,0.99970164864518896,-0.10939119949637355,-0.10835198310115801,0
0.0060000000000000001,0,0.99964166673671984,0.99964507090272092,-0.11927508465428666,-0.11814197135007096,0
0.0065000000000000006,0,0.99957960082947495,0.99958359462159496,-0.12914881063276598,-0.12792189693175471,0
0.0070000000000000001,0,0.99951258940112175,0.99951721980181107,-0.13901237743181147,-0.13769175984620924,0
0.0074999999999999997,0,0.99944067366697797,0.99944598726714162,-0.14886566850710614,-0.14745144465628859,0
0.0080000000000000002,0,0.99936384161787817,0.99936988512250824,-0.15870871781689797,-0.15720098499763741,0
0.0085000000000000006,0,0.99928208124514195,0.99928890147331306,-0.16854155931806319,-0.16694041450454156,0
0.0090000000000000011,0,0.99919539254876943,0.99920303631955598,-0.17836419301060175,-0.17666973317700099,0
0.0094999999999999998,0,0.99910377552876051,0.99911228966123722,-0.18817661889451365,-0.18638894101501569,0
0.01,0,0.99900727743544482,0.99901670829980804,-0.19797870503100667,-0.196097907333212,0
0.010500000000000001,0,0.99890590275858482,0.99891629668237825,-0.20777043888315652,-0.20579661971376642,0
0.010999999999999999,0,0.99879962667670108,0.99881103022327222,-0.21755188976087123,-0.21548514680814282,0
0.0115,0,0.99868844918979338,0.9987009089224903,-0.22732305766415081,-0.2251634886163412,0
0.012,0,0.99857237029786206,0.99858593278003227,-0.23708394259299523,-0.23483164513836158,0
0.012500000000000001,0,0.99845142546521615,0.99846613692329644,-0.24683444754793404,-0.24448952029622847,0
0.013000000000000001,0,0.9983256373386602,0.9983415437839428,-0.25657451058703024,-0.25413705273645321,0
0.0135,0,0.99819497420315484,0.99821212194822473,-0.26630421845501528,-0.26377432837969245,0
0.014,0,0.99805943605870029,0.99807787141614257,-0.27602357115188941,-0.27340134722594622,0
0.014500000000000001,0,0.99791902290529655,0.9979387921876961,-0.28573256867765245,-0.28301810927521448,0
0.014999999999999999,0,0.99777376002666407,0.99779490930641079,-0.29543114331851061,-0.29262454745698446,0
0.0155,0,0.99762368774939048,0.99764626271577117,-0.30511918707350016,-0.30222055479630161,0
0.016,0,0.99746876709718379,0.99749281380976051,-0.3147968043272808,-0.3118062346861713,0
0.016500000000000001,0,0.99730899807004381,0.99733456258837838,-0.32446399507985252,-0.32138158712659354,0
0.017000000000000001,0,0.99714438066797073,0.99717150905162499,-0.33412075933121527,-0.33094661211756832,0
0.017500000000000002,0,0.99697492447757619,0.99700366269503904,-0.34376707221701691,-0.34050128503095484,0
0.018000000000000002,0,0.99680067140483131,0.99683106502648544,-0.35340282504767312,-0.35004549820971981,0
0.018499999999999999,0,0.9966216003783398,0.99665369517474556,-0.36302807247509206,-0.35957930578657826,0
0.019,0,0.99643771619145827,0.9964715578876393,-0.37264280206696693,-0.36910269544733026,0
0.0195,0,0.99624902363754264,0.99628465791298604,-0.38224700139099049,-0.3786156548777756,0
0.02,0,0.9960555275099493,0.99609299999860479,-0.39184065801485579,-0.38811817176371416,0
0.020500000000000001,0,0.99585723260203474,0.99589658889231525,-0.40142375950625581,-0.39761023379094584,0
0.021000000000000001,0,0.99565414370715477,0.99569542934193667,-0.41099629343288352,-0.40709182864527055,0
0.021500000000000002,0,0.995446265618666,0.99548952609528862,-0.4205582473624318,-0.41656294401248811,0
0.021999999999999999,0,0.99523360312992482,0.99527888390019048,-0.43010960886259364,-0.42602356757839838,0
0.022499999999999999,0,0.99501616103428725,0.99506350750446138,-0.43965036550106212,-0.4354736870288014,0
0.023,0,0.99479396276741749,0.99484342012112692,-0.44918046465131806,-0.44491325023712996,0
0.0235,0,0.99456700143557153,0.99461861492193349,-0.45869991907931806,-0.45434226984806392,0
0.024,0,0.99433528162677454,0.99438909645132012,-0.46820871679546427,-0.46376073398590673,0
0.024500000000000001,0,0.99409880877701995,0.99415487009363812,-0.47770684398187591,-0.47316862896404743,0
0.025000000000000001,0,0.99385758832230109,0.99391594123323923,-0.48719428682067234,-0.48256594109587531,0
0.025500000000000002,0,0.99361162569861139,0.99367231525447441,-0.49667103149397274,-0.49195265669477944,0
0.026000000000000002,0,0.99336092634194406,0.99342399754169541,-0.50613706418389648,-0.50132876207414889,0
0.026499999999999999,0,0.99310549568829265,0.99317099347925364,-0.51559237107256262,-0.51069424354737269,0
0.027,0,0.99284533917365025,0.99291330845150061,-0.52503693834209075,-0.5200490874278404,0
0.0275,0,0.99258046223401053,0.9926509478427874,-0.53447075217460005,-0.52939328002894082,0
