"Time","body1.phi","body1.r[1]","body1.w","revolute.phi","revolute.w"
0,1.3962634015955,0.17364817766689455,0,1.3962634015955,0
0.00089999999999999998,1.3962623033249351,0.17364873307551709,-0.0024406005319195269,1.3962605494030844,-0.0063382033355940106
0.0018,1.396259008488548,0.17365039931291451,-0.0048812364088681006,1.3962519927661228,-0.012676492654024344
0.0027000000000000001,1.3962535170152077,0.17365317641254308,-0.0073219384090008948,1.3962377315114778,-0.019014942827018332
0.0035999999999999999,1.3962458287409314,0.17365706445148249,-0.0097627555768062535,1.396217765240233,-0.025353673159137669
0.0044999999999999997,1.3962359437044027,0.17366206341154924,-0.012203676169846108,1.3961920940464951,-0.031692655085954841
0.0054000000000000003,1.3962238616542852,0.17366817340767748,-0.014644750876302371,1.3961607173188739,-0.038032011900827521
0.0063,1.3962095824769296,0.17367539449183808,-0.017086002616335985,1.3961236347809125,-0.044371799354494715
0.0071999999999999998,1.3961931062862334,0.17368372661194656,-0.019527408419683458,1.3960808467096724,-0.050711961574348534
0.0080999999999999996,1.3961744323254623,0.17369317011264099,-0.021969084247890989,1.3960323512644333,-0.057052780595798373
0.0089999999999999993,1.3961535608349425,0.17370372488447,-0.024410993273496606,1.3959781490297773,-0.063394166849080336
0.0098999999999999991,1.3961304916732513,0.17371539099159511,-0.026853149666539181,1.3959182396617307,-0.069736154788304708
0.010800000000000001,1.3961052239220617,0.17372816885109418,-0.029295659028908391,1.395852620926648,-0.076079001208238198
0.0117,1.3960777580597867,0.17374205824568575,-0.031738466346100669,1.395781293988172,-0.082422572328731111
0.0126,1.3960480935916546,0.17375705939892111,-0.034181612568205989,1.3957042576430327,-0.088766967690872542
0.0135,1.3960162297702547,0.17377317264850095,-0.036625159555199058,1.395621510073547,-0.095112337663300545
0.0144,1.3959821665584751,0.17379039801119306,-0.039069110378600294,1.3955330511894615,-0.10145868971223765
0.015299999999999999,1.3959459036525914,0.17380873562422883,-0.041513490176440938,1.3954388802521254,-0.10780608494297113
0.016199999999999999,1.3959074407488776,0.17382818562483973,-0.043958324086752258,1.3953389965228862,-0.1141545844607882
0.017100000000000001,1.3958667774490858,0.17384874819302182,-0.046403640032632816,1.3952333990333508,-0.12050425611830623
0.017999999999999999,1.3958239125716565,0.17387042386316193,-0.048849489017039657,1.3951220849112476,-0.12685522368328184
0.0189,1.3957788462034824,0.17389321259576543,-0.051295884668641989,1.395005054367342,-0.13320752037748726
0.019799999999999998,1.3957315779372517,0.17391711457492923,-0.053742855177601863,1.3948823064112101,-0.13956121470054952
0.0207,1.3956821073656516,0.17394212998475,-0.056190428734081331,1.3947538400524273,-0.14591637515209574
0.021600000000000001,1.3956304340813706,0.17396825900932469,-0.058638633528242438,1.3946196543005689,-0.1522730702317531
0.022499999999999999,1.3955765566342495,0.17399550230743938,-0.061087498401799376,1.3944797456320248,-0.15863136960198623
0.023400000000000001,1.3955204746127341,0.17402386006512185,-0.063537051547564533,1.3943341130460665,-0.16499134176715241
0.024299999999999999,1.3954621877868265,0.17405333238575782,-0.065987321044917141,1.3941827559829847,-0.17135305502916243
0.0252,1.3954016956270705,0.17408391950904245,-0.068438335160332708,1.394025673155654,-0.17771657802384164
0.026099999999999998,1.39533899760401,0.17411562167467085,-0.070890122160286756,1.3938628632769492,-0.18408197938701504
0.027,1.3952740923565918,0.17414843949863648,-0.073342708104516971,1.3936943230429932,-0.19044932192080535
0.027899999999999998,1.3952069775858185,0.17418237402135309,-0.07579611656381946,1.3935200468752484,-0.19681866184760199
0.028799999999999999,1.395137653779484,0.17421742502220933,-0.078250378504059401,1.3933400359535799,-0.20319007493930089
0.029700000000000001,1.3950661201726733,0.17425359284744554,-0.080705521566895186,1.3931542884198373,-0.20956362817996893
0.030599999999999999,1.394992376000471,0.1742908778433023,-0.083161573393985083,1.3929628024158711,-0.21593938855367292
0.0315,1.3949164204979623,0.17432928035601994,-0.085618561626987499,1.3927655760835314,-0.22231742304447977
0.032399999999999998,1.3948382529002319,0.174368800731839,-0.088076513907560702,1.3925626075646687,-0.22869779863645623
0.033299999999999996,1.3947578724423648,0.17440943931699987,-0.090535457877363099,1.3923538950011327,-0.23508058231366924
0.034200000000000001,1.3946752783594456,0.17445119645774301,-0.092995421178053039,1.3921394365347743,-0.24146584106018568
0.035099999999999999,1.3945904698865594,0.17449407250030885,-0.095456431451288792,1.3919192303074432,-0.24785364186007228
0.035999999999999997,1.3945034462587909,0.17453806779093792,-0.097918516338728737,1.39169327446099,-0.25424405169739595
0.036900000000000002,1.3944142047246859,0.17458318356768662,-0.10038170410740534,1.3914615623353641,-0.26063713726285731
0.0378,1.3943227439807979,0.17462942041855806,-0.10284602256850965,1.3912240907706681,-0.26703296546099414
0.038699999999999998,1.3942290645709172,0.17467677810227608,-0.10531149895171195,1.3909808610721799,-0.27343160346913931
0.039599999999999996,1.3941331656146663,0.1747252570169158,-0.10777816093501889,1.3907318711026515,-0.27983311825430851
0.040500000000000001,1.3940350462316673,0.17477485756055219,-0.11024603619643711,1.3904771187248344,-0.28623757678351736
0.041399999999999999,1.3939347055415423,0.17482558013126032,-0.11271515241397324,1.3902166018014803,-0.29264504602378161
0.042299999999999997,1.3938321426639138,0.17487742512711515,-0.11518553726563392,1.3899503181953414,-0.29905559294211681
0.043200000000000002,1.3937273567184039,0.17493039294619175,-0.11765721842942584,1.3896782657691691,-0.30546928450553879
0.0441,1.3936203468246349,0.17498448398656519,-0.12013022358335559,1.3894004423857154,-0.31188618768106302
