"Time","body.frame_a.phi","prismatic.s","prismatic.v","revolute.w"
0,2.6179938779915002,1,0,0
0.0011999999999999999,2.6179901608420555,0.99999892731791928,-0.0017876653360078434,-0.0061951485539302248
0.0023999999999999998,2.6179790106614163,0.99999571112177732,-0.0035735153410582929,-0.012389060354505632
0.0035999999999999999,2.6179604291787366,0.99999035412598491,-0.0053575423237620561,-0.018581801335654961
0.0047999999999999996,2.6179344182322595,0.99998285933753539,-0.0071397378106348363,-0.024773444334525142
0.0059999999999999993,2.6179009773530302,0.99997322599144634,-0.0089201039580859339,-0.030963970818075535
0.0071999999999999998,2.6178601099357577,0.99996146015962761,-0.010698623832905371,-0.037153527119007095
0.0083999999999999995,2.6178118149345528,0.99994755997136098,-0.01247530265211185,-0.043342068153107226
0.0095999999999999992,2.6177560936438473,0.99993152800812946,-0.014250133277874251,-0.049529655762469961
0.010799999999999999,2.6176929489159146,0.99991336987531854,-0.016023100194100883,-0.055716424333649588
0.011999999999999999,2.6176223791217663,0.99989308237158347,-0.017794212262333835,-0.061902297115868213
0.013199999999999998,2.6175443877427003,0.99987067340594227,-0.019563447767931005,-0.068087462328791773
0.0144,2.6174589742331031,0.99984614173883657,-0.021330810114168222,-0.074271890473272331
0.015599999999999999,2.6173661386401568,0.9998194878496296,-0.023096298013504466,-0.08045559251424439
0.016799999999999999,2.6172658830553912,0.99979071798032537,-0.024859894442613516,-0.086638715225590371
0.017999999999999999,2.6171582075184308,0.99975983224917531,-0.026621599078998037,-0.092821261387858928
0.019199999999999998,2.6170431127207086,0.99972683271970719,-0.028381406294960273,-0.09900327952265138
0.020399999999999998,2.6169205993536595,0.99969172145544916,-0.030139310462802472,-0.10518481815156903
0.021599999999999998,2.6167906679929445,0.99965450092231711,-0.031895304845677701,-0.11136593452130863
0.022799999999999997,2.616653318802697,0.99961517501655772,-0.033649378764151153,-0.11754671689283934
0.023999999999999997,2.6165085526946816,0.99957374503590601,-0.035401528701369117,-0.12372719718285864
0.025199999999999997,2.6163563702827659,0.99953021331348424,-0.037151748286520903,-0.129907429758648
0.026399999999999996,2.6161967721808179,0.99948458218241387,-0.038900031148795797,-0.13608746898748889
0.027599999999999996,2.6160297586523877,0.99943685402544158,-0.040646370736574552,-0.14226736928866812
0.028799999999999999,2.6158553274973997,0.99938703157430175,-0.042390759226691617,-0.14844718544720364
0.029999999999999999,2.6156734806845434,0.99933511697019717,-0.044133190947597205,-0.15462697162925054
0.031199999999999999,2.6154842185365781,0.99928111258748709,-0.045873659378231922,-0.16080678224530592
0.032399999999999998,2.6152875413762651,0.99922502080053044,-0.047612157997536389,-0.16698667170586676
0.033599999999999998,2.6150834492463724,0.99916684399395173,-0.049348680146676406,-0.17316669369835311
0.034799999999999998,2.614871936035271,0.99910658477802095,-0.051083216138438609,-0.17934688601648768
0.035999999999999997,2.6146530050850574,0.99904424541639569,-0.05281576093748043,-0.18552731086818403
0.037199999999999997,2.6144266561161476,0.9989798283055199,-0.054546307726348477,-0.19170802110838861
0.038399999999999997,2.6141928888489572,0.99891333584183639,-0.056274849687589369,-0.19788906959204799
0.039599999999999996,2.6139517030039028,0.99884477042178876,-0.058001380003749714,-0.20407050917410874
0.040799999999999996,2.6137030983014005,0.99877413444182039,-0.059725891857376083,-0.21025239270951734
0.041999999999999996,2.6134470744618663,0.99870143029837455,-0.06144837843101511,-0.21643477305322031
0.043199999999999995,2.6131836312057182,0.99862666038789494,-0.063168832907213424,-0.22261770306016423
0.044399999999999995,2.6129127682533695,0.99854982710682449,-0.064887248468517553,-0.22880123558529561
0.045599999999999995,2.6126344853252386,0.99847093285160671,-0.066603618297474174,-0.234985423483561
0.046799999999999994,2.6123487749384182,0.99838998114692634,-0.068317924334977367,-0.24117031269290662
0.047999999999999994,2.61205564071521,0.99830697377808209,-0.070030165852935602,-0.24735595981506964
0.049199999999999994,2.6117550828585698,0.99822191306593888,-0.071740336786957001,-0.2535424181683561
0.050399999999999993,2.6114471008168048,0.99813480144955968,-0.073448429894928211,-0.25972974034641871
0.051599999999999993,2.6111316940382205,0.99804564136800777,-0.075154437934735932,-0.26591797894291053
0.052799999999999993,2.6108088619711243,0.99795443526034666,-0.076858353664266785,-0.2721071865514843
0.053999999999999992,2.6104786040638222,0.99786118556563963,-0.078560169841407457,-0.2782974157657927
0.055199999999999992,2.6101409197646208,0.99776589472294996,-0.080259879224044609,-0.28448871917948876
0.056399999999999992,2.6097958085218265,0.99766856517134106,-0.0819574745700649,-0.29068114938622519
0.057599999999999998,2.6094432697837466,0.9975691993498762,-0.083652948637355007,-0.2968747589796551
0.058799999999999998,2.6090832867534779,0.99746780178048344,-0.085346271095542645,-0.3030695740999701
0.059999999999999998,2.6087158635178276,0.99736437430750524,-0.08703744129491281,-0.30926565489408886
0.061199999999999997,2.6083410041891986,0.99725891877200157,-0.088726458622130008,-0.31546306155061166
0.062399999999999997,2.6079587076320254,0.99715143768789671,-0.090413315005261133,-0.32166184571242207
0.06359999999999999,2.6075689727107427,0.99704193356911452,-0.092098002372373131,-0.3278620590224039
0.064799999999999996,2.6071717982897837,0.99693040892957907,-0.093780512651532921,-0.33406375312344094
0.065999999999999989,2.6067671832335835,0.99681686628321442,-0.095460837770807369,-0.34026697965841673
0.067199999999999996,2.6063551264065756,0.99670130814394431,-0.097138969658263477,-0.34647179027021502
0.068399999999999989,2.6059356266731957,0.99658373702569314,-0.098814900241968082,-0.35267823660171943
0.069599999999999995,2.6055086828978755,0.99646415544238442,-0.10048862144998814,-0.35888637029581383
