"Time","damper.phi_rel","damper.w_rel","relativeForce_inWorld.frame_b.fx","relativeForce_inWorld.frame_b.fy","relativeForce_inFrameA.frame_b.fx","relativeForce_inFrameA.frame_b.fy","relativeForce_inFrameB.frame_b.fx","relativeForce_inFrameB.frame_b.fy","relativeForce_inFrameResolve.frame_b.fx","relativeForce_inFrameResolve.frame_b.fy"
2.4323999999999999,-0.073985568840548188,0.38516480686579008,0.73920808277546735,0,0.70690820520449582,0.21612352730589204,0.7371858430804672,-0.054640849209386638,0.7371858430804672,-0.054640849209386638
2.4329999999999998,-0.073755318245454823,0.3823361375761164,0.74174177273873743,0,0.70933118496650671,0.21686430655969222,0.73972520627122762,-0.054657814012221251,0.73972520627122762,-0.054657814012221251
2.4335999999999998,-0.073526768461613976,0.37949542256660579,0.74426492090956875,0,0.71174408356227215,0.21760200369166624,0.74225400992209689,-0.054674100368403956,0.74225400992209689,-0.054674100368403956
2.4341999999999997,-0.073299926697121404,0.37664271732989185,0.74677749142843841,0,0.71414686669915972,0.21833660821750425,0.74477221686574591,-0.054689731111367428,0.74477221686574591,-0.054689731111367428
2.4347999999999996,-0.073074800126405562,0.37377807755730952,0.74927944858615891,0,0.71653950022830359,0.21906810969685026,0.74727979010025181,-0.054704729057934193,0.74727979010025181,-0.054704729057934193
2.4353999999999996,-0.072851395890090542,0.37090155913816975,0.75177075682438221,0,0.71892195014508642,0.21979649773344942,0.74977669278949888,-0.054719117006269274,0.74977669278949888,-0.054719117006269274
2.4359999999999999,-0.072629721094858837,0.36801321815903254,0.75425138073610365,0,0.7212941825896213,0.22052176197529541,0.75226288826357779,-0.054732917733834041,0.75226288826357779,-0.054732917733834041
2.4365999999999999,-0.072409782813315032,0.36511311090299015,0.7567212850661631,0,0.72365616384723086,0.22124389211477696,0.7547383400191775,-0.054746153995342245,0.7547383400191775,-0.054746153995342245
2.4371999999999998,-0.072191588083847874,0.3622012938489288,0.75918043471175511,0,0.72600786034893527,0.22196287788882704,0.75720301171998428,-0.054758848520717163,0.75720301171998428,-0.054758848520717163
2.4377999999999997,-0.071975143910493783,0.35927782367081273,0.76162879472292,0,0.72834923867192203,0.22267870907906628,0.75965686719705872,-0.054771024013050312,0.75965686719705872,-0.054771024013050312
