"Time","damper.phi_rel","damper.w_rel","cutForce_inFrameA.force[1]","cutForce_inFrameA.force[2]","cutForce_inWorld.force[1]","cutForce_inWorld.force[2]","cutForce_inFrameResolve.force[1]","cutForce_inFrameResolve.force[2]"
0,0,0,0,0.89181818181818251,0,0.89181818181818251,0,0.89181818181818251
0.00059999999999999995,-1.6052376823881135e-06,-0.0053507631602079395,-4.2945687068906031e-05,0.89230461490168622,-4.2945687068906031e-05,0.89230461490168622,-4.2945687068906031e-05,0.89230461490168622
0.0011999999999999999,-6.4208225597092247e-06,-0.010701234470594971,-0.00017177223577069471,0.89279102241844832,-0.00017177223577069471,0.89279102241844832,-0.00017177223577069471,0.89279102241844832
0.0018,-1.4446574374999691e-05,-0.016051413947280248,-0.00038646398586595504,0.89327740685116908,-0.00038646398586595504,0.89327740685116908,-0.00038646398586595504,0.89327740685116908
0.0023999999999999998,-2.5682349869678357e-05,-0.021401301602730689,-0.00068700560881201412,0.89376377233571702,-0.00068700560881201412,0.89376377233571702,-0.00068700560881201412,0.89376377233571702
0.0029999999999999996,-4.0127969294096935e-05,-0.026750897452186818,-0.0010733814524970531,0.89425012466113962,-0.0010733814524970531,0.89425012466113962,-0.0010733814524970531,0.89425012466113962
0.0035999999999999999,-5.7783258533801076e-05,-0.032100201509730711,-0.0015455759166365566,0.89473647126871469,-0.0015455759166365566,0.89473647126871469,-0.0015455759166365566,0.89473647126871469
0.0041999999999999997,-7.8648055027015344e-05,-0.037449213787673699,-0.0021035735052057285,0.89522282125137487,-0.0021035735052057285,0.89522282125137487,-0.0021035735052057285,0.89522282125137487
0.0047999999999999996,-0.00010272218402947586,-0.042797934297986111,-0.0027473586146136248,0.89570918535320487,-0.0027473586146136248,0.89570918535320487,-0.0027473586146136248,0.89570918535320487
0.0053999999999999994,-0.00013000548140255835,-0.048146363051322069,-0.0034769157364621991,0.8961955759688518,-0.0034769157364621991,0.8961955759688518,-0.0034769157364621991,0.8961955759688518
0.0059999999999999993,-0.00016049775119294431,-0.053494500059110883,-0.0042922290792364861,0.89668200714294954,-0.0042922290792364861,0.89668200714294954,-0.0042922290792364861,0.89668200714294954
0.0065999999999999991,-0.00019419882029845923,-0.058842345330307598,-0.005193283054892959,0.89716849456944381,-0.005193283054892959,0.89716849456944381,-0.005193283054892959,0.89716849456944381
0.0071999999999999998,-0.00023110851053377224,-0.064189898871217538,-0.0061800620292694819,0.89765505559090819,-0.0061800620292694819,0.89765505559090819,-0.0061800620292694819,0.89765505559090819
0.0077999999999999996,-0.00027122664603086466,-0.069537160685048172,-0.0072525503873821021,0.89814170919794201,-0.0072525503873821021,0.89814170919794201,-0.0072525503873821021,0.89814170919794201
0.0083999999999999995,-0.00031455305445263491,-0.074884130768515522,-0.0084107325430530268,0.89862847602835139,-0.0084107325430530268,0.89862847602835139,-0.0084107325430530268,0.89862847602835139
0.0089999999999999993,-0.00036108755886171407,-0.080230809126414601,-0.009654592867885118,0.89911537836777811,-0.009654592867885118,0.89911537836777811,-0.009654592867885118,0.89911537836777811
0.0095999999999999992,-0.00041082998374185521,-0.085577195761044583,-0.010984115742952928,0.89960244014825186,-0.010984115742952928,0.89960244014825186,-0.010984115742952928,0.89960244014825186
0.010199999999999999,-0.000463780152604883,-0.090923290659891451,-0.012399285534465333,0.90008968694643698,-0.012399285534465333,0.90008968694643698,-0.012399285534465333,0.90008968694643698
0.010799999999999999,-0.00051993788938971925,-0.096269093816950577,-0.013900086608862119,0.90057714598501981,-0.013900086608862119,0.90057714598501981,-0.013900086608862119,0.90057714598501981
0.011399999999999999,-0.00057930301861849214,-0.10161460523510606,-0.015486503334307976,0.90106484613237292,-0.015486503334307976,0.90106484613237292,-0.015486503334307976,0.90106484613237292
0.011999999999999999,-0.00064187536447332303,-0.10695982491205992,-0.017158520069161534,0.90155281790065267,-0.017158520069161534,0.90155281790065267,-0.017158520069161534,0.90155281790065267
0.012599999999999998,-0.00070765475560401496,-0.11230475275585602,-0.018916121184742632,0.90204109343767414,-0.018916121184742632,0.90204109343767414,-0.018916121184742632,0.90204109343767414
0.013199999999999998,-0.00077664101686624484,-0.11764938875067932,-0.02075929102508272,0.90252970654122855,-0.02075929102508272,0.90252970654122855,-0.02075929102508272,0.90252970654122855
0.013799999999999998,-0.00084883397233551235,-0.12299373289637155,-0.022688013922070885,0.90301869265306856,-0.022688013922070885,0.90301869265306856,-0.022688013922070885,0.90301869265306856
0.0144,-0.00092423344708444661,-0.12833778517276392,-0.024702274202023734,0.90350808885511391,-0.024702274202023734,0.90350808885511391,-0.024702274202023734,0.90350808885511391
0.014999999999999999,-0.0010028392661856757,-0.13368154555968761,-0.026802056180092439,0.90399793387068961,-0.026802056180092439,0.90399793387068961,-0.026802056180092439,0.90399793387068961
0.015599999999999999,-0.0010846512547118285,-0.1390250140369737,-0.028987344159229551,0.90448826806393257,-0.028987344159229551,0.90448826806393257,-0.028987344159229551,0.90448826806393257
0.016199999999999999,-0.0011696692377355337,-0.14436819058445349,-0.03125812242911219,0.9049791334392232,-0.03125812242911219,0.9049791334392232,-0.03125812242911219,0.9049791334392232
0.016799999999999999,-0.0012578930403294203,-0.14971107518195806,-0.033614375265021409,0.90547057364060279,-0.033614375265021409,0.90547057364060279,-0.033614375265021409,0.90547057364060279
0.017399999999999999,-0.0013493224812115088,-0.15505366751559391,-0.036056086779046592,0.90596263392405518,-0.036056086779046592,0.90596263392405518,-0.036056086779046592,0.90596263392405518
