"Time","PID.D.x","PID.I.y","body.phi","prismatic.s","prismatic.v","revolute.w"
0,0,0,-0.34906585039887,0,0,0
0.00059999999999999995,-0.010316437862205419,-2.0943613631000729e-13,-0.34905051292761746,4.1447130730303147e-05,0.13765264081760434,0.050935333481958035
0.0011999999999999999,-0.020327052143313026,-4.1885403854131895e-13,-0.34900503279695183,0.0001643719056958718,0.27158724292598613,0.10047376087474998
0.0018,-0.030039905687163332,-6.2823608230838518e-13,-0.34893022688061093,0.00036659965893003554,0.40190207824802365,0.14865277926261555
0.0023999999999999998,-0.039463007141691979,-8.3756477831234889e-13,-0.34882690606196454,0.00064597067385182574,0.52869465632822255,0.19550954753754463
0.0029999999999999996,-0.048604146534995944,-1.0468231261233645e-12,-0.34869585877384746,0.0010003843791781652,0.65205975782013448,0.2410801536401001
0.0035999999999999999,-0.057470862845244268,-1.2559946882898487e-12,-0.34853784765196444,0.0014278081118255382,0.77208902277458125,0.28539945004748191
0.0041999999999999997,-0.0660704755997127,-1.4650635205698038e-12,-0.34835361278918286,0.0019262685374215533,0.88887134245884458,0.32850120656985238
0.0047999999999999996,-0.074410109222738025,-1.6740141177622345e-12,-0.34814387426271537,0.0024938450217286802,1.002493164766491,0.37041823106377875
0.0053999999999999994,-0.082496704656954967,-1.8828313873742031e-12,-0.34790933336517504,0.0031286664435882087,1.1130386440808848,0.41118243054257098
0.0059999999999999993,-0.090337023784183929,-2.0915006393237524e-12,-0.34765067310649339,0.0038289099438471191,1.2205897029670643,0.45082483847360461
0.0065999999999999991,-0.097937656833788883,-2.3000075692955002e-12,-0.34736855897268692,0.0045927989254872618,1.3252261247272612,0.48937565111160919
0.0071999999999999998,-0.1053049896910921,-2.508338332076619e-12,-0.34706363562710246,0.0054186118165214193,1.4270251504415465,0.52686407195020069
0.0077999999999999996,-0.11244524261833874,-2.7164794545172291e-12,-0.34673653085661221,0.0063046716434124565,1.5260619607681687,0.56331849990752214
0.0083999999999999995,-0.11936448704893014,-2.9244177971253722e-12,-0.34638785743607448,0.0072493413219852912,1.6224099025642817,0.59876662636187461
0.0089999999999999993,-0.12606861083233523,-3.132140632971525e-12,-0.34601820942289457,0.0082510332149584691,1.7161400379771037,0.633235250091016
0.0095999999999999992,-0.13256337058125525,-3.3396355292298102e-12,-0.34562816771376442,0.009308194763509527,1.8073218222363929,0.66675055470698219
0.010199999999999999,-0.13885435070682203,-3.5468904398600964e-12,-0.34521829569805096,0.010419319729550604,1.8960225731584435,0.6993378914834355
0.010799999999999999,-0.14494700477701167,-3.7538936122643496e-12,-0.3447891436510831,0.011582936837526642,1.9823080080846238,0.73102199969593396
0.011399999999999999,-0.15084662841158122,-3.9606336484588809e-12,-0.34434124585124393,0.012797617223287339,2.0662418915230432,0.76182686180705461
0.011999999999999999,-0.15655838455954488,-4.1670994481974236e-12,-0.34387512326783687,0.014061967487648605,2.1478863641406165,0.79177583878206215
0.012599999999999998,-0.16208729027992583,-4.3732802387082466e-12,-0.34339128214768377,0.015374633339124864,2.2273017696996749,0.82089159845014403
0.013199999999999998,-0.16743823632669327,-4.5791655307842196e-12,-0.34289021609128639,0.016734294219585038,2.3045469095888964,0.84919621995215389
0.013799999999999998,-0.17261597827795794,-4.7847451387236431e-12,-0.34237240509797406,0.018139665756646658,2.3796789256035669,0.87671114475287881
0.0144,-0.17762514879076602,-4.9900091528951006e-12,-0.34183831685692456,0.019589496411064874,2.4527534582703092,0.90345724116381132
0.014999999999999999,-0.18247025765271829,-5.1949479395985263e-12,-0.34128840675868616,0.021082567454971612,2.5238246483089997,0.92945480530757563
0.015599999999999999,-0.18715569751278796,-5.3995521282816448e-12,-0.34072311848688697,0.022617691419157822,2.5929452091007454,0.95472358992276829
0.016199999999999999,-0.19168572709192996,-5.6038126494162682e-12,-0.3401428822533199,0.02419371667986955,2.6601662121950933,0.97928271796381638
0.016799999999999999,-0.19606450404291928,-5.807720660547862e-12,-0.33954811824859105,0.025809518485292168,2.7255375076889181,1.0031508521464809
0.017399999999999999,-0.20029607311118233,-6.0112675730347452e-12,-0.33893923539542647,0.027464002192549686,2.7891075728340393,1.0263461338913491
0.017999999999999999,-0.2043843701650622,-6.2144450430955614e-12,-0.33831663176180521,0.029156102179421446,2.8509235627595997,1.0488862033607955
0.018599999999999998,-0.20833323954787553,-6.4172449340456027e-12,-0.33768069620583513,0.030884777326586232,2.9110315127664492,1.0707882716048063
0.019199999999999998,-0.21214641215125588,-6.6196593633595389e-12,-0.33703180640602676,0.032649016590158855,2.9694760956365842,1.0920690407587985
0.019799999999999998,-0.21582752663126389,-6.8216806566868534e-12,-0.33637033084434903,0.034447833512994498,3.0263008657541013,1.1127447894177913
0.020399999999999998,-0.21938012287697375,-7.0233013623205803e-12,-0.33569662815896467,0.036280267960251175,3.081548180093741,1.1328313429336139
0.020999999999999998,-0.22280762446698185,-7.2245142910973389e-12,-0.33501104524506603,0.038145390982224449,3.1352589672619882,1.1523439771550337
0.021599999999999998,-0.22611339461982208,-7.4253123897579908e-12,-0.33431392325016668,0.040042289382182385,3.1874734581270432,1.1712977201118071
0.022199999999999998,-0.22930069832649375,-7.6256888269024271e-12,-0.33360559349180735,0.041970076191572926,3.2382306889424517,1.1897071457075294
0.022799999999999997,-0.23237270983169867,-7.8256369761951577e-12,-0.33288637823462486,0.043927888638028371,3.2875685958614582,1.2075864113000736
0.023399999999999997,-0.23533251151050524,-8.0251504190652116e-12,-0.33215659054691105,0.045914888484512667,3.3355239974892381,1.2249492492190037
