"Time","prismatic.s","prismatic.v","distance.distance","absolutePosition.r[1]","absolutePosition.r[2]","absolutePosition.phi","absolutePosition1.r[1]","absolutePosition1.r[2]","absolutePosition1.phi","absolutePosition3.r[1]","absolutePosition3.r[2]","absolutePosition3.phi","relativePosition.r_rel[1]","relativePosition.r_rel[2]","relativePosition.phi_rel","relativePosition1.r_rel[1]","relativePosition1.r_rel[2]","relativePosition1.phi_rel","relativePosition2.r_rel[1]","relativePosition2.r_rel[2]","relativePosition2.phi_rel","relativePosition3.r_rel[1]","relativePosition3.r_rel[2]","relativePosition3.phi_rel"
0,0.5,-1,0.5,0.5,0,0,0.5,0,0,0.47815237798151716,-0.14618585236137024,-0.29670597283903999,0.5,0,0,0.5,0,0,0.5,0,0,0.47815237798151716,-0.14618585236137024,0
0.00020000000000000001,0.49980000000000002,-1,0.49980000000000002,0.49980000000000002,0,0,0.49980000000000002,0,0,0.47796111703032457,-0.14612737802042569,-0.29670597283903999,0.49980000000000002,0,0,0.49980000000000002,0,0,0.49980000000000002,0,0,0.47796111703032457,-0.14612737802042569,0
0.00040000000000000002,0.49959999999999999,-1,0.49959999999999999,0.49959999999999999,0,0,0.49959999999999999,0,0,0.47776985607913192,-0.14606890367948114,-0.29670597283903999,0.49959999999999999,0,0,0.49959999999999999,0,0,0.49959999999999999,0,0,0.47776985607913192,-0.14606890367948114,0
0.00060000000000000006,0.49940000000000001,-1,0.49940000000000001,0.49940000000000001,0,0,0.49940000000000001,0,0,0.47757859512793938,-0.14601042933853661,-0.29670597283903999,0.49940000000000001,0,0,0.49940000000000001,0,0,0.49940000000000001,0,0,0.47757859512793938,-0.14601042933853661,0
0.00080000000000000004,0.49919999999999998,-1,0.49919999999999998,0.49919999999999998,0,0,0.49919999999999998,0,0,0.47738733417674672,-0.14595195499759203,-0.29670597283903999,0.49919999999999998,0,0,0.49919999999999998,0,0,0.49919999999999998,0,0,0.47738733417674672,-0.14595195499759203,0
0.001,0.49899999999999994,-1,0.49899999999999994,0.49899999999999994,0,0,0.49899999999999994,0,0,0.47719607322555407,-0.14589348065664748,-0.29670597283903999,0.49899999999999994,0,0,0.49899999999999994,0,0,0.49899999999999994,0,0,0.47719607322555407,-0.14589348065664748,0
0.0012000000000000001,0.49879999999999997,-1,0.49879999999999997,0.49879999999999997,0,0,0.49879999999999997,0,0,0.47700481227436148,-0.14583500631570295,-0.29670597283903999,0.49879999999999997,0,0,0.49879999999999997,0,0,0.49879999999999997,0,0,0.47700481227436148,-0.14583500631570295,0
0.0014,0.49859999999999999,-1,0.49859999999999999,0.49859999999999999,0,0,0.49859999999999999,0,0,0.47681355132316888,-0.1457765319747584,-0.29670597283903999,0.49859999999999999,0,0,0.49859999999999999,0,0,0.49859999999999999,0,0,0.47681355132316888,-0.1457765319747584,0
0.0016000000000000001,0.49839999999999995,-1,0.49839999999999995,0.49839999999999995,0,0,0.49839999999999995,0,0,0.47662229037197629,-0.14571805763381385,-0.29670597283903999,0.49839999999999995,0,0,0.49839999999999995,0,0,0.49839999999999995,0,0,0.47662229037197629,-0.14571805763381385,0
0.0018000000000000002,0.49819999999999998,-1,0.49819999999999998,0.49819999999999998,0,0,0.49819999999999998,0,0,0.47643102942078369,-0.14565958329286929,-0.29670597283903999,0.49819999999999998,0,0,0.49819999999999998,0,0,0.49819999999999998,0,0,0.47643102942078369,-0.14565958329286929,0
0.002,0.498,-1,0.498,0.498,0,0,0.498,0,0,0.4762397684695911,-0.14560110895192477,-0.29670597283903999,0.498,0,0,0.498,0,0,0.498,0,0,0.4762397684695911,-0.14560110895192477,0
0.0022000000000000001,0.49779999999999996,-1,0.49779999999999996,0.49779999999999996,0,0,0.49779999999999996,0,0,0.47604850751839844,-0.14554263461098021,-0.29670597283903999,0.49779999999999996,0,0,0.49779999999999996,0,0,0.49779999999999996,0,0,0.47604850751839844,-0.14554263461098021,0
0.0024000000000000002,0.49759999999999999,-1,0.49759999999999999,0.49759999999999999,0,0,0.49759999999999999,0,0,0.47585724656720585,-0.14548416027003566,-0.29670597283903999,0.49759999999999999,0,0,0.49759999999999999,0,0,0.49759999999999999,0,0,0.47585724656720585,-0.14548416027003566,0
0.0026000000000000003,0.49740000000000001,-1,0.49740000000000001,0.49740000000000001,0,0,0.49740000000000001,0,0,0.47566598561601331,-0.14542568592909111,-0.29670597283903999,0.49740000000000001,0,0,0.49740000000000001,0,0,0.49740000000000001,0,0,0.47566598561601331,-0.14542568592909111,0
0.0028,0.49719999999999998,-1,0.49719999999999998,0.49719999999999998,0,0,0.49719999999999998,0,0,0.47547472466482066,-0.14536721158814656,-0.29670597283903999,0.49719999999999998,0,0,0.49719999999999998,0,0,0.49719999999999998,0,0,0.47547472466482066,-0.14536721158814656,0
0.0030000000000000001,0.497,-1,0.497,0.497,0,0,0.497,0,0,0.47528346371362806,-0.14530873724720203,-0.29670597283903999,0.497,0,0,0.497,0,0,0.497,0,0,0.47528346371362806,-0.14530873724720203,0
0.0032000000000000002,0.49679999999999996,-1,0.49679999999999996,0.49679999999999996,0,0,0.49679999999999996,0,0,0.47509220276243541,-0.14525026290625748,-0.29670597283903999,0.49679999999999996,0,0,0.49679999999999996,0,0,0.49679999999999996,0,0,0.47509220276243541,-0.14525026290625748,0
0.0034000000000000002,0.49659999999999993,-1,0.49659999999999993,0.49659999999999993,0,0,0.49659999999999993,0,0,0.47490094181124276,-0.1451917885653129,-0.29670597283903999,0.49659999999999993,0,0,0.49659999999999993,0,0,0.49659999999999993,0,0,0.47490094181124276,-0.1451917885653129,0
