"Time","body.phi","damper1D.s_rel","damper1D.v_rel","prismatic3D.s","prismatic3D.v","revolute.w"
0,2.6179938779915002,0,0,-0.20000000000000001,0.20000000000000001,0
0.002,2.6179835673793481,-2.9630230520714083e-06,-0.00295497461455506,-0.19959999999999997,0.20000000000000001,-0.010304822688497367
0.0040000000000000001,2.6179526824022714,-1.1786797149738559e-05,-0.005860559249023246,-0.19919999999999999,0.20000000000000001,-0.020574267213222402
0.0060000000000000001,2.617901293209719,-2.637300312425221e-05,-0.0087175467818258849,-0.1988,0.20000000000000001,-0.030809173797865769
0.0080000000000000002,2.6178294680668417,-4.6625215782356239e-05,-0.011526715747478435,-0.19839999999999999,0.20000000000000001,-0.041010371608794303
0.01,2.6177372735510711,-7.2448589089773132e-05,-0.014288832837424513,-0.19799999999999998,0.20000000000000001,-0.051178681535026971
0.012,2.617624774650364,-0.00010374975162317941,-0.017004653614890109,-0.1976,0.20000000000000001,-0.061314916689674759
0.014,2.6174920347096302,-0.00014043685415187414,-0.019674922082883427,-0.19719999999999999,0.20000000000000001,-0.071419882034866156
0.016,2.617339115444028,-0.00018241955069157913,-0.022300370777081451,-0.1968,0.20000000000000001,-0.081494374432123054
0.018000000000000002,2.6171660770130805,-0.0002296089223313135,-0.024881721245219278,-0.19639999999999999,0.20000000000000001,-0.091539182908867964
0.02,2.6169729779972353,-0.00028191748903650348,-0.027419683902158248,-0.19599999999999998,0.20000000000000001,-0.1015550885585939
0.021999999999999999,2.6167598754457901,-0.00033925915069984433,-0.029914958347880327,-0.1956,0.20000000000000001,-0.11154286470842573
0.024,2.6165268248552049,-0.00040154921654600635,-0.032368233222288004,-0.19519999999999998,0.20000000000000001,-0.12150327684686155
0.026000000000000002,2.616273880200628,-0.00046870435787707408,-0.034780186411509172,-0.1948,0.20000000000000001,-0.13143708270829091
0.028000000000000001,2.6160010939070482,-0.00054064265199718186,-0.037151484860829066,-0.19439999999999999,0.20000000000000001,-0.14134503220078945
0.029999999999999999,2.6157085169599288,-0.00061728342550449876,-0.039482785317344532,-0.19399999999999998,0.20000000000000001,-0.15122786776096328
0.032000000000000001,2.6153961988630567,-0.00069854731360272137,-0.041774734046137754,-0.19359999999999999,0.20000000000000001,-0.16108632421609426
0.034000000000000002,2.6150641876011975,-0.00078435631315214511,-0.044027966580675135,-0.19319999999999998,0.20000000000000001,-0.17092112866700107
0.036000000000000004,2.6147125298205425,-0.00087463353139510542,-0.046243108944893002,-0.1928,0.20000000000000001,-0.18073300109884882
0.037999999999999999,2.6143412705812801,-0.00096930352919473927,-0.048420775973466064,-0.19239999999999999,0.20000000000000001,-0.19052265353233477
0.040000000000000001,2.6139504537200167,-0.0010682918221362619,-0.050561573790473442,-0.19199999999999998,0.20000000000000001,-0.20029079131524888
0.042000000000000003,2.6135401214827128,-0.0011715253839230308,-0.052666097289591908,-0.19159999999999999,0.20000000000000001,-0.21003811178970816
0.043999999999999997,2.6131103148524266,-0.0012789321987534434,-0.054734932396894365,-0.19119999999999998,0.20000000000000001,-0.21976530551527232
0.045999999999999999,2.6126610733985194,-0.0013904414667778176,-0.056768655025930509,-0.19079999999999997,0.20000000000000001,-0.22947305569647308
0.048000000000000001,2.6121924352857344,-0.0015059835921866368,-0.058767831145786847,-0.19039999999999999,0.20000000000000001,-0.23916203823027546
0.050000000000000003,2.6117044374327656,-0.0016254899683757242,-0.060733017891981635,-0.18999999999999997,0.20000000000000001,-0.24883292233876669
0.052000000000000005,2.6111971153409521,-0.0017488932095389999,-0.062664762360625167,-0.18959999999999999,0.20000000000000001,-0.25848636987123785
0.053999999999999999,2.6106705032169839,-0.0018761269849117462,-0.064563602473738102,-0.18919999999999998,0.20000000000000001,-0.26812303580804631
0.056000000000000001,2.6101246339615001,-0.0020071260341741918,-0.066430066898838527,-0.18879999999999997,0.20000000000000001,-0.27774356821379237
0.058000000000000003,2.6095595392270852,-0.0021418260901061603,-0.068264675445689149,-0.18839999999999998,0.20000000000000001,-0.28734860846449939
0.059999999999999998,2.6089752493667375,-0.0022801639467247741,-0.070067938720950781,-0.18799999999999997,0.20000000000000001,-0.29693879105218512
0.062,2.6083717934748334,-0.0024220774045649127,-0.07184035840951776,-0.18759999999999999,0.20000000000000001,-0.3065147437463171
0.064000000000000001,2.6077491994105806,-0.0025675052392146662,-0.073582427437231937,-0.18719999999999998,0.20000000000000001,-0.31607708768771459
0.066000000000000003,2.6071074937861947,-0.0027163872196161692,-0.075294629908141564,-0.18679999999999997,0.20000000000000001,-0.32562643739774955
0.068000000000000005,2.6064467018945785,-0.0028686642158446919,-0.076977440674478675,-0.18639999999999998,0.20000000000000001,-0.33516340071555328
0.070000000000000007,2.6057668479561271,-0.0030242778390306767,-0.078631326863441001,-0.18599999999999997,0.20000000000000001,-0.34468857918838458
0.072000000000000008,2.605067954945961,-0.0031831706963990039,-0.080256746831256304,-0.18559999999999999,0.20000000000000001,-0.35420256786620175
0.073999999999999996,2.6043500446566066,-0.0033452863011265862,-0.081854150560962846,-0.18519999999999998,0.20000000000000001,-0.36370595543057394
0.075999999999999998,2.6036131377032983,-0.0035105690719384416,-0.083423979712993548,-0.18479999999999996,0.20000000000000001,-0.37319932431731101
0.078,2.6028572535451904,-0.0036789642982321376,-0.084966667764114268,-0.18439999999999998,0.20000000000000001,-0.38268325071247594
0.080000000000000002,2.6020824105046407,-0.0038504181093904004,-0.086482640135627897,-0.18399999999999997,0.20000000000000001,-0.39215830456377965
