"Time","heatCapacitor.T","planetary.bearing_Planet.phi","planetary.bearing_Planet.w","planetary.bearing_Ring.w","planetary.planet.phi","planetary.planet.w","planetary.planetRing.frame_b.phi","planetary.planetRing.phi_gear","planetary.sunPlanet.frame_a.phi","planetary.sunPlanet.phi_gear"
0,293.14999999999998,0,-0.5,0.33333333333333331,0,0,0,0,0,0
0.002,293.14999999999998,-0.0010091278724839599,-0.50912786461360038,0.32116284718186622,-1.8255744967919825e-05,-0.018255729227200701,0.0006544961700213868,0.00099087212751604011,0.002,0.00099087212751604011
0.0040000000000000001,293.14999999999998,-0.0020365114474756073,-0.5182557172141381,0.3089923770478159,-7.3022894951214543e-05,-0.036511434428276202,0.0012846514033658569,0.0019634885525243928,0.0040000000000000001,0.0019634885525243928
0.0060000000000000001,293.14999999999998,-0.003082150699473906,-0.52738354990504832,0.29682193345993546,-0.0001643013989478118,-0.054767099810096698,0.0018904657340347922,0.0029178493005260942,0.0060000000000000001,0.0029178493005260942
0.0080000000000000002,293.14999999999998,-0.0041460454508826863,-0.5365113428048609,0.28465154292685213,-0.00029209090176537294,-0.073022685609721805,0.0024719393988230842,0.0038539545491173134,0.0080000000000000002,0.0038539545491173134
0.01,293.14999999999998,-0.0052281957308458879,-0.54563909922702303,0.27248120103063589,-0.00045639146169177552,-0.091278198454046111,0.0030290723588721489,0.0047718042691541123,0.01,0.0047718042691541123
0.012,293.14999999999998,-0.0063286015419967328,-0.55476681947091255,0.2603109073721166,-0.00065720308399346526,-0.10953363894182511,0.003561864610671023,0.0056713984580032675,0.012,0.0056713984580032675
0.014,293.14999999999998,-0.00744726190438302,-0.56389445293032248,0.24814072942623677,-0.00089452380876603975,-0.1277889058606449,0.0040703174608226391,0.0065527380956169803,0.014,0.0065527380956169803
0.016,293.14999999999998,-0.0085841772432934359,-0.57302202156780058,0.23597063790959921,-0.0011683544865868705,-0.14604404313560115,0.0045544303422754197,0.0074158227567065653,0.016,0.0074158227567065653
0.018000000000000002,293.14999999999998,-0.0097393475956567225,-0.58214952729040292,0.22380063027946276,-0.0014786951913134429,-0.16429905458080585,0.0050142032057910379,0.0082606524043432796,0.018000000000000002,0.0082606524043432796
0.02,293.14999999999998,-0.010912772961472876,-0.59127697009812952,0.21163070653582722,-0.0018255459229457524,-0.18255394019625909,0.0054496360513694997,0.009087227038527124,0.02,0.009087227038527124
0.021999999999999999,293.14999999999998,-0.012104453340741899,-0.60040434999098036,0.19946086667869284,-0.0022089066814838,-0.20080869998196071,0.005860728879010799,0.0098955466592580994,0.021999999999999999,0.0098955466592580994
0.024,293.14999999999998,-0.013314388733463798,-0.60953166696895533,0.18729111070805951,-0.0026287774669275961,-0.21906333393791066,0.0062474816887149358,0.010685611266536202,0.024,0.010685611266536202
0.026000000000000002,293.14999999999998,-0.014542577094289974,-0.61865886749253529,0.17512151000995285,-0.0030851541885799465,-0.23731773498507064,0.0066098972076133692,0.011457422905710028,0.026000000000000002,0.011457422905710028
0.028000000000000001,293.14999999999998,-0.015789019631560451,-0.62778598319150924,0.16295202241132103,-0.0035780392631209034,-0.25557196638301849,0.006947973824586064,0.012210980368439548,0.028000000000000001,0.012210980368439548
0.029999999999999999,293.14999999999998,-0.017053716531346148,-0.6369130189365122,0.15078264141798373,-0.0041074330626922964,-0.2738260378730244,0.0072617112915384675,0.012946283468653851,0.029999999999999999,0.012946283468653851
0.032000000000000001,293.14999999999998,-0.018336667793647055,-0.64603997472754426,0.13861336702994104,-0.0046733355872941099,-0.29207994945508847,0.0075511096084705919,0.013663332206352945,0.032000000000000001,0.013663332206352945
0.034000000000000002,293.14999999999998,-0.019637873418463174,-0.65516685056460533,0.12644419924719297,-0.0052757468369263455,-0.3103337011292106,0.0078161687753824372,0.014362126581536828,0.034000000000000002,0.014362126581536828
0.036000000000000004,293.14999999999998,-0.020957333405794507,-0.6642936464476954,0.11427513806973946,-0.0059146668115890103,-0.32858729289539079,0.0080568887922739928,0.015042666594205497,0.036000000000000004,0.015042666594205497
0.037999999999999999,293.14999999999998,-0.022295044730304057,-0.67342031872348951,0.10210624170201399,-0.0065900894606081145,-0.34684063744697902,0.0082732736929279245,0.015704955269695942,0.037999999999999999,0.015704955269695942
0.040000000000000001,293.14999999999998,-0.023651008957472425,-0.68254688998068858,0.089937480025748487,-0.00730201791494485,-0.36509377996137721,0.0084653213900367681,0.016348991042527575,0.040000000000000001,0.016348991042527575
0.042000000000000003,293.14999999999998,-0.025025226523113588,-0.69167336650775901,0.077768844656321237,-0.0080504530462271739,-0.38334673301551808,0.0086330313025152171,0.016974773476886414,0.042000000000000003,0.016974773476886414
0.043999999999999997,293.14999999999998,-0.026417697427227552,-0.70079974830470104,0.065600335593731934,-0.0088353948544551072,-0.40159949660940208,0.0087764034303632592,0.017582302572772445,0.043999999999999997,0.017582302572772445
