"Time","revolute.phi","revolute.w"
0,0,-5
0.002,-0.0099965483250210908,-4.9965487249599221
0.0040000000000000001,-0.019986201224557611,-4.9931022087073629
0.0060000000000000001,-0.029968972039469702,-4.9896604374370481
0.0080000000000000002,-0.039944868129391686,-4.9862234035350355
0.01,-0.04991390269626042,-4.9827910933658472
0.012,-0.059876106853934394,-4.9793634747866955
0.014,-0.069831464587075578,-4.9759405643425429
0.016,-0.079779975895683988,-4.9725223620333896
0.018000000000000002,-0.089721640779759609,-4.9691088678592346
0.02,-0.0996565184445143,-4.9657000208467563
0.021999999999999999,-0.10958459547912996,-4.9622958348072741
0.024,-0.11950585558004588,-4.9588963265312396
0.026000000000000002,-0.12942029874726205,-4.9555014960186545
0.028000000000000001,-0.13932793671907254,-4.95211133120723
0.029999999999999999,-0.14922886617152953,-4.9487257327525302
0.032000000000000001,-0.15912301964241379,-4.9453447699788198
0.034000000000000002,-0.1690103971317253,-4.9419684428860986
0.036000000000000004,-0.17889099863946406,-4.9385967514743658
0.037999999999999999,-0.18876487729898775,-4.9352296413069805
0.040000000000000001,-0.19863206569737801,-4.9318670789975467
0.042000000000000003,-0.20849252009517102,-4.9285091093583926
0.043999999999999997,-0.21834624049236676,-4.9251557323895199
0.045999999999999999,-0.22819322688896523,-4.9218069480909277
0.048000000000000001,-0.23803354605898144,-4.918462688394599
0.050000000000000003,-0.24786718433397145,-4.9151229672338559
0.052000000000000005,-0.25769414252253597,-4.9117877837844288
0.053999999999999999,-0.26751442892641425,-4.9084571295836996
0.056000000000000001,-0.27732805184734566,-4.9051309961690519
0.058000000000000003,-0.28713501958706938,-4.9018093750778675
0.059999999999999998,-0.29693534044732456,-4.8984922578475274
0.062,-0.30672902272985064,-4.8951796360154187
0.064000000000000001,-0.31651607473638682,-4.8918715011189207
0.066000000000000003,-0.32629651831666134,-4.8885678313001044
0.068000000000000005,-0.33607036301386856,-4.8852686168688892
0.070000000000000007,-0.34583761095825843,-4.8819738554645964
0.072000000000000008,-0.35559827137567446,-4.8786835377109199
0.073999999999999996,-0.36535235349195988,-4.8753976542315529
0.075999999999999998,-0.37509986653295818,-4.8721161956501859
0.078,-0.38484081972451273,-4.8688391525905139
0.080000000000000002,-0.394575222292467,-4.86556651567623
0.082000000000000003,-0.40430308346266441,-4.8622982755310229
0.084000000000000005,-0.41402441108014337,-4.8590344247054365
0.086000000000000007,-0.42373921247535806,-4.855774956468089
0.087999999999999995,-0.43344749881172462,-4.8525198587388809
0.089999999999999997,-0.44314927918898039,-4.8492691223174802
0.091999999999999998,-0.45284456270686196,-4.8460227380035565
0.094,-0.46253335846510651,-4.8427806965967752
0.096000000000000002,-0.47221567556345101,-4.8395429888968078
0.098000000000000004,-0.48189152310163236,-4.8363096057033212
0.10000000000000001,-0.49156091017938752,-4.8330805378159827
0.10200000000000001,-0.50122384431031752,-4.8298557779528597
0.10400000000000001,-0.51088032057235311,-4.8266353338726846
0.106,-0.52053035849437979,-4.8234191837613016
0.108,-0.5301739666763543,-4.8202073190228498
0.11,-0.53981115371823307,-4.8169997310614727
0.112,-0.54944192821997251,-4.8137964112813112
0.114,-0.55906629878152925,-4.8105973510865079
0.11600000000000001,-0.5686842740028597,-4.8074025418812045
0.11800000000000001,-0.57829586248392051,-4.8042119750695411
0.12,-0.58790107282466808,-4.8010256420556603
0.122,-0.59749991362505916,-4.7978435342437029
0.124,-0.60709239348504995,-4.7946656430378134
0.126,-0.61667852100459719,-4.7914919598421308
0.128,-0.6262583047836574,-4.7883224760607979
0.13,-0.63583175342218712,-4.7851571830979562
0.13200000000000001,-0.64539887552014275,-4.7819960723577477
0.13400000000000001,-0.65495967967748081,-4.7788391352443131
0.13600000000000001,-0.66451417449415806,-4.7756863631617952
0.13800000000000001,-0.6740623685701308,-4.7725377475143347
0.14000000000000001,-0.68360426543995401,-4.7693932865935862
0.14200000000000002,-0.69313987423756973,-4.7662529710776234
0.14400000000000002,-0.70266920651244524,-4.7631167883600858
0.14599999999999999,-0.71219227077162028,-4.7599847299714559
0.14799999999999999,-0.72170907552213492,-4.756856787442219
0.14999999999999999,-0.73121962927102846,-4.7537329523028529
0.152,-0.74072394052534096,-4.7506132160838437
0.154,-0.75022201779211217,-4.7474975703156712
0.156,-0.75971386957838172,-4.744386006528817
0.158,-0.76919950439118945,-4.7412785162537663
0.16,-0.7786789307375751,-4.7381750910209988
0.16200000000000001,-0.78815215712457853,-4.7350757223609978
0.16400000000000001,-0.79761919205923926,-4.7319804018042451
0.16600000000000001,-0.80708004404859734,-4.728889120881222
0.16800000000000001,-0.81653472159969231,-4.7258018711224112
0.17000000000000001,-0.82598323321956402,-4.722718644058296
0.17200000000000001,-0.8354255874152523,-4.7196394312193579
0.17400000000000002,-0.84486176044161265,-4.716564265330609
0.17599999999999999,-0.85429178559767316,-4.7134931062566352
0.17799999999999999,-0.86371567268061111,-4.7104259438800744
0.17999999999999999,-0.87313342987644971,-4.7073627701414313
0.182,-0.88254506537121202,-4.7043035769812098
0.184,-0.89195058735092148,-4.7012483563399154
0.186,-0.90135000400160081,-4.6981971001580529
0.188,-0.91074332350927367,-4.6951498003761278
0.19,-0.92013055405996302,-4.6921064489346431
0.192,-0.92951170383969195,-4.6890670377741053
0.19400000000000001,-0.93888678103448386,-4.6860315588350208
0.19600000000000001,-0.94825579383036207,-4.6830000040578899
0.19800000000000001,-0.95761875041334943,-4.6799723653832226
0.20000000000000001,-0.96697565896946924,-4.6769486347515183
0.20200000000000001,-0.9763265276847447,-4.6739288041032863
