"Time","absoluteVelocity.v[1]","absoluteVelocity.v[2]","absoluteVelocity.w","absoluteVelocity1.v[1]","absoluteVelocity1.v[2]","absoluteVelocity1.w","relativeVelocity.v_rel[1]","relativeVelocity.v_rel[2]","relativeVelocity.w_rel","relativeVelocity1.v_rel[1]","relativeVelocity1.v_rel[2]","relativeVelocity1.w_rel","relativeVelocity2.v_rel[1]","relativeVelocity2.v_rel[2]","relativeVelocity2.w_rel","relativeVelocity3.v_rel[1]","relativeVelocity3.v_rel[2]","relativeVelocity3.w_rel"
0,0.14000000000000001,-0.75,0.29999999999999999,0.66452359769534719,-0.37484448522825076,0.29999999999999999,0.14000000000000001,-0.75,0.29999999999999999,0.14000000000000001,-0.75,0.29999999999999999,0.66452359769534719,-0.37484448522825076,0.29999999999999999,-0.085396112707230548,-0.75816060563345944,0.29999999999999999
0.001,0.14031674197260433,-0.75047516090273803,0.30097550751870417,0.66497850479572818,-0.37510710919607282,0.30097550751870417,0.14031674197260433,-0.75047516090273803,0.30097550751870417,0.14031674197260433,-0.75047516090273803,0.30097550751870417,0.66497850479572818,-0.37510710919607282,0.30097550751870417,-0.085232134455567043,-0.75870761065508308,0.30097550751870417
0.002,0.14063329290625542,-0.75094942367007589,0.30195039999775969,0.6654321374549681,-0.37537025778048549,0.30195039999775969,0.14063329290625542,-0.75094942367007589,0.30195039999775969,0.14063329290625542,-0.75094942367007589,0.30195039999775969,0.6654321374549681,-0.37537025778048549,0.30195039999775969,-0.085068076305985063,-0.75925370093116762,0.30195039999775969
0.0030000000000000001,0.14094965220316519,-0.75142278734735191,0.30292467580131843,0.66588449439393405,-0.37563393074480328,0.30292467580131843,0.14094965220316519,-0.75142278734735191,0.30292467580131843,0.14094965220316519,-0.75142278734735191,0.30292467580131843,0.66588449439393405,-0.37563393074480328,0.30292467580131843,-0.084903938551036118,-0.75979887537398916,0.30292467580131843
0.0040000000000000001,0.14126581982097017,-0.75189525186723094,0.30389833481351991,0.66633557503588892,-0.37589812858242422,0.30389833481351991,0.14126581982097017,-0.75189525186723094,0.30389833481351991,0.14126581982097017,-0.75189525186723094,0.30389833481351991,0.66633557503588892,-0.37589812858242422,0.30389833481351991,-0.084739721211545771,-0.760343133906769,0.30389833481351991
0.0050000000000000001,0.14158179432307547,-0.75236681495846525,0.30487137311346735,0.66678537707330998,-0.37616284991435678,0.30487137311346735,0.14158179432307547,-0.75236681495846525,0.30487137311346735,0.14158179432307547,-0.75236681495846525,0.30487137311346735,0.66678537707330998,-0.37616284991435678,0.30487137311346735,-0.084575424997287929,-0.76088647393748243,0.30487137311346735
0.0060000000000000001,0.14189757597350153,-0.7528374770384898,0.3058437914217646,0.66723390031090446,-0.3764280956261532,0.3058437914217646,0.14189757597350153,-0.7528374770384898,0.3058437914217646,0.14189757597350153,-0.7528374770384898,0.3058437914217646,0.66723390031090446,-0.3764280956261532,0.3058437914217646,-0.084411049777824765,-0.76142889594251661,0.3058437914217646
0.0070000000000000001,0.14221316487284816,-0.75330723826636037,0.30681559001298364,0.66768114434944992,-0.37669386637938757,0.30681559001298364,0.14221316487284816,-0.75330723826636037,0.30681559001298364,0.14221316487284816,-0.75330723826636037,0.30681559001298364,0.66768114434944992,-0.37669386637938757,0.30681559001298364,-0.08424659550345559,-0.7619704001033899,0.30681559001298364
0.0080000000000000002,0.14252856102111533,-0.75377609864207673,0.30778676888712436,0.66812710866409486,-0.3769601626949145,0.30778676888712436,0.14252856102111533,-0.75377609864207673,0.30778676888712436,0.14252856102111533,-0.75377609864207673,0.30778676888712436,0.66812710866409486,-0.3769601626949145,0.30778676888712436,-0.084082062174180433,-0.76251098642010195,0.30778676888712436
0.0090000000000000011,0.14284376011757949,-0.75424405143881279,0.308757316354905,0.66857178748171431,-0.37722697930936572,0.308757316354905,0.14284376011757949,-0.75424405143881279,0.308757316354905,0.14284376011757949,-0.75424405143881279,0.308757316354905,0.66857178748171431,-0.37722697930936572,0.308757316354905,-0.083917451936067977,-0.76305064720234705,0.308757316354905
0.01,0.14315876348697337,-0.75471109872860254,0.30972723601692292,0.66901518189840803,-0.37749431849591286,0.30972723601692292,0.14315876348697337,-0.75471109872860254,0.30972723601692292,0.14315876348697337,-0.75471109872860254,0.30972723601692292,0.66901518189840803,-0.37749431849591286,0.30972723601692292,-0.083752764128074197,-0.76358938481893568,0.30972723601692292
0.010999999999999999,0.14347357193766358,-0.75517724177582479,0.31069653007030279,0.66945729237735829,-0.3777621818333205,0.31069653007030279,0.14347357193766358,-0.75517724177582479,0.31069653007030279,0.14347357193766358,-0.75517724177582479,0.31069653007030279,0.66945729237735829,-0.3777621818333205,0.31069653007030279,-0.083587998346822845,-0.7641272007153429,0.31069653007030279
0.012,0.14378818546965016,-0.75564248058047911,0.31166519851504454,0.66989811839431457,-0.37803056980915084,0.31166519851504454,0.14378818546965016,-0.75564248058047911,0.31166519851504454,0.14378818546965016,-0.75564248058047911,0.31166519851504454,0.66989811839431457,-0.37803056980915084,0.31166519851504454,-0.08342315459231367,-0.76466409489156817,0.31166519851504454
0.013000000000000001,0.14410260408293313,-0.75610681514256595,0.31263324135114823,0.67033765942434842,-0.37829948290475257,0.31263324135114823,0.14410260408293313,-0.75610681514256595,0.31263324135114823,0.14410260408293313,-0.75610681514256595,0.31263324135114823,0.67033765942434842,-0.37829948290475257,0.31263324135114823,-0.083258232864546894,-0.76520006734761192,0.31263324135114823
