"Time","body1.frame_a.phi","body1.r[1]","body1.w","revolute.phi","revolute.w"
0.77759999999999996,0.15778880440009863,0.59161186044301628,-3.8633755332009514,-1.162089626776962,-4.847785960528185
0.77849999999999997,0.15430857093318498,0.591889608125865,-3.8704664408464331,-1.1664469161210929,-4.8351055582394853
0.77939999999999998,0.1508219479001312,0.59216170329121276,-3.8775749726988451,-1.170792744866006,-4.8223165888012716
0.78029999999999999,0.14732891941296183,0.59242810997869144,-3.8847013032102886,-1.1751270153433624,-4.809418791589728
0.78120000000000001,0.14382946943098654,0.59268879210980019,-3.8918456080803487,-1.1794496296645125,-4.7964119047649874
0.78210000000000002,0.14032358175990248,0.5929437134874932,-3.8990080642611158,-1.1837604897200995,-4.7832956652554008
0.78300000000000003,0.13681124005089701,0.59319283779577026,-3.9061888499622097,-1.1880594971796639,-4.7700698087418107
0.78389999999999993,0.13329242779975031,0.59343612859926687,-3.9133881446558081,-1.1923465534912427,-4.7567340696417961
0.78479999999999994,0.12976712834593654,0.59367354934284411,-3.9206061290816709,-1.1966215598809764,-4.743288181093952
0.78569999999999995,0.12623532487172853,0.59390506335117865,-3.9278429852521595,-1.200884417352708,-4.7297318749421544
0.78659999999999997,0.12269700040129899,0.59413063382835174,-3.9350988964572675,-1.2051350266875887,-4.7160648817198165
0.78749999999999998,0.1191521377998231,0.59435022385744107,-3.9423740472696438,-1.209373288443677,-4.7022869306341599
0.78839999999999999,0.11560071977258121,0.59456379640010881,-3.9496686235496146,-1.2135991029555462,-4.6883977495504805
0.7893,0.11204272651055583,0.59477131152776597,-3.9569828447098092,-1.2178123639565801,-4.6743970619193282
0.79020000000000001,0.10847813561933167,0.59497272633858289,-3.9643169646824434,-1.2220129583883501,-4.6602845866695963
0.79110000000000003,0.10490693483532823,0.59516800991622931,-3.9716710976101379,-1.2262008008598739,-4.646060054711632
0.79199999999999993,0.1013291060774021,0.59535712457043166,-3.9790454364439727,-1.2303757904342141,-4.6317231882065784
0.79289999999999994,0.097744631093682283,0.59554003247998921,-3.9864401755347894,-1.2345378259317694,-4.6172737078867261
0.79379999999999995,0.094153491460549063,0.59571669569221486,-3.9938555106399445,-1.2386868059295344,-4.6027113330396254
0.79469999999999996,0.090555668581608045,0.59588707612237624,-4.0012916389300699,-1.2428226287603594,-4.5880357814921817
0.79559999999999997,0.086951143686666899,0.59605113555313793,-4.0087487589958313,-1.2469451925122121,-4.573246769594757
0.79649999999999999,0.083339897830711315,0.59620883563400084,-4.016227070854689,-1.2510543950274353,-4.5583440122052679
0.7974,0.079721911892881012,0.59636013788074538,-4.0237267759576447,-1.255150133902009,-4.5433272226732893
0.79830000000000001,0.076097166575445921,0.59650500367487114,-4.0312480771960146,-1.2592323064848101,-4.528196112824153
0.79920000000000002,0.072465642402782235,0.59664339426303892,-4.0387911789081761,-1.2633008098768717,-4.512950392943047
0.80010000000000003,0.068827319720348279,0.59677527075651116,-4.0463562868863336,-1.2673555409306436,-4.4975897717591229
0.80099999999999993,0.065182178693661358,0.59690059413059415,-4.0539436083832641,-1.2713963962492532,-4.4821139564295871
0.80189999999999995,0.061530199307271695,0.59701932522407875,-4.0615533521190974,-1.2754232721857646,-4.4665226525238024
0.80279999999999996,0.057871361363741422,0.5971314247386813,-4.0691857282880468,-1.2794360648424401,-4.450815564007395
0.80369999999999997,0.05420564448261872,0.59723685323848463,-4.0768409485651871,-1.2834346700699972,-4.4349923932263549
0.80459999999999998,0.050533028099414352,0.59733557114938052,-4.0845192261132066,-1.2874189834668721,-4.4190528408911263
0.80549999999999999,0.046853491464577783,0.59742753875850929,-4.0922207755891602,-1.2913889003784789,-4.4029966060607206
0.80640000000000001,0.043167013642473183,0.5975127162137025,-4.0999458131512379,-1.2953443158964684,-4.3868233861268031
0.80730000000000002,0.039473573510355499,0.59759106352292268,-4.1076945564655079,-1.2992851248579902,-4.3705328767978102
0.80820000000000003,0.035773149757346551,0.59766254055370538,-4.1154672247126918,-1.3032112218449501,-4.3541247720830345
0.80909999999999993,0.03206572088341153,0.59772710703260046,-4.1232640385949084,-1.3071225011832734,-4.3375987642767369
0.80999999999999994,0.028351265198333222,0.59778472254461312,-4.1310852203424426,-1.3110188569421632,-4.3209545439422348
0.81089999999999995,0.024629757137169188,0.59783534303079666,-4.138931034514286,-1.3149001755783656,-4.3041918319407761
0.81179999999999997,0.020901169483254715,0.59787892290203404,-4.1468017633745173,-1.3187663403762147,-4.2873103600676989
0.81269999999999998,0.017165486675552052,0.59791542769046913,-4.1546975595131865,-1.3226172580201028,-4.270309755260528
0.81359999999999999,0.013422686072150533,0.59794481623752305,-4.1626186533423342,-1.326452821184076,-4.2531897025721079
0.8145,0.009672744827533962,0.59796704723238248,-4.170565276927924,-1.3302729222651759,-4.2359498853170985
0.81540000000000001,0.0059156398913912944,0.59798207921128421,-4.1785376639984309,-1.3340774533823707,-4.2185899850575135
0.81630000000000003,0.0021513480074273148,0.59798987055679942,-4.1865360499534345,-1.3378663063754836,-4.2011096815882638
0.81719999999999993,-0.0016201542878261114,0.59799037949711598,-4.1945606718722042,-1.3416393728041252,-4.1835086529226837
0.81809999999999994,-0.0053988906662012478,0.59798356410532483,-4.2026117685222912,-1.3453965439466209,-4.1657865752780774
0.81899999999999995,-0.0091848850090810175,0.59796938229870278,-4.2106895803681184,-1.3491377107989422,-4.147943123061264
0.81989999999999996,-0.012978161408590086,0.59794779183799618,-4.2187943495795652,-1.3528627640736361,-4.1299779688541092
0.82079999999999997,-0.016778744168783739,0.59791875032670527,-4.2269263200405627,-1.3565715941987562,-4.1118907833990583
0.82169999999999999,-0.020586657806837157,0.59788221521036833,-4.2350857373576751,-1.3602640913167907,-4.0936812355846905
