"Time","inertia.phi","prismatic.s","revolute.phi","revolute.w"
0,0,1,0,0
0.002,2.010086080000296e-06,1,-6.0302582400008847e-07,-0.00060301507537688435
0.0040000000000000001,8.0402421207150712e-06,1,-2.4120726362145208e-06,-0.0012060301507537687
0.0060000000000000001,1.8090496859351779e-05,1,-5.4271490578055331e-06,-0.0018090452261306533
0.0080000000000000002,3.2160850400531431e-05,1,-9.6482551201594271e-06,-0.0024120603015075378
0.01,5.0251304563515091e-05,1,-1.5075391369054525e-05,-0.003015075376884422
0.012,7.236185900486963e-05,1,-2.1708557701460889e-05,-0.0036180904522613061
0.014,9.849251359373665e-05,1,-2.9547754078120998e-05,-0.0042211055276381911
0.016,0.00012864326833011616,1,-3.8592980499034848e-05,-0.0048241206030150748
0.018000000000000002,0.00016281412368460751,1,-4.8844237105382259e-05,-0.0054271356783919577
0.02,0.00020100507951225415,1,-6.0301523853676262e-05,-0.0060301507537688422
0.021999999999999999,0.00024321613572460192,1,-7.2964840717380588e-05,-0.0066331658291457259
0.024,0.0002894472923216509,1,-8.6834187696495271e-05,-0.0072361809045226105
0.026000000000000002,0.00033969854930340104,1,-0.00010190956479102031,-0.0078391959798994951
0.028000000000000001,0.00039396990666985213,1,-0.00011819097200095567,-0.0084422110552763788
0.029999999999999999,0.00045226136442100436,1,-0.00013567840932630134,-0.0090452261306532625
0.032000000000000001,0.00051457292255685776,1,-0.00015437187676705736,-0.0096482412060301479
0.034000000000000002,0.00058090458132619024,1,-0.00017427137439785705,-0.010251256281407032
0.036000000000000004,0.00065125634070866529,1,-0.00019537690221259961,-0.010854271356783917
0.037999999999999999,0.0007256282005673857,1,-0.00021768846017021571,-0.011457286432160801
0.040000000000000001,0.00080402016090235125,1,-0.00024120604827070543,-0.012060301507537684
0.042000000000000003,0.00088643222171356259,1,-0.00026592966651406874,-0.01266331658291457
0.043999999999999997,0.00097286438300101864,1,-0.00029185931490030559,-0.013266331658291454
0.045999999999999999,0.00106331664476472,1,-0.00031899499342941606,-0.013869346733668337
0.048000000000000001,0.001157789007004667,1,-0.00034733670210140014,-0.014472361809045223
0.050000000000000003,0.0012562814697208589,1,-0.00037688444091625768,-0.015075376884422106
0.052000000000000005,0.0013587940329132964,1,-0.00040763820987398884,-0.015678391959798994
0.053999999999999999,0.0014653266965819786,1,-0.00043959800897459356,-0.016281407035175874
0.056000000000000001,0.0015758794607269066,1,-0.00047276383821807195,-0.016884422110552761
0.058000000000000003,0.0016904523253480795,1,-0.00050713569760442391,-0.017487437185929645
0.059999999999999998,0.0018090452904454975,1,-0.00054271358713364921,-0.018090452261306528
0.062,0.0019316583560191616,1,-0.0005794975068057483,-0.018693467336683412
0.064000000000000001,0.0020582915220690701,1,-0.00061748745662072095,-0.019296482412060299
0.066000000000000003,0.002188944788630577,1,-0.00065668343658917348,-0.01989949748743718
0.068000000000000005,0.0023236181557959742,1,-0.00069708544673879229,-0.020502512562814063
0.070000000000000007,0.0024623116234558776,1,-0.00073869348703676358,-0.02110552763819095
0.072000000000000008,0.0026050251916102905,1,-0.00078150755748308712,-0.021708542713567834
0.073999999999999996,0.0027517588602592098,1,-0.00082552765807776302,-0.022311557788944714
0.075999999999999998,0.0029025126294026388,1,-0.00087075378882079193,-0.022914572864321602
0.078,0.003057286499040576,1,-0.00091718594971217278,-0.023517587939698485
0.080000000000000002,0.0032160804691730208,1,-0.00096482414075190642,-0.024120603015075369
0.082000000000000003,0.0033788945397999742,1,-0.0010136683619399924,-0.024723618090452253
0.084000000000000005,0.003545728710921436,1,-0.0010637186132764309,-0.025326633165829143
0.086000000000000007,0.003716582982537406,1,-0.0011149748947612218,-0.025929648241206027
0.087999999999999995,0.0038914573546478828,1,-0.001167437206394365,-0.026532663316582904
0.089999999999999997,0.0040703518272528693,1,-0.0012211055481758607,-0.027135678391959794
0.091999999999999998,0.0042532664003523636,1,-0.0012759799201057091,-0.027738693467336678
0.094,0.0044402010739463659,1,-0.0013320603221839097,-0.028341708542713562
0.096000000000000002,0.0046311558480348755,1,-0.001389346754410463,-0.028944723618090445
0.098000000000000004,0.0048261307226178957,1,-0.001447839216785369,-0.029547738693467333
0.10000000000000001,0.0050251256976954223,1,-0.0015075377093086268,-0.030150753768844216
0.10200000000000001,0.0052281407732674579,1,-0.0015684422319802373,-0.030753768844221104
0.10400000000000001,0.0054351759493340016,1,-0.0016305527848002005,-0.031356783919597987
0.106,0.0056462312258950516,1,-0.0016938693677685155,-0.031959798994974864
0.108,0.0058613066029506115,1,-0.0017583919808851836,-0.032562814070351755
0.11,0.0060804020805006803,1,-0.0018241206241502038,-0.033165829145728638
0.112,0.0063035176585452555,1,-0.0018910552975635769,-0.033768844221105522
0.114,0.0065306533370843405,1,-0.001959196001125302,-0.034371859296482406
0.11600000000000001,0.0067618091161179335,1,-0.00202854273483538,-0.034974874371859296
0.11800000000000001,0.0069969849956460339,1,-0.0020990954986938102,-0.03557788944723618
0.12,0.0072361809756686405,1,-0.0021708542927005928,-0.036180904522613057
0.122,0.0074793970561857579,1,-0.0022438191168557275,-0.036783919597989941
0.124,0.0077266332371973834,1,-0.0023179899711592154,-0.037386934673366831
0.126,0.0079778895187035178,1,-0.0023933668556110552,-0.037989949748743715
0.128,0.0082331659007041594,1,-0.0024699497702112476,-0.038592964824120599
0.13,0.0084924623831993101,1,-0.0025477387149597931,-0.039195979899497482
0.13200000000000001,0.0087557789662361073,1,-0.0026267336898708315,-0.03979899497487438
0.13400000000000001,0.0090231156498261078,1,-0.0027069346949478322,-0.040402010050251264
