"Time","prismatic.s","prismatic.v","absolutePosition.r[1]","absolutePosition.r[2]","absolutePosition.phi","absoluteVelocity.v[1]","absoluteVelocity.v[2]","absoluteVelocity.w","absoluteAcceleration.a[1]","absoluteAcceleration.a[2]","absoluteAcceleration.z"
0,0,1,0,0,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.00020000000000000001,0.00020000000000000001,1,0.00014142135623730951,0.00014142135623730954,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.00040000000000000002,0.00040000000000000002,1,0.00028284271247461902,0.00028284271247461907,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.00060000000000000006,0.00060000000000000006,1,0.00042426406871192861,0.00042426406871192855,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.00080000000000000004,0.00080000000000000004,1,0.00056568542494923803,0.00056568542494923814,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.001,0.001,1,0.00070710678118654751,0.00070710678118654762,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0012000000000000001,0.0012000000000000001,1,0.00084852813742385721,0.0008485281374238571,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0014,0.0014,1,0.00098994949366116658,0.00098994949366116658,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0016000000000000001,0.0016000000000000001,1,0.0011313708498984761,0.0011313708498984763,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0018000000000000002,0.0018000000000000002,1,0.0012727922061357858,0.0012727922061357858,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.002,0.002,1,0.001414213562373095,0.0014142135623730952,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0022000000000000001,0.0022000000000000001,1,0.0015556349186104047,0.0015556349186104049,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0024000000000000002,0.0024000000000000002,1,0.0016970562748477144,0.0016970562748477142,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0026000000000000003,0.0026000000000000003,1,0.0018384776310850239,0.0018384776310850239,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0028,0.0028,1,0.0019798989873223332,0.0019798989873223332,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0030000000000000001,0.0030000000000000001,1,0.0021213203435596424,0.0021213203435596429,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0032000000000000002,0.0032000000000000002,1,0.0022627416997969521,0.0022627416997969526,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0034000000000000002,0.0034000000000000002,1,0.0024041630560342623,0.0024041630560342618,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0036000000000000003,0.0036000000000000003,1,0.0025455844122715715,0.0025455844122715715,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0038,0.0038,1,0.0026870057685088808,0.0026870057685088808,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0040000000000000001,0.0040000000000000001,1,0.0028284271247461901,0.0028284271247461905,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0042000000000000006,0.0042000000000000006,1,0.0029698484809835002,0.0029698484809835002,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0044000000000000003,0.0044000000000000003,1,0.0031112698372208094,0.0031112698372208099,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0045999999999999999,0.0045999999999999999,1,0.0032526911934581187,0.0032526911934581187,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0048000000000000004,0.0048000000000000004,1,0.0033941125496954288,0.0033941125496954284,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0050000000000000001,0.0050000000000000001,1,0.0035355339059327381,0.0035355339059327381,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0052000000000000006,0.0052000000000000006,1,0.0036769552621700478,0.0036769552621700478,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0054000000000000003,0.0054000000000000003,1,0.0038183766184073571,0.0038183766184073571,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0055999999999999999,0.0055999999999999999,1,0.0039597979746446663,0.0039597979746446663,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
0.0058000000000000005,0.0058000000000000005,1,0.004101219330881976,0.004101219330881976,0,0.70710678118654757,0.70710678118654757,0,1.1980416658730062e-14,1.1980416658730064e-14,0
