"Time","bodyFront.frame_a.phi","bodyFront.r[1]","bodyFront.r[2]","bodyFront.w","idealWheelFront.phi_roll","idealWheelFront.v_long","idealWheelRear.phi_roll","idealWheelRear.v_long","revolute.phi","revolute.w"
0,0.69813170079773001,0.0642787609686538,0.92339555568810205,0,0,0,0,0,0.69813170079773001,0
0.0011999999999999999,0.69813096847051315,0.064278491156669365,0.9233958772379367,-0.0012205298597546222,1.3991775484244187e-06,0.00069958001315062468,1.2287430829786227e-06,0.00061436386566468418,0.69813075475815101,-0.001576712631307234
0.0023999999999999998,0.6981287715248613,0.064277681733863778,0.92339684187696125,-0.002441049720167501,5.5966552641947511e-06,0.0013991585030907446,4.9149298533786474e-06,0.0012287279434754479,0.69812791668703078,-0.0031534115629531928
0.0035999999999999999,0.69812510997605637,0.064276332705607758,0.92339844961048279,-0.0036615510737160635,1.2592435192314422e-05,0.002098734111580452,1.1058575102734364e-05,0.001843092667767635,0.69812318660662442,-0.0047300845789403417
0.0047999999999999996,0.69811998389574492,0.064274444097469005,0.92340070044553579,-0.0048820194626010283,2.2386480513916463e-05,0.0027983048225650757,1.9659688125655791e-05,0.0024574575862677389,0.69811656461753901,-0.0063067135462618875
0.0059999999999999993,0.69811339333183542,0.064272015926543635,0.9234035943868415,-0.0061024462293640096,3.4978766655665109e-05,0.0034978692613326632,3.0718275197621764e-05,0.0030718231106429579,0.69810805078705251,-0.0078832861003570558
0.0071999999999999998,0.6981053382612431,0.064269048184593836,0.92340713143212461,-0.0073228411412177589,5.0369305458286532e-05,0.0041974280902917667,4.4234333294776364e-05,0.0036861923973659253,0.69809764508274674,-0.009459808199121825
0.0083999999999999995,0.698095818887564,0.064265540944298274,0.92341131160090761,-0.0085431816941823162,6.855799106847646e-05,0.0048969784043196816,6.02078872550271e-05,0.0043005637947402505,0.69808534779043285,-0.011036253709656564
0.0095999999999999992,0.6980848357714724,0.064261494405803712,0.92341613494695152,-0.0097633992913532149,8.9544531981384164e-05,0.0055965122031242471,7.863900547841643e-05,0.0049149287831081519,0.69807115969719402,-0.012612550665695686
0.010799999999999999,0.69807238854156384,0.06425690843652801,0.92342160143464369,-0.010983545647772906,0.00011332912129703867,0.0062960347862970299,9.9527642655063061e-05,0.0055292967674001091,0.69805508028164676,-0.014188746739474968
0.011999999999999999,0.69805847719783809,0.064251783036471138,0.92342771106398414,-0.012203624538171857,0.00013991175901543996,0.0069955461538380231,0.00012287379878496698,0.0061436700098738096,0.69803710954379117,-0.015764841930994408
0.013199999999999998,0.69804310174029549,0.064246118205633113,0.92343446383497274,-0.013423639737325781,0.00016929244513658805,0.0076950463057472371,0.00014867747386812822,0.0067580507724503093,0.69801724748362737,-0.017340836240254006
