"Time","body.r[1]","body.v[1]","slipBasedRolling.phi","slipBasedRolling.w"
0.85199999999999998,1.1699161319997755,0.74628199999999956,11.711832263999552,12.492563999999998
0.85250000000000004,1.1702890890622757,0.74554624999999941,11.718078178124554,12.491092499999999
0.85299999999999998,1.1706616782497756,0.7448104999999996,11.724323356499552,12.489621
0.85350000000000004,1.1710338995622755,0.74407474999999956,11.730567799124554,12.488149499999999
0.85399999999999998,1.1714057529997755,0.74333899999999953,11.736811505999553,12.486677999999999
0.85450000000000004,1.1717772385622756,0.74260324999999949,11.743054477124552,12.485206499999999
0.85499999999999998,1.1721483562497754,0.74186749999999957,11.749296712499552,12.483734999999999
0.85550000000000004,1.1725191060622755,0.74113174999999942,11.755538212124552,12.482263499999998
0.85599999999999998,1.1728894879997755,0.74039599999999961,11.761778975999553,12.480791999999999
0.85650000000000004,1.1732595020622756,0.73966024999999946,11.768019004124554,12.479320499999998
0.85699999999999998,1.1736291482497754,0.73892449999999954,11.774258296499552,12.477848999999999
0.85750000000000004,1.1739984265622756,0.73818874999999951,11.780496853124552,12.476377499999998
0.85799999999999998,1.1743673369997754,0.73745299999999947,11.786734673999552,12.474905999999999
0.85850000000000004,1.1747358795622755,0.73671724999999944,11.792971759124553,12.473434499999998
0.85899999999999999,1.1751040542497755,0.73598149999999962,11.799208108499551,12.471962999999999
0.85950000000000004,1.1754718610622754,0.73524574999999948,11.805443722124553,12.470491499999998
0.85999999999999999,1.1758392999997753,0.73450999999999955,11.811678599999551,12.469019999999999
0.86050000000000004,1.1762063710622754,0.73377424999999952,11.817912742124554,12.467548499999999
0.86099999999999999,1.1765730742497753,0.73303849999999959,11.824146148499553,12.466076999999999
0.86150000000000004,1.1769394095622754,0.73230274999999945,11.830378819124553,12.464605499999999
0.86199999999999999,1.1773053769997752,0.73156699999999952,11.836610753999553,12.463133999999998
0.86250000000000004,1.1776709765622755,0.73083124999999949,11.842841953124553,12.461662499999999
0.86299999999999999,1.1780362082497753,0.73009549999999956,11.849072416499551,12.460190999999998
0.86350000000000005,1.1784010720622753,0.72935974999999953,11.855302144124552,12.458719499999999
0.86399999999999999,1.1787655679997753,0.72862399999999949,11.861531135999552,12.457247999999998
0.86450000000000005,1.1791296960622752,0.72788824999999946,11.867759392124553,12.455776499999999
