"Time","prismatic.s","prismatic.v"
0,0.20000000000000001,0
0.001,0.19998810461721958,-0.023786113420757114
0.002,0.19995245623788374,-0.047524155583672734
0.0030000000000000001,0.19989309716868789,-0.071213795760015866
0.0040000000000000001,0.19981007394145517,-0.094854673831908473
0.0050000000000000001,0.19970343358999657,-0.118446429806154
0.0060000000000000001,0.19957322280008849,-0.14198871207122843
0.0070000000000000001,0.19941948712517252,-0.16548117825014202
0.0080000000000000002,0.19924228290095389,-0.18892341226217974
0.0090000000000000011,0.19904165946106644,-0.21231504821153913
0.01,0.19881766955799673,-0.23565571125723161
0.010999999999999999,0.19857036462324912,-0.25894502978484901
0.012,0.19829979676489903,-0.28218265917276908
0.013000000000000001,0.19800601780008664,-0.30536822981297379
0.014,0.19768907962508137,-0.32850137889330838
0.014999999999999999,0.19734903535251272,-0.35158174784873625
0.016,0.19698593928723093,-0.37460898227705214
0.017000000000000001,0.19659984283976706,-0.39758271767006681
0.018000000000000002,0.1961907985819637,-0.42050259357449887
0.019,0.19575886330152084,-0.44336828015020335
0.02,0.19530409407837115,-0.46617944967906172
0.021000000000000001,0.19482654209213396,-0.48893573159826531
0.021999999999999999,0.19432626127164424,-0.51163677530823182
0.023,0.19380330554573685,-0.53428223020937948
0.024,0.19325772977980304,-0.55687175053143156
0.025000000000000001,0.19268960181962963,-0.57940505743688375
0.026000000000000002,0.19209896897727088,-0.60188176620705003
0.027,0.19148588655494098,-0.62430153332410998
0.028000000000000001,0.19085040985485388,-0.64666401527024364
0.029000000000000001,0.19019259417922382,-0.66896886852763082
0.029999999999999999,0.18951250796864302,-0.69121581957375056
0.031,0.18881020941770874,-0.71340454030008427
0.032000000000000001,0.18808575011341688,-0.73553466739581985
0.033000000000000002,0.18733918709771866,-0.7576058666116644
0.034000000000000002,0.18657057741256516,-0.7796178036983249
0.035000000000000003,0.18577998228749845,-0.80157016727066455
0.036000000000000004,0.18496747643409575,-0.82346271955516959
0.036999999999999998,0.18413310738504304,-0.84529507438216289
0.037999999999999999,0.18327693403980347,-0.8670669076443277
0.039,0.18239901529784022,-0.88877789523434636
0.040000000000000001,0.18149941005861642,-0.91042771304490178
0.041000000000000002,0.1805781939596888,-0.93201613231611313
0.042000000000000003,0.17963542367005628,-0.9535428162349715
0.043000000000000003,0.1786711563356975,-0.97500743070555174
0.043999999999999997,0.1776854526235119,-0.99640966168862
0.044999999999999998,0.176678373200399,-1.0177491951449431
0.045999999999999999,0.17564998335804069,-1.0390257453531493
0.047,0.17460035387319217,-1.0602390601773541
0.048000000000000001,0.17352954203776866,-1.0813888049130604
0.049000000000000002,0.1724376114265386,-1.1024746833261174
0.050000000000000003,0.17132462590504288,-1.1234964009627948
0.051000000000000004,0.17019064962959535,-1.144453665149785
0.052000000000000005,0.16903574704728241,-1.1653461849942002
0.052999999999999999,0.16785998289596318,-1.186173671383576
0.053999999999999999,0.16666342220426963,-1.2069358369858687
0.055,0.16544613029160635,-1.2276323962494555
0.056000000000000001,0.16420817276815061,-1.2482630654031361
0.057000000000000002,0.16294961720076093,-1.2688275758335261
0.058000000000000003,0.16167053088148581,-1.2893256561659825
0.059000000000000004,0.16037097913056345,-1.3097570186375385
0.059999999999999998,0.15905102899481594,-1.3301213887953429
0.060999999999999999,0.15771074783108743,-1.3504184941215387
0.062,0.15635020330624391,-1.3706480640332621
0.063,0.15496946339717305,-1.3908098298826441
0.064000000000000001,0.15356859639078449,-1.4109035249568078
0.065000000000000002,0.15214767088400963,-1.4309288844778714
0.066000000000000003,0.15070675578380174,-1.4508856456029455
0.067000000000000004,0.14924592030713604,-1.4707735474241364
0.068000000000000005,0.14776522783035587,-1.490592321725476
0.069000000000000006,0.14626474787990773,-1.5103417110023363
0.070000000000000007,0.14474455313896487,-1.5300214639630469
0.071000000000000008,0.14320471350240169,-1.5496313265948445
0.072000000000000008,0.14164529914216878,-1.5691710467704485
0.072999999999999995,0.14006638050729306,-1.5886403742480619
0.073999999999999996,0.13846802832387764,-1.6080390606713741
0.074999999999999997,0.13685031359510202,-1.6273668595695554
0.075999999999999998,0.13521330760122202,-1.6466235263572615
0.076999999999999999,0.13355708189956958,-1.6658088183346318
0.078,0.13188170832455309,-1.6849224946872887
0.079000000000000001,0.13018725323992977,-1.7039643187772868
0.080000000000000002,0.12847379078507765,-1.7229340528633712
0.081000000000000003,0.12674139475808577,-1.7418314613362398
0.082000000000000003,0.12499013771801326,-1.7606563110763689
0.083000000000000004,0.12322009248032362,-1.7794083708579593
0.084000000000000005,0.1214313321168846,-1.798087411348934
0.085000000000000006,0.1196239299559685,-1.8166932051109401
0.086000000000000007,0.11779795958225192,-1.8352255265993469
0.087000000000000008,0.11595349483681584,-1.8536841521632488
0.087999999999999995,0.11409060981714567,-1.8720688600454616
0.088999999999999996,0.11220937887713116,-1.8903794303825259
0.089999999999999997,0.11030986963234971,-1.9086156494845221
0.090999999999999998,0.10839216072702301,-1.9267772989641061
0.091999999999999998,0.10645632755784698,-1.9448641644715858
0.092999999999999999,0.10450244511416353,-1.9628760339571225
0.094,0.10253058862085038,-1.9808126972773705
0.095000000000000001,0.10054083353832131,-1.9986739461954752
0.096000000000000002,0.098533255562526054,-2.0164595743810745
0.097000000000000003,0.096507930624950194,-2.034169377410298
0.098000000000000004,0.094464934892615371,-2.0518031527657667
0.099000000000000005,0.092404344768079114,-2.069360699836595
0.10000000000000001,0.090326236640110844,-2.0868418200698837
0.10100000000000001,0.088230680403824049,-2.1042463209080302
0.10200000000000001,0.086117757934647335,-2.1215740045635387
