"Time","revolute.phi","revolute.w","revolute1.phi","revolute1.w"
0,0,0,0,0
0.00050000000000000001,-1.119399166023553e-06,-0.004477593360993232,9.1587204492446977e-07,0.0036634854771591097
0.001,-4.4775942894688015e-06,-0.0089551867219079592,3.6634862365891082e-06,0.0073269709537390239
0.0015,-1.0074586042343287e-05,-0.013432780082469287,8.2428431232569508e-06,0.010990456427711457
0.002,-1.7910374471707118e-05,-0.017910373441303969,1.4653942733643574e-05,0.014653941888944479
0.0025000000000000001,-2.7984959565501508e-05,-0.022387966798714732,2.2896785060033033e-05,0.018317427339671614
0.0030000000000000001,-4.0298341317646346e-05,-0.026865560149393095,3.2971370022034172e-05,0.021980912740726104
0.0035000000000000001,-5.4850519714588563e-05,-0.031343153481506077,4.4877697440449371e-05,0.025644398004802439
0.0040000000000000001,-7.1641494764544263e-05,-0.035820746802227049,5.861576742391161e-05,0.029307883184826872
0.0045000000000000005,-9.06712664675135e-05,-0.040298340111556016,7.4185579972420914e-05,0.032971368280799405
0.0050000000000000001,-0.00011193983482349621,-0.044775933409492971,9.1587135085977251e-05,0.036634853292720024
0.0054999999999999997,-0.0001354471998324924,-0.049253526696037928,0.00011082043276458064,0.040298338220588745
0.0060000000000000001,-0.00016119336076615072,-0.053731119801363657,0.00013188546758688757,0.04396182181139565
0.0065000000000000006,-0.00018917831771167766,-0.058208712745803838,0.00015478224020200421,0.047625304215165656
0.0070000000000000001,-0.00021940207096820242,-0.06268630559910536,0.00017951075283644037,0.051288785946501603
0.0074999999999999997,-0.00025186462053572499,-0.067163898361268265,0.00020607100549019597,0.054952267005403475
0.0080000000000000002,-0.00028656596641424536,-0.071641491032292545,0.00023446299816327117,0.058615747391871295
0.0085000000000000006,-0.00032350610860376367,-0.076119083612178173,0.0002646867308556659,0.062279227105905055
0.0090000000000000011,-0.0003626850471042798,-0.080596676100925191,0.00029674220356738009,0.065942706147504748
0.0094999999999999998,-0.00040410278191579355,-0.085074268498533542,0.00033062941629841369,0.069606184516670361
0.01,-0.00044775931303830534,-0.089551860805003283,0.00036634836904876693,0.07326966221340192
0.010500000000000001,-0.00049365464047181496,-0.0940294530203344,0.00040389906181843963,0.076933139237699427
0.010999999999999999,-0.00054178876421632214,-0.09850704514452685,0.00044328149460743179,0.080596615589562853
0.0115,-0.00059216167317074941,-0.10298463589593872,0.00048449558550087211,0.084260081812908005
0.012,-0.00064477335357355429,-0.10746222368577195,0.00052754123295232092,0.087923526185422859
0.012500000000000001,-0.00069962382476146086,-0.11193981074649056,0.00057241857964748961,0.091586965178452287
0.013000000000000001,-0.00075671308673446846,-0.11641739707809455,0.00061912762558637775,0.095250398791996288
0.0135,-0.00081604113949257709,-0.12089498268058389,0.00066766837076898567,0.098913827026054862
0.014,-0.00087760798303578697,-0.12537256755395862,0.00071804081519531314,0.10257724988062805
0.014500000000000001,-0.00094141361736409821,-0.12985015169821873,0.00077024495886536049,0.10624066735571583
0.014999999999999999,-0.0010074580424775104,-0.13432773511336421,0.00082428080177912697,0.10990407945131818
0.0155,-0.001075741258376024,-0.13880531779939509,0.00088014834393661365,0.1135674861674351
0.016,-0.0011462632650596385,-0.14328289975631131,0.00093784758533781978,0.11723088750406663
0.016500000000000001,-0.0012190240625283546,-0.14776048098411293,0.00099737852598274579,0.12089428346121275
0.017000000000000001,-0.0012940236507821719,-0.15223806148279992,0.001058741165871391,0.12455767403887344
0.017500000000000002,-0.0013712620298210901,-0.15671564125237228,0.0011219355050037562,0.12822105923704871
0.018000000000000002,-0.0014507391996451096,-0.16119322029283004,0.001186961543379841,0.13188443905573857
0.018499999999999999,-0.0015324551602542299,-0.16567079860417311,0.0012538192809996452,0.13554781349494302
0.019,-0.0016164099116484517,-0.17014837618640161,0.0013225087178631691,0.13921118255466206
0.0195,-0.0017026034538277749,-0.17462595303951547,0.0013930298539704131,0.14287454623489568
0.02,-0.0017910357867921992,-0.17910352916351471,0.0014653826893213763,0.14653790453564391
0.020500000000000001,-0.0018817069105417248,-0.18358110455839932,0.0015395672239160595,0.15020125745690668
0.021000000000000001,-0.0019746168250763512,-0.18805867922416933,0.0016155834577544622,0.15386460499868407
0.021500000000000002,-0.0020697655303960794,-0.19253625316082468,0.0016934313908365847,0.15752794716097607
0.021999999999999999,-0.0021671530265009076,-0.1970138263683654,0.0017731110231624259,0.16119128394378257
0.022499999999999999,-0.002266779313390838,-0.20149139884679151,0.0018546223547319877,0.16485461534710372
0.023,-0.0023686442673585164,-0.20596895804018522,0.0019379644728244778,0.16851784873373329
0.0235,-0.002472747943084109,-0.21044650949841598,0.0020231377808736651,0.17218102505045094
0.024,-0.0025790903941960552,-0.2149240586646064,0.0021101426745536241,0.17584418445646127
0.024500000000000001,-0.0026876716206943548,-0.2194016055387564,0.0021989791538643559,0.17950732695176419
0.025000000000000001,-0.0027984916225790085,-0.22387915012086607,0.0022896472188058594,0.18317045253635977
0.025500000000000002,-0.0029115503998500161,-0.22835669241093534,0.0023821468693781362,0.18683356121024797
0.026000000000000002,-0.0030268479525073777,-0.23283423240896425,0.0024764781055811847,0.1904966529734288
0.026499999999999999,-0.0031443842805510915,-0.23731177011495277,0.0025726409274150052,0.19415972782590227
0.027,-0.0032641593839811607,-0.24178930552890093,0.0026706353348795991,0.1978227857676684
0.0275,-0.0033861732627975829,-0.24626683865080873,0.002770461327974965,0.20148582679872715
0.028000000000000001,-0.0035104259170003591,-0.25074436948067619,0.002872118906701103,0.20514885091907856
0.028500000000000001,-0.0036369173465894892,-0.2552218980185032,0.0029756080710580139,0.20881185812872258
