"Time","body1.phi","body1.r[1]","body1.r[2]","body1.v[2]","body1.w","body2.v[1]","inertia.phi","inertia.w","inertia1.phi","inertia1.w","inertia2.phi","inertia2.w","inertia3.phi","inertia3.w","revolute2.phi","revolute2.w"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.43633231299858,0
0.002,-7.0202471299207502e-09,1.3852332133091296e-09,2.0315793669567483e-07,0.00025313407429918569,-8.2832489235145847e-06,-6.3136881020002453e-06,2.6760863935521236e-07,0.00043302751058229259,1.2231504626194076e-05,0.0089734962227470631,1.2211203992111894e-05,0.0089428208365082123,2.5333935673328993e-07,0.00041061593379435946,-0.43633189407995338,0.00053274955284941393
0.0040000000000000001,-3.0144578919369932e-08,5.7983591756838732e-09,1.0624059809671849e-06,0.00060715618210894096,-1.3335475614867155e-05,-3.288042888079474e-05,2.1835573506594425e-06,0.0015357648151245887,3.2202163987000087e-05,0.010824178364673928,3.2072910298836019e-05,0.010751625500294145,2.0835780805758371e-06,0.0014758191941294388,-0.43633002187717912,0.001354194534560727
0.0060000000000000001,-5.4058228545228517e-08,9.6568057183609654e-09,2.6302116411525134e-06,0.00095990119350986805,-9.0615710220348629e-06,-8.2505849308878024e-05,6.5043218711976822e-06,0.002792524208455239,5.5303583819301004e-05,0.012261383391866403,5.5026362007307707e-05,0.012195136319091627,6.2755426243626012e-06,0.0027314172293656071,-0.43632643850827396,0.002236548382520874
0.0080000000000000002,-6.0858465408578698e-08,9.340936630224366e-09,4.8992945644865671e-06,0.0013085555966837329,3.5299663675242077e-06,-0.00015164566876457497,1.3365191418723122e-05,0.0040685883349789584,8.1205248131018546e-05,0.013633262666273795,8.0845720858704545e-05,0.013625353300141863,1.3051592426646213e-05,0.004052331876635445,-0.43632104984489462,0.0031578797856214496
0.01,-3.5539863897027107e-08,2.550606369023093e-09,7.8623169939007198e-06,0.0016539217003494629,2.2919062001667125e-05,-0.00023634901330899945,2.2776386031497702e-05,0.0053424111623618193,0.00010981284682751928,0.014967847519889254,0.00010953247495899259,0.015062203578165834,2.2509139322956086e-05,0.0054117727169732642,-0.43631378691114686,0.0041102314206059691
0.012,3.4227415152496956e-08,-1.201521532195192e-08,1.1513380049565924e-05,0.0019967041015667942,4.776972662418737e-05,-0.00033328559559374647,3.4730297408514003e-05,0.0066108096184806491,0.0001410595722347516,0.016273884584921135,0.00014109975170145973,0.016506062010024566,3.471532427043898e-05,0.0067993380629837608,-0.4363045931000224,0.0050878544365025851
0.014,1.5807556674666794e-07,-3.482765043175874e-08,1.5847956831072096e-05,0.0023374312916123407,7.7013929362709392e-05,-0.00043988372485244496,4.9216760643817726e-05,0.0078746729913194268,0.00017489480318953431,0.017556457616220142,0.00017555966894408021,0.01795506049871853,4.971929822009102e-05,0.0082094162463550654,-0.43629342316073499,0.0060863955906068018
0.016,3.4379950662257695e-07,-6.5923115004388234e-08,2.0862410010202836e-05,0.0026765157411805908,0.00010978222925587814,-0.00055410164542415128,6.622716901992516e-05,0.0091346257035527113,0.00021127721048834963,0.018820338636133072,0.00021292168289094518,0.019408326338976364,6.7560526552517121e-05,0.0096373066465511685,-0.43628023932038423,0.0071023101719856216
0.018000000000000002,5.9799557303420485e-07,-1.051338629994223e-07,2.6553662446193727e-05,0.0030143053383958197,0.00014533403680963759,-0.00067423074795125361,8.5753923475448066e-05,0.010391185659560187,0.00025017188954323973,0.020069473630498887,0.0002531938853818429,0.020865000652488468,8.8272112058139919e-05,0.011079002547454642,-0.43626500865757417,0.0081325978787728272
0.02,9.2567893753541717e-07,-1.5204101260274345e-07,3.2919375785089855e-05,0.0033510590781908925,0.00018309875973925933,-0.00079899877819244189,0.00010779070519958957,0.01164480357343407,0.00029155226341245666,0.021306924099508143,0.00029638242466442698,0.022324442396826266,0.00011187874657692189,0.012531456398156853,-0.43624770463834239,0.0091749701342356219
0.021999999999999999,1.3308041723638832e-06,-2.0614532680460032e-07,3.9957689880854019e-05,0.0036869800782337908,0.00022261994840472513,-0.00092741317577059196,0.00013233210445340454,0.012895919046850215,0.00033539735962387693,0.022535034877501785,0.00034249216651939567,0.0237860294662782,0.0001383995235881904,0.013992304840107248,-0.43622830496785242,0.010227614786323003
0.024,1.8165336381439532e-06,-2.6692888028963877e-07,4.7667094223546869e-05,0.0040222298927365969,0.00026352691316827102,-0.001058684925839709,0.00015937347735545804,0.014144922231528434,0.00038169030112108007,0.023755700853370601,0.0003915269234377778,0.025249245630209707,0.00016784943751084103,0.015459658649587669,-0.43620679049164363,0.01128906898233898
0.026000000000000002,2.3853646256831541e-06,-3.3388947213309622e-07,5.6046365731754477e-05,0.0043569361129693696,0.0003055212368609369,-0.0011921916761828345,0.00018891087943316302,0.015392138176436324,0.00043041761773713537,0.024970448775796159,0.00044348958992795244,0.02671367662149348,0.00020024009359142573,0.01693200748695349,-0.43618314467507169,0.012358160069823492
0.028000000000000001,3.039175916626831e-06,-4.0656297601286474e-07,6.5094544255739351e-05,0.0046911955101297904,0.00034837183199733966,-0.0013274627537483248,0.00022094104474515129,0.016637827345370167,0.00048156899506876652,0.02618045571627527,0.00049838219355481021,0.028178996550304251,0.00023557997212301924,0.018408190706638926,-0.43615735341041501,0.013433983756569111
0.029999999999999999,3.7795528599522924e-06,-4.845393230345113e-07,7.4810787704659987e-05,0.0050250912372844861,0.00039187971760786992,-0.0014640942904588906,0.00025546107129390851,0.017882215541249438,0.00053513559041192048,0.027386731339429597,0.00055620632440352721,0.029644920965705184,0.000273876112191178,0.019887210831548419,-0.43612940373028436,0.014515760374595925
0.032000000000000001,4.6076635050246427e-06,-5.674584976559641e-07,8.5194426856283201e-05,0.0053586863228548953,0.00043589145788716058,-0.0016017812805289183,0.00029246854432403815,0.019125481272522987,0.00059111067201378224,0.028590049664467033,0.00061696296885648926,0.031111226148073219,0.00031513347330947608,0.021368303618876983,-0.43609928429676142,0.015602889437082979
0.034000000000000002,5.5242889655756236e-06,-6.5498659952344165e-07,9.6244956885538357e-05,0.0056920244894075756,0.00048029566665282804,-0.0017403130920073942,0.00033196146821339175,0.02036777170012416,0.00064948948226745183,0.029790965684522833,0.00068065257176276475,0.032577742128015064,0.00035935505720235001,0.022850930771375431,-0.43606698529898436,0.016694938203644667
0.036000000000000004,6.5298383156024563e-06,-7.4684269614085911e-07,0.00010796202550755751,0.0060251317571580797,0.00052502160604660968,-0.0018795660488247416,0.00037393829203831837,0.021609190261985926,0.00071026913962078339,0.030989823895030848,0.0007472750335702381,0.034044352994205572,0.00040654202155146176,0.024334760795800419,-0.43603249837577207,0.017791633054598879
0.037999999999999999,7.6247795264923683e-06,-8.4288103431951484e-07,0.00012034523213722004,0.0063580408405910635,0.00056999264773390131,-0.0020193819705726888,0.00041839757371101168,0.022849825702292909,0.00077344635722244228,0.032187012220583164,0.00081683022982861387,0.035510948288809685,0.00045669599544294033,0.025819411935804518,-0.43599581493046202,0.018892663061066895
0.040000000000000001,8.8096217024116043e-06,-9.4283879115464566e-07,0.00013339417669699927,0.0066907834119613804,0.00061512725349969935,-0.0021596090424365298,0.00046533768415486467,0.024089787949843539,0.0008390177241818543,0.033382934011091096,0.00088931818176091529,0.03697740077017686,0.00050981867372551298,0.027304492845103844,-0.4359569262101583,0.019997709041439302
0.042000000000000003,1.0084721617986833e-05,-1.0465236199271414e-06,0.00014710851419041937,0.0070233852216872996,0.00066036063269332983,-0.0023001238379281187,0.00051475723996775673,0.025329162175802621,0.00090698056153748084,0.034577912142070691,0.00096473865092280722,0.03844361182221176,0.00056591106163762382,0.028789690671705222,-0.43591582407367119,0.021106512385438089
0.043999999999999997,1.1450230698695231e-05,-1.1538111049599343e-06,0.00016148797863890785,0.0073558633055255352,0.00070565045950237945,-0.0024408450994297783,0.00056665515564420076,0.026568004087139999,0.00097733319753471899,0.035772159379308339,0.001043091069901237,0.039909519013212075,0.00062497320161944143,0.030274801472157022,-0.43587250120807508,0.022218898363066359
0.045999999999999999,1.290656450510764e-05,-1.2644874483170789e-06,0.00017653220122881841,0.0076882458721890048,0.00075092550644205946,-0.0025816375070357753,0.00062102996087929773,0.027806407612843812,0.0010500726660515392,0.03696602973814099,0.0011243752956413171,0.041375012932358596,0.00068700637290052338,0.031759481502523827,-0.43582694923529908,0.023334584467343752
0.048000000000000001,1.4453282841332731e-05,-1.3785662228470578e-06,0.00019224115352978188,0.0080205233325897039,0.00079620795302564012,-0.0027225496658454204,0.00067788135398558159,0.029044354740196579,0.0011252002444556307,0.038159409368942673,0.0012085898615504327,0.042840124202866176,0.00075200776903528138,0.033243850185915469,-0.43577916322872506,0.024453642818380097
0.050000000000000003,1.6090707265580046e-05,-1.4958641862885611e-06,0.00020861450192311004,0.0083527199001926233,0.00084143685573600093,-0.0028634655637410512,0.00073720800100086903,0.030281925887229565,0.0012027134276595133,0.039352601939089939,0.0012957344739460137,0.044304760039258186,0.00081997822848829248,0.03472761361062781,-0.43572913518935807,0.025575829307705092
0.052000000000000005,1.7818568757478859e-05,-1.6163603620174475e-06,0.00022565214928138566,0.0086848339531675998,0.00088661554463287959,-0.0030043949403794961,0.00079900938954247569,0.031519123947075532,0.0012826126409934942,0.040545588950073111,0.0013858079285073248,0.045768923770137075,0.000890915788992391,0.036210796142130276,-0.43567685955526958,0.026701143103162951
0.053999999999999999,1.9636760375070582e-05,-1.7399871947718361e-06,0.00024335393260055405,0.0090168708968698108,0.00093172973739671277,-0.0031453133190302998,0.00086328477840580192,0.032755973279677233,0.0013648975058901836,0.041738440077812397,0.0014788092710330966,0.047232592277799496,0.00096481925295939411,0.037693335140403433,-0.43562233008703177,0.02782951690558531
0.056000000000000001,2.1545184919393408e-05,-1.8666809343363067e-06,0.00026171968496457865,0.009348836802646629,0.00097676398255681007,-0.0032861929114868281,0.00093003342704122425,0.033992498573335271,0.0014495675937095949,0.04293123175699895,0.0015747375611005953,0.048695741622782701,0.0010416874857284676,0.039175161131299534,-0.43556554054112928,0.028960878147011513
0.058000000000000003,2.3543589982622674e-05,-1.9964293542084222e-06,0.00028074930200450154,0.0096807312762838202,0.0010217195736169072,-0.00342703732177237,0.00099925482980289977,0.035228702905840896,0.0015366232437227347,0.044123957582108173,0.0016735916173923407,0.050158374032054892,0.0011215186389429881,0.040656286202017757,-0.43550648536295344,0.030095216515010979
0.059999999999999998,2.5631870621695396e-05,-2.129167685033874e-06,0.00030044261857442578,0.010012559963606426,0.0010665819257199461,-0.0035678208284423136,0.0010709482524518673,0.036464610304102849,0.0016260640667688719,0.045316689324647344,0.001775370488494135,0.051620466533897409,0.0012043115361360457,0.042136645540460455,-0.43544515833225106,0.031232463009134841
0.062,2.7809771113690771e-05,-2.2648968546277513e-06,0.00032079953359454016,0.010344322844999906,0.001111352336693788,-0.0037085451180573401,0.0011451132273713439,0.037700221721582008,0.0017178904194575125,0.046509422321646003,0.0018800729904691288,0.05308202319239045,0.0012900643542209109,0.043616249208157258,-0.43538155401876594,0.032372605567272582
0.064000000000000001,3.0077137570567812e-05,-2.4035687851109807e-06,0.00034181990054893419,0.010676023557128709,0.0011560214901906952,-0.0038491941903618619,0.0012217490963505723,0.038935554224133681,0.0018121021544060165,0.047702202413494314,0.0019876980956080913,0.054543029405527146,0.0013787756939154161,0.045095057898828846,-0.43531566642369729,0.033515594653544152
0.066000000000000003,3.2433718407346598e-05,-2.5451861757258066e-06,0.00036350362272630221,0.011007662603575061,0.0012005896775536859,-0.0039897672712525846,0.0013008554158537907,0.040170609553309748,0.0019086996215201941,0.048895030401581371,0.0020982446427498472,0.056003488163352641,0.001470443792243641,0.046573076280180647,-0.43524749026344828,0.034661413400920722
0.068000000000000005,3.4879302219514642e-05,-2.6897295682287204e-06,0.00038585058064799505,0.011339241705698071,0.0012450533395450638,-0.0041302576298563442,0.0013824316484750139,0.041405395729806227,0.002007682963767736,0.050087925012581476,0.0022117115227389367,0.057463395276033932,0.0015650670282892597,0.048050291528372709,-0.43517701993051411,0.035810032081851295
0.070000000000000007,3.7413684844955819e-05,-2.8371752193210404e-06,0.00040886065016643158,0.011670762801982006,0.0012894082228726924,-0.0042706574616119012,0.0014664772398884588,0.04263992190611416,0.0021090522868164232,0.051280908204142342,0.0023280976357937574,0.058922745259588717,0.0016626438067417178,0.049526687666771853,-0.43510424975900658,0.036961418650718302
0.072000000000000008,4.0036654817720264e-05,-2.9875029935119983e-06,0.00043253371045182121,0.012002227606134154,0.0013336507741865517,-0.0044109600447542049,0.0015529916528316705,0.04387419609332855,0.0022128077339503621,0.052473998675529862,0.0024474018726793304,0.060381533935162268,0.0017631725064674749,0.051002251898283328,-0.43502917414191633,0.038115543399634938
0.073999999999999996,4.2747990031675621e-05,-3.1406969932058814e-06,0.00045686964816438191,0.012333637537109426,0.0013777783095229423,-0.0045511601363898519,0.0016419743803304445,0.04510822511084156,0.0023189495086523956,0.053667210961915651,0.002569623116488339,0.061839758624275855,0.0018666514768157843,0.052476975585159062,-0.43495178760215747,0.039272379422312084
0.075999999999999998,4.5547426785887538e-05,-3.296758931766529e-06,0.00048186838129637977,0.01266499287001515,0.0014217915435395824,-0.0046912582748584019,0.0017334250338139827,0.046342011119418179,0.0024274780497354066,0.054860543320115314,0.0026947602203206368,0.063297422513748966,0.0019730789517466885,0.053950866349447658,-0.43487208517054449,0.040431910764519123
0.078,4.8434772092205773e-05,-3.4556596104867412e-06,0.00050752977266488308,0.012996295816881715,0.0014656854131053628,-0.0048312451701781273,0.0018273430234210847,0.047575564199671135,0.0025383933959420429,0.056054021680783911,0.0028228120882650629,0.064754518819165621,0.0020824533613863871,0.05542390417090988,-0.43479006101444156,0.041594102853099259
0.080000000000000002,5.1409805724465522e-05,-3.6173812340422489e-06,0.00053385370534408949,0.013327547839718113,0.0015094570806484979,-0.0049711153181602272,0.001923727836826048,0.048808891381549362,0.0026516957401188966,0.057247661314828745,0.0029537776047698938,0.066211044596952179,0.002194773060299401,0.056896079676900788,-0.43470570963380728,0.04275892828676129
0.082000000000000003,5.4472307456501999e-05,-3.7819056383036991e-06,0.00056084006168211076,0.013658750397710773,0.0015531037085972043,-0.0051108632146159043,0.0020225789617031699,0.050041999695001865,0.0027673852751125571,0.058441477493157153,0.0030876556542834073,0.067666996903535018,0.0023100364030502521,0.058367383494775493,-0.4346190255286001,0.043926359664213988
0.084000000000000005,5.7621973604675528e-05,-3.9492538792482032e-06,0.00058848878677530969,0.01398990273176845,0.001596629338168987,-0.0052504945419118466,0.0021238961276824468,0.051274886030101309,0.0028854626628251369,0.059635453145109096,0.0032244450576766059,0.069122385274948794,0.0024282415160914667,0.059837838495955205,-0.43453000421214388,0.04509639146834394
0.086000000000000007,6.0858536242218563e-05,-4.1194296864421946e-06,0.00061679979779483141,0.014321005029292623,0.0016400350634038898,-0.0053900101895997844,0.002227678960729357,0.052507551621291691,0.0030059283641946238,0.060829585056581904,0.0033641446630598101,0.070577213900412245,0.0025493866236088359,0.061307453737077605,-0.43443864076359162,0.046269008805888447
0.087999999999999995,6.4181801967516647e-05,-4.2924010659514786e-06,0.00064577295447976191,0.014652059453255099,0.0016833158357786231,-0.0055294010579553321,0.0023339268707498135,0.053740006757638334,0.0031287824213057569,0.062023898893573355,0.0035067533753160344,0.072031475825208524,0.0026734701534856763,0.06277620948174574,-0.43434492935719043,0.047444177241635917
0.089999999999999997,6.7591533754825898e-05,-4.468156341764037e-06,0.00067540814900257651,0.014983067005807173,0.0017264702023878486,-0.0056686638945882802,0.0024426393941226077,0.054972256427983007,0.0032540251214236982,0.063218403416792357,0.0036522700660957664,0.073485170617847817,0.0028004904143686892,0.064244102847886578,-0.43424886469688417,0.04862187377947251
0.091999999999999998,7.1087494578402327e-05,-4.6466834620717643e-06,0.00070570527278102091,0.015314028686352127,0.0017694967103262268,-0.0058077954471084207,0.0025538160672265277,0.056204305621167433,0.003381656751813606,0.064413107386947804,0.0038006936070494905,0.074938297846840196,0.0029304457149045729,0.065711130953427108,-0.43415044148661691,0.049802075423284319
0.094,7.4669342472726637e-05,-4.8280167815075413e-06,0.0007366643292399111,0.01564494349464142,0.0018124004972920474,-0.0059468032380089221,0.0026674568326712127,0.057436150536040995,0.0035116782604163671,0.065607988855905242,0.0039520228703317723,0.076390869288547589,0.0030633342164197944,0.067177322617861274,-0.43404965636653076,0.050984777072896607
0.096000000000000002,7.8336876702611675e-05,-5.0121273204399564e-06,0.0007682851692893955,0.015975813115415821,0.0018551778311996123,-0.0060856802887002863,0.002783561086351602,0.058667799201224356,0.003644089706020477,0.066803067204188729,0.0041062567274187771,0.077842880289727814,0.0031991542785077339,0.068642663995994488,-0.4339465033709885,0.052169949543373478
0.098000000000000004,8.2089852533629351e-05,-5.1990053309654619e-06,0.00080056769034397846,0.016306638393389205,0.0018978277432772786,-0.0062244241382955392,0.00290212839448746,0.0598992559598625,0.0037788914244231268,0.067998348936691738,0.0042633940499980164,0.079294331315657524,0.0033379041989932152,0.070107154534492871,-0.43384097734616345,0.053357571153204018
0.10000000000000001,8.5928021337931877e-05,-5.388642418627487e-06,0.00083351179322832536,0.016637420096518842,0.0019403495092744768,-0.0063630327256717105,0.0030231583383703133,0.06113052482897878,0.0039160837759335465,0.069193839418964412,0.0044234337097757053,0.080745223284542492,0.0034795822702352657,0.071570794856197273,-0.4337330732100651,0.054547620884842954
0.10200000000000001,8.9851117453590274e-05,-5.5810370424744747e-06,0.00086711740611300492,0.016968158900952428,0.0019827428911814923,-0.0065015047429663542,0.0031466505971315699,0.062361609450768164,0.0040556672491936958,0.070389541897440733,0.004586374602338906,0.08219555815438391,0.0036241868031148734,0.073033588153756657,-0.43362278639388735,0.05574007786234092
0.10400000000000001,9.3858850782465618e-05,-5.7761976649736973e-06,0.00090138449674936894,0.017298855352461128,0.0020250083485245304,-0.0066398399629055164,0.0032726049902586586,0.063592512929716308,0.0041976425169450073,0.071585456578580287,0.0047522156575328968,0.083645339374819466,0.0037717161350836752,0.074495541306333499,-0.43351011306501269,0.056934921412874706
0.106,9.7950991530286325e-05,-5.9741067388735254e-06,0.00093631293251217329,0.017629510309898951,0.0020671446194452676,-0.0067780354915306139,0.0034010209908673346,0.064823239697272106,0.0043420097976068061,0.072781591170914789,0.0049209557206602549,0.085094566714414732,0.0039221685380220594,0.075956652095483773,-0.43339504757405228,0.058132130362344804
0.108,0.00010212728440440199,-6.1747571616934359e-06,0.00097190262208446399,0.017960124496048939,0.0021091511699411016,-0.0069160895624415112,0.0035318982185302337,0.066053793623802523,0.0044887695017001503,0.073977950210863092,0.0050925936727708862,0.086543241498208856,0.0040755423115360094,0.077416922149518674,-0.43327758503980562,0.059331683748607179
0.11,0.00010638747411216218,-6.3781414402859689e-06,0.0010081534733492603,0.018290698631139111,0.0021510274660094314,-0.00705400040923807,0.003665236292819988,0.067284178579674489,0.0046379220397460936,0.075174538234843977,0.0052671283949146915,0.087991365051240902,0.0042318357552315064,0.07887635309674941,-0.43315772058107227,0.060533560609517756
0.112,0.00011073125637569421,-6.5842726131359127e-06,0.001045065503604059,0.018621233733316075,0.0021927729758073359,-0.0071917660264657537,0.0038010352158653954,0.068514399818001642,0.00478946825670515,0.076371360650172249,0.0054445589086985257,0.08943893952896266,0.0043910473480902722,0.080334947723843919,-0.43303545138926963,0.061737733802071759
0.114,0.0001151583665667522,-6.7931464059128388e-06,0.0010826386401483479,0.018951730575435203,0.0022343871657438045,-0.0073293846021654742,0.0039392946801465765,0.069744461472674532,0.0049434086458937723,0.077568422159241909,0.0056248841219596083,0.090885966414673169,0.0045531754239036869,0.081792707879872847,-0.43291077297819663,0.062944181186177686
0.11600000000000001,0.00011966855717217949,-7.0047508382471702e-06,0.0011208727709519639,0.019282189822871266,0.0022758695014732495,-0.0074668544079020613,0.0040800142444812441,0.070974367194461901,0.005099743548838351,0.078765727160162113,0.00580810289342556,0.092332446901531112,0.0047182182537905204,0.083249635009185224,-0.4327836801374938,0.064152882781293011
0.11800000000000001,0.00012426156490630673,-7.2190802722003314e-06,0.0011597678186521243,0.019612612235291205,0.0023172194493454694,-0.0076041736382683814,0.0042231935908645076,0.07220412107935624,0.0052584734469483183,0.079963280331457554,0.0059942141270812495,0.093778382450075692,0.0048861741666258616,0.084705730929103634,-0.43265416832415393,0.065363816616729992
