"Time","damper.phi_rel","damper.w_rel","cutForceAndTorque_inFrameA.force[1]","cutForceAndTorque_inFrameA.force[2]","cutForceAndTorque_inFrameA.torque","cutForceAndTorque_inWorld.force[1]","cutForceAndTorque_inWorld.force[2]","cutForceAndTorque_inWorld.torque","cutForceAndTorque_inFrameResolve.force[1]","cutForceAndTorque_inFrameResolve.force[2]","cutForceAndTorque_inFrameResolve.torque"
0,0,0,0,0.89181818181818251,0.44590909090909125,0,0.89181818181818251,0,0,0.89181818181818251,0
0.00059999999999999995,-1.6052376823881135e-06,-0.0053507631602079395,-4.2945687068906031e-05,0.89230461490168622,0.4466873837668639,-4.2945687068906031e-05,0.89230461490168622,0.00053507631602079395,-4.4378048060859079e-05,0.89230461483159851,0.00053507631602079395
0.0011999999999999999,-6.4208225597092247e-06,-0.010701234470594971,-0.00017177223577069471,0.89279102241844832,0.44746563465628364,-0.00017177223577069471,0.89279102241844832,0.0010701234470594971,-0.00017750468850496472,0.89279102129712562,0.0010701234470594971
0.0018,-1.4446574374999691e-05,-0.016051413947280248,-0.00038646398586595504,0.89327740685116908,0.44824384482031254,-0.00038646398586595504,0.89327740685116908,0.0016051413947280248,-0.00039936878432076024,0.89327740117487331,0.0016051413947280248
0.0023999999999999998,-2.5682349869678357e-05,-0.021401301602730689,-0.00068700560881201412,0.89376377233571702,0.4490220163281316,-0.00068700560881201412,0.89376377233571702,0.0021401301602730692,-0.00070995956248489159,0.89376375439704292,0.0021401301602730692
0.0029999999999999996,-4.0127969294096935e-05,-0.026750897452186818,-0.0010733814524970531,0.89425012466113962,0.4498001520757885,-0.0010733814524970531,0.89425012466113962,0.0026750897452186822,-0.0011092658931668587,0.89425008086853686,0.0026750897452186822
0.0035999999999999999,-5.7783258533801076e-05,-0.032100201509730711,-0.0015455759166365566,0.89473647126871469,0.45057825578533039,-0.0015455759166365566,0.89473647126871469,0.0032100201509730713,-0.0015972767028664616,0.89473638046658188,0.0032100201509730713
0.0041999999999999997,-7.8648055027015344e-05,-0.037449213787673699,-0.0021035735052057285,0.89522282125137487,0.4513563320044548,-0.0021035735052057285,0.89522282125137487,0.0037449213787673699,-0.0021739810323345176,0.89522265304070248,0.0037449213787673699
0.0047999999999999996,-0.00010272218402947586,-0.042797934297986111,-0.0027473586146136248,0.89570918535320487,0.45213438610640105,-0.0027473586146136248,0.89570918535320487,0.0042797934297986112,-0.0028393678037317033,0.89570889841283496,0.0042797934297986112
0.0053999999999999994,-0.00013000548140255835,-0.048146363051322069,-0.0034769157364621991,0.8961955759688518,0.45291242428955808,-0.0034769157364621991,0.8961955759688518,0.0048146363051322074,-0.0035934260440362588,0.89619511637725779,0.0048146363051322074
0.0059999999999999993,-0.00016049775119294431,-0.053494500059110883,-0.0042922290792364861,0.89668200714294954,0.45369045357738585,-0.0042922290792364861,0.89668200714294954,0.0053494500059110888,-0.0044361444690173418,0.89668130670078494,0.0053494500059110888
0.0065999999999999991,-0.00019419882029845923,-0.058842345330307598,-0.005193283054892959,0.89716849456944381,0.45446848181775268,-0.005193283054892959,0.89716849456944381,0.0058842345330307605,-0.005367512019124554,0.89716746912246814,0.0058842345330307605
0.0071999999999999998,-0.00023110851053377224,-0.064189898871217538,-0.0061800620292694819,0.89765505559090819,0.45524651768257585,-0.0061800620292694819,0.89765505559090819,0.0064189898871217545,-0.0063875175852513757,0.89765360335359878,0.0064189898871217545
0.0077999999999999996,-0.00027122664603086466,-0.069537160685048172,-0.0072525503873821021,0.89814170919794201,0.45602457066747581,-0.0072525503873821021,0.89814170919794201,0.0069537160685048177,-0.0074961500810786742,0.89813970907764906,0.0069537160685048177
0.0083999999999999995,-0.00031455305445263491,-0.074884130768515522,-0.0084107325430530268,0.89862847602835139,0.45680265109102725,-0.0084107325430530268,0.89862847602835139,0.0074884130768515522,-0.0086933984542503454,0.89862578595000475,0.0074884130768515522
0.0089999999999999993,-0.00036108755886171407,-0.080230809126414601,-0.009654592867885118,0.89911537836777811,0.45758077009653053,-0.009654592867885118,0.89911537836777811,0.0080230809126414608,-0.0099792516085365907,0.89911183359925306,0.0080230809126414608
0.0095999999999999992,-0.00041082998374185521,-0.085577195761044583,-0.010984115742952928,0.89960244014825186,0.45835893965023039,-0.010984115742952928,0.89960244014825186,0.0085577195761044594,-0.01135369846146018,0.89959785162626404,0.0085577195761044594
0.010199999999999999,-0.000463780152604883,-0.090923290659891451,-0.012399285534465333,0.90008968694643698,0.45913717253920766,-0.012399285534465333,0.90008968694643698,0.0090923290659891461,-0.012816727918376904,0.9000838396030485,0.0090923290659891461
0.010799999999999999,-0.00051993788938971925,-0.096269093816950577,-0.013900086608862119,0.90057714598501981,0.45991548237420499,-0.013900086608862119,0.90057714598501981,0.0096269093816950587,-0.014368328889438269,0.90056979707470897,0.0096269093816950587
0.011399999999999999,-0.00057930301861849214,-0.10161460523510606,-0.015486503334307976,0.90106484613237292,0.4606938835896971,-0.015486503334307976,0.90106484613237292,0.010161460523510607,-0.016008490291874403,0.90105572355967822,0.010161460523510607
0.011999999999999999,-0.00064187536447332303,-0.10695982491205992,-0.017158520069161534,0.90155281790065267,0.46147239144153235,-0.017158520069161534,0.90155281790065267,0.010695982491205992,-0.017737201038317559,0.90154161854841586,0.010695982491205992
0.012599999999999998,-0.00070765475560401496,-0.11230475275585602,-0.018916121184742632,0.90204109343767414,0.4622510219944227,-0.018916121184742632,0.90204109343767414,0.011230475275585603,-0.019554450064624609,0.9020274814957584,0.011230475275585603
