"Time","body.phi","damper1D.s_rel","damper1D.v_rel","revolute.w"
0,2.6179938779915002,0,0,0
0.002,2.6179835637750442,-2.9641511024665697e-06,-0.0029559831134183638,-0.010308341893232605
0.0040000000000000001,2.6179526682658194,-1.1790915308713809e-05,-0.0058625604898210034,-0.020581294803925142
0.0060000000000000001,2.6179012615278525,-2.6382092049983215e-05,-0.008720524040689636,-0.030819698035373967
0.0080000000000000002,2.6178294118489256,-4.66412221273658e-05,-0.011530652565340083,-0.041024381138098316
0.01,2.617737185846702,-7.2473406872569459e-05,-0.014293713161929301,-0.051196165501107962
0.012,2.6176246485334116,-0.00010378524015061169,-0.017010461660143729,-0.061335864611102735
0.014,2.6174918632416464,-0.0001404848727831726,-0.019681642083777522,-0.071444283645305334
0.016,2.6173388917305522,-0.00018248190599917669,-0.022307987363920569,-0.081522219913034891
0.018000000000000002,2.6171657941686663,-0.00022968739939058889,-0.024890219220571216,-0.091570462756877413
0.02,2.6169726291616766,-0.00028201383684171356,-0.027429048349735918,-0.10158979365523224
0.021999999999999999,2.6167594537712651,-0.0003393750960785634,-0.029925174545712106,-0.11158098626670065
0.024,2.6165263235090821,-0.00040168645845457346,-0.032379286662195098,-0.12154480641634557
0.026000000000000002,2.6162732923702268,-0.00046886456462314039,-0.034792062836954352,-0.13148201220920563
0.028000000000000001,2.6160004127971197,-0.00054082746165582296,-0.037164170248897857,-0.14139335390534674
0.029999999999999999,2.6157077358154153,-0.00061749441162913194,-0.039496266029269894,-0.15127957435633527
0.032000000000000001,2.6153953108880486,-0.00069878609922027931,-0.041788996283570502,-0.16114140854144271
0.034000000000000002,2.6150631860851141,-0.00078462439495204344,-0.044042997240470672,-0.17097958413937547
0.036000000000000004,2.6147114079824658,-0.0008749324948180583,-0.04625889456271419,-0.18079482117664047
0.037999999999999999,2.6143400217453672,-0.00096963480606869707,-0.048437303922383428,-0.19058783233460797
0.040000000000000001,2.6139490711299529,-0.0010686569449181069,-0.050578831008388114,-0.20035932294858705
0.042000000000000003,2.613538598456854,-0.0011719257731359078,-0.052684071350702771,-0.21010999092497215
0.043999999999999997,2.6131086447100107,-0.0012793692629996414,-0.054753611000533768,-0.21984052710526028
0.045999999999999999,2.6126592494227987,-0.0013909166527499516,-0.056788025745006535,-0.2295516148428903
0.048000000000000001,2.6121904508542362,-0.001506498207231426,-0.058787882336958024,-0.23924393069438213
0.050000000000000003,2.6117022858536592,-0.0016260454013358073,-0.060753737545825567,-0.24891814387691016
0.052000000000000005,2.6111947899536161,-0.0017494907941999792,-0.062686138810566644,-0.25857491664421739
0.053999999999999999,2.6106679973705895,-0.0018767680283706559,-0.064585624243945816,-0.26821490428911904
0.056000000000000001,2.6101219410548899,-0.0020078117635168174,-0.066452722976188289,-0.27783875534163488
0.058000000000000003,2.6095566526320648,-0.0021425577532169448,-0.06828795475721687,-0.28744711133942596
0.059999999999999998,2.608972162470911,-0.00228094275476546,-0.070091830424186874,-0.29704060709738994
0.062,2.6083684996853753,-0.0024229045261784754,-0.071864851917152334,-0.30661987071659008
0.064000000000000001,2.6077456920569153,-0.0025683819413219442,-0.073607511817575327,-0.31618552350903145
0.066000000000000003,2.6071037662103311,-0.0027173147345950122,-0.075320294437584145,-0.32573818029462764
0.068000000000000005,2.6064427475357559,-0.0028696436166005153,-0.077003675356212345,-0.33527844932543283
0.070000000000000007,2.6057626602071284,-0.0030253102488176733,-0.078658121545879853,-0.34480693235153448
0.072000000000000008,2.6050635271987082,-0.0031842572262308537,-0.080284091498225074,-0.35432422475701919
0.073999999999999996,2.6043453703025015,-0.0033464280481629851,-0.081882035332381919,-0.36383091554778674
0.075999999999999998,2.6036082101434763,-0.0035117670953100219,-0.083452394896353976,-0.37332758737868599
0.078,2.6028520661889809,-0.0036802196231324794,-0.084995603850179929,-0.38281481668437622
0.080000000000000002,2.6020769567495461,-0.0038517317621757133,-0.086512087675013685,-0.39229317371121786
0.082000000000000003,2.6012828989824213,-0.0040262505157907091,-0.088002263704517678,-0.40176322257449076
0.084000000000000005,2.6004699089618311,-0.0042037236527881312,-0.089466541591140175,-0.41122552133388646
0.086000000000000007,2.5996380016401028,-0.0043840997719253464,-0.090905323061154897,-0.42068062203911433
0.087999999999999995,2.5987871908715752,-0.0045673282673749276,-0.092319002076103898,-0.43012907078870333
0.089999999999999997,2.5979174893876862,-0.0047533593694722648,-0.093707964647926315,-0.43957140773514219
0.091999999999999998,2.5970289088955103,-0.0049421439968277163,-0.095072589559473411,-0.44900816726839754
0.094,2.5961214600251306,-0.0051336338394240505,-0.096413247976372518,-0.45843987798100727
0.096000000000000002,2.5951951523588286,-0.0053277813166869407,-0.097730303658977877,-0.46786706275140238
0.098000000000000004,2.5942499944034836,-0.0055245396204076265,-0.09902411273519858,-0.47729023869875231
0.10000000000000001,2.5932859936722208,-0.0057238625960009289,-0.10029502433617231,-0.48670991742226594
0.10200000000000001,2.5923031566616364,-0.0059257047782814501,-0.10154338040723575,-0.49612660496861188
0.10400000000000001,2.5913014888607062,-0.0061300213803643739,-0.10276951576908099,-0.50554080188181771
0.106,2.5902809947415517,-0.0063367683088261673,-0.1039737580264128,-0.51495300318860138
0.108,2.5892416777940612,-0.0065459021150630252,-0.10515642784033195,-0.52436369853047382
0.11,2.5881835405598994,-0.0067573799475269345,-0.106317839195746,-0.53377337229386856
0.112,2.5871065846091157,-0.0069711595876350094,-0.10745829919468926,-0.54318250355212694
0.114,2.5860108105507416,-0.0071871994358721587,-0.10857810812516551,-0.55259156611129157
