"Time","body.frame_a.phi","revolute.w"
0,0,0
0.00059999999999999995,-1.6052734507279684e-06,-0.0053509090909063381
0.0011999999999999999,-6.421091717123581e-06,-0.010701818181730141
0.0018,-1.4447455405382793e-05,-0.016052727271775816
0.0023999999999999998,-2.5684364531809418e-05,-0.021403636360819024
0.0029999999999999996,-4.0131819092364274e-05,-0.026754545442671557
0.0035999999999999999,-5.7789819087580055e-05,-0.032105454515008798
0.0041999999999999997,-7.8658364517000004e-05,-0.037456363579823966
0.0047999999999999996,-0.00010273745538062414,-0.042807272637117054
0.0053999999999999994,-0.00013002709151632989,-0.048158181645116364
0.0059999999999999993,-0.00016052727263427233,-0.053509090529141781
0.0065999999999999991,-0.00019423799898205205,-0.058859999352988919
0.0071999999999999998,-0.00023115927055966914,-0.064210908116657778
0.0077999999999999996,-0.00027129108736712341,-0.069561816820148351
0.0083999999999999995,-0.00031463344940441492,-0.074912725463460644
0.0089999999999999993,-0.00036118635667154375,-0.080263634046594659
0.0095999999999999992,-0.00041094980916850989,-0.085614542569550395
0.010199999999999999,-0.00046392380689531324,-0.090965451032327851
0.010799999999999999,-0.00052010833923426571,-0.096316358098495897
0.011399999999999999,-0.00057950340898146782,-0.1016672641199951
0.011999999999999999,-0.00064210902061172226,-0.10701816966006171
0.012599999999999998,-0.00070792517412502959,-0.11236907471869571
0.013199999999999998,-0.00077695186952138979,-0.11771997929589711
0.013799999999999998,-0.00084918910680080266,-0.12307088339166591
0.0144,-0.00092463688596326862,-0.12842178700600212
0.014999999999999999,-0.0010032952070087873,-0.13377269013890572
0.015599999999999999,-0.0010851640699373582,-0.13912359279037673
0.016199999999999999,-0.0011702434747489822,-0.14447449496041512
0.016799999999999999,-0.0012585334214436589,-0.14982539664902089
0.017399999999999999,-0.0013500339100213884,-0.15517629785619408
0.017999999999999999,-0.0014447449404821706,-0.16052719858193468
0.018599999999999998,-0.0015426665128260054,-0.16587809882624263
0.019199999999999998,-0.0016437986270528933,-0.17122899858911803
0.019799999999999998,-0.0017481412831628338,-0.1765798978705608
0.020399999999999998,-0.0018556944811558267,-0.18193079667057097
0.020999999999999998,-0.0019664581763449147,-0.18728168984065319
0.021599999999999998,-0.0020804323239051034,-0.19263257221640892
0.022199999999999998,-0.0021976169992502918,-0.19798345248646035
0.022799999999999997,-0.0023180122023804799,-0.20333433065080747
0.023399999999999997,-0.0024416179332956674,-0.20868520670945034
0.023999999999999997,-0.0025684341919958546,-0.21403608066238894
0.024599999999999997,-0.0026984609784810412,-0.21938695250962331
0.025199999999999997,-0.0028316982927512275,-0.22473782225115335
0.025799999999999997,-0.0029681461348064135,-0.23008868988697914
0.026399999999999996,-0.0031078045046465993,-0.23543955541710065
0.026999999999999996,-0.0032506734022717844,-0.24079041884151786
0.027599999999999996,-0.0033967528276819692,-0.24614128016023085
0.028199999999999996,-0.0035460427808771534,-0.25149213937323955
0.028799999999999999,-0.0036985432618573386,-0.25684299648054398
0.029399999999999999,-0.0038542542706225219,-0.26219385148214408
0.029999999999999999,-0.0040131758071727044,-0.26754470437804001
0.030599999999999999,-0.0041753078715078881,-0.27289555516823161
0.031199999999999999,-0.0043406504636280705,-0.27824640385271887
0.031799999999999995,-0.0045092035835332511,-0.28359725043150191
0.032399999999999998,-0.0046809672312234339,-0.28894809490458073
0.032999999999999995,-0.0048559414066986139,-0.29429893727195522
0.033599999999999998,-0.0050341261099587963,-0.29964977753362548
0.034199999999999994,-0.0052155212636333477,-0.30500060960496028
0.034799999999999998,-0.0054001263766683683,-0.31035139486817959
0.035399999999999994,-0.0055879419624906314,-0.31570217370052545
0.035999999999999997,-0.0057789680211001405,-0.32105294610199786
0.036599999999999994,-0.0059732045524968913,-0.32640371207259677
0.037199999999999997,-0.006170651556680889,-0.33175447161232224
0.037799999999999993,-0.00637130903365213,-0.33710522472117427
0.038399999999999997,-0.0065751769834106154,-0.34245597139915285
0.039,-0.0067822554059563467,-0.34780671164625793
0.039599999999999996,-0.006992544301289318,-0.35315744546248951
0.0402,-0.007206043669409537,-0.35850817284784764
0.040799999999999996,-0.0074227535103169985,-0.36385889380233227
0.041399999999999999,-0.0076426738240117061,-0.36920960832594346
0.041999999999999996,-0.0078658046104936544,-0.37456031641868121
0.042599999999999999,-0.0080921458697628488,-0.37991101808054545
0.043199999999999995,-0.0083216976018192865,-0.38526171331153625
0.043799999999999999,-0.0085544598066629712,-0.3906124021116536
0.044399999999999995,-0.0087904324842938975,-0.3959630844808974
0.044999999999999998,-0.0090296156347120706,-0.40131376041926786
0.045599999999999995,-0.0092720092579174837,-0.40666442992676471
0.046199999999999998,-0.0095176133539101437,-0.41201509300338823
0.046799999999999994,-0.009766427922690047,-0.4173657496491382
0.047399999999999998,-0.010018452964257196,-0.42271639986401477
0.047999999999999994,-0.010273686927935281,-0.42806694887947211
0.048599999999999997,-0.010532131036657353,-0.43341747143424597
0.049199999999999994,-0.010793785468006857,-0.43876797838123005
0.049799999999999997,-0.011058650221983797,-0.44411846972042424
0.050399999999999993,-0.011326725298588171,-0.44946894545182869
0.050999999999999997,-0.011598010697819981,-0.45481940557544331
0.051599999999999993,-0.011872506419679223,-0.46016985009126815
0.052199999999999996,-0.012150212464165904,-0.46552027899930321
0.052799999999999993,-0.012431128831280018,-0.47087069229954848
0.053399999999999996,-0.012715255521021568,-0.47622108999200385
0.053999999999999992,-0.013002592533390551,-0.4815714720766695
0.054599999999999996,-0.013293139868386972,-0.48692183855354532
0.055199999999999992,-0.013586897526010824,-0.49227218942263135
