"Time","body.phi","prismatic.s","prismatic.v"
0,-0.5,0,0
0.00059999999999999995,-0.49999820447962862,3.4198400163942821e-06,0.01139533061616748
0.0011999999999999999,-0.49999283575807646,1.3654930665629728e-05,0.022741740182624381
0.0018,-0.49998392383137497,3.0664118091827675e-05,0.034039567303376983
0.0023999999999999998,-0.49997148472805686,5.4425425392079507e-05,0.045289006571167273
0.0029999999999999996,-0.49995553134004928,8.4921148777894473e-05,0.056490220878895089
0.0035999999999999999,-0.49993609642523623,0.00012210625942965514,0.067643577900899074
0.0041999999999999997,-0.4999131674770167,0.00016599806340905632,0.078748976569562382
0.0047999999999999996,-0.49988681466890195,0.00021649983116517335,0.089807174024502723
0.0053999999999999994,-0.4998570089335298,0.00027365180800309474,0.10081789516982795
0.0059999999999999993,-0.49982380622263028,0.00033737669086836286,0.11178175188351075
0.0065999999999999991,-0.49978720799959403,0.000407672616182575,0.12269878549390342
0.0071999999999999998,-0.49974722394896842,0.00048452622555855696,0.13356912517482888
0.0077999999999999996,-0.49970389644717939,0.00056787878072067643,0.14439324370717849
0.0083999999999999995,-0.49965723214885016,0.00065772123512003455,0.15517123596896132
0.0089999999999999993,-0.49960724944789142,0.00075402823124592899,0.16590332035828839
0.0095999999999999992,-0.49955396673821412,0.00085677442567122508,0.17658971476827515
0.010199999999999999,-0.49949741439946199,0.00096591728051703685,0.18723077162425436
0.010799999999999999,-0.4994376094339889,0.0010814334765353317,0.19782669206857015
0.011399999999999999,-0.4993745708257411,0.0012032968625855234,0.20837769908507228
0.011999999999999999,-0.49930831892934663,0.0013314793322045659,0.2188840306034342
0.012599999999999998,-0.49923887326173039,0.0014659536537486306,0.22934591982448105
0.013199999999999998,-0.49916625111894353,0.0016066948945085979,0.23976358824520994
0.013799999999999998,-0.49909047419950092,0.0017536736003301856,0.25013727914545802
0.0144,-0.49901156242259054,0.0019068621605324854,0.26046722633257691
0.014999999999999999,-0.49892953570740084,0.0020662329754966846,0.27075366314686666
0.015599999999999999,-0.49884440621842063,0.0022317676832201427,0.28099676559512388
0.016199999999999999,-0.49875619107537039,0.0024034420373123533,0.29119674562212228
0.016799999999999999,-0.49866491197069684,0.0025812263608755992,0.30135384826102352
0.017399999999999999,-0.49857058741878796,0.0027650947684302873,0.31146829479622162
0.017999999999999999,-0.49847323593403153,0.0029550213843795858,0.32154030608260675
0.018599999999999998,-0.49837287603081526,0.0031509803427294814,0.33157010255077074
0.019199999999999998,-0.49826952622352699,0.003352945786811723,0.34155790421220589
0.019799999999999998,-0.4981632050265547,0.0035608918690085978,0.35150393066448271
0.020399999999999998,-0.49805393095428602,0.0037747927504783729,0.36140840109641181
0.020999999999999998,-0.49794171881712579,0.0039946266892628701,0.37127151083786214
0.021599999999999998,-0.49782658339071079,0.004220371990829197,0.38109345462599797
0.022199999999999998,-0.49770854710616447,0.0044519985186606825,0.39087447528124641
0.022799999999999997,-0.49758762809051488,0.0046894808945921462,0.40061478797469346
0.023399999999999997,-0.49746384447079023,0.0049327937480074802,0.41031460749623727
0.023999999999999997,-0.49733721437401862,0.0051819117155804673,0.41997414825955037
0.024599999999999997,-0.49720775592722805,0.0054368094410169321,0.42959362430702619
0.025199999999999997,-0.49707548725744671,0.0056974615747979462,0.43917324931471613
0.025799999999999997,-0.49694042649170261,0.0059638427739259203,0.44871323659723783
0.026399999999999996,-0.49680258612394201,0.0062359341826719317,0.45821376038062267
0.026999999999999996,-0.49666196105737137,0.0065137371925971244,0.46767487364829052
0.027599999999999996,-0.49651858802394161,0.0067972050767430292,0.47709691665516529
0.028199999999999996,-0.49637248416658353,0.0070863136503834245,0.4864800945980523
0.028799999999999999,-0.49622366662822776,0.0073810387344194761,0.49582461234049979
0.029399999999999999,-0.49607215255180481,0.0076813561551466458,0.50513067441735005
0.029999999999999999,-0.49591795908024533,0.0079872417440228216,0.51439848503927543
0.030599999999999999,-0.4957611033564801,0.0082986713374375576,0.52362824809729269
0.031199999999999999,-0.49560160252343971,0.0086156207764837567,0.53282016716726122
0.031799999999999995,-0.49543947372405478,0.0089380659067299084,0.5419744455143638
0.032399999999999998,-0.49527470296833276,0.0092660185092877101,0.55109106770388827
0.032999999999999995,-0.49510732793107209,0.0095994307474487339,0.56017038051046231
0.033599999999999998,-0.49493736550686768,0.0099382787681899787,0.56921258458799562
0.034199999999999994,-0.49476483186957815,0.010282539554220593,0.57821787524367962
0.034799999999999998,-0.49458974319306209,0.01063219009200983,0.58718644749891435
0.035399999999999994,-0.49441211565117815,0.0109872073715786,0.59611849609344048
0.035999999999999997,-0.4942319654177848,0.011347568386294027,0.60501421548945367
0.036599999999999994,-0.49404930866674079,0.011713250132664055,0.61387379987570578
0.037199999999999997,-0.49386416157190466,0.012084229610134167,0.62269744317158204
0.037799999999999993,-0.49367651902413162,0.012460508819376936,0.63148518120343122
0.038399999999999997,-0.49348640363260304,0.012842057211507663,0.64023725514305196
0.039,-0.49329383668106208,0.01322884579484096,0.64895389605059872
0.039599999999999996,-0.49309883345598754,0.013620852623921542,0.65763529025521827
0.0402,-0.49290140924385828,0.014018055755630587,0.66628162383864409
0.040799999999999996,-0.49270157933115327,0.014420433249000164,0.67489308263896053
0.041399999999999999,-0.49249935900435116,0.01482796316502899,0.68346985225434986
0.041999999999999996,-0.49229476354993101,0.015240623566498301,0.69201211804682816
0.042599999999999999,-0.49208780825437143,0.015658392517790887,0.70052006514595144
0.043199999999999995,-0.49187849930170635,0.016081258990886693,0.70899380647103183
0.043799999999999999,-0.49166684769223845,0.016509206191507642,0.71743349282729252
