"Time","damper.phi_rel","damper.w_rel"
1.7153999999999998,0.33904255240664105,-1.0216715357756034
1.7159999999999997,0.33842853901048942,-1.0250314367736697
1.7165999999999999,0.33781251394537404,-1.0283775572234897
1.7171999999999998,0.33719448550626802,-1.0317098631555741
1.7177999999999998,0.33657446200941399,-1.0350283207853723
1.7183999999999999,0.33595245179224287,-1.0383328965139005
1.7189999999999999,0.3353284632132924,-1.0416235569283656
1.7195999999999998,0.33470250465212287,-1.0449002688028055
1.7202,0.33407458450923599,-1.0481629990987134
1.7207999999999999,0.33344471120599267,-1.0514117149656659
1.7213999999999998,0.33281289318452995,-1.0546463837419593
1.7219999999999998,0.33217913890767908,-1.0578669729552361
1.7225999999999999,0.33154345685888292,-1.0610734503231161
1.7231999999999998,0.33090585553144575,-1.06426578373498
1.7237999999999998,0.33026633956394674,-1.0674439344274027
1.7243999999999999,0.32962492092843149,-1.0706078767446976
1.7249999999999999,0.32898160816188537,-1.073757579121094
1.7255999999999998,0.32833640982058682,-1.0768930101823533
1.7262,0.32768933448001342,-1.0800141387463706
1.7267999999999999,0.327040390734747,-1.0831209338237806
1.7273999999999998,0.3263895871983778,-1.0862133646185728
1.7279999999999998,0.32573693250340952,-1.0892914005286933
1.7285999999999999,0.32508243530116487,-1.092355011146656
1.7291999999999998,0.32442610426169061,-1.0954041662601439
1.7297999999999998,0.32376794807366155,-1.0984388358526269
1.7303999999999999,0.32310797544428599,-1.1014589901039629
1.7309999999999999,0.32244619509921174,-1.1044645993910041
1.7315999999999998,0.32178261578242895,-1.1074556342882103
1.7321999999999997,0.32111724625617705,-1.110432065568254
1.7327999999999999,0.32045009530084817,-1.1133938642026278
1.7333999999999998,0.31978117171489384,-1.1163410013622497
1.7339999999999998,0.31911048431472822,-1.1192734484180775
1.7345999999999999,0.31843804193463354,-1.1221911769417119
1.7351999999999999,0.31776385342666641,-1.1250941587060013
1.7357999999999998,0.31708792766056054,-1.1279823656856571
1.7363999999999999,0.31641027352363321,-1.1308557700578579
1.7369999999999999,0.31573089992069048,-1.133714344202853
1.7375999999999998,0.31504981577393043,-1.1365580607045771
1.7381999999999997,0.31436703002285021,-1.1393868923512556
1.7387999999999999,0.31368255162414915,-1.1422008121360103
1.7393999999999998,0.31299638955163533,-1.144999793257468
1.7399999999999998,0.31230855279612957,-1.1477838091203691
1.7405999999999999,0.31161905036537013,-1.1505528333361792
1.7411999999999999,0.31092789128391901,-1.1533068397236856
1.7417999999999998,0.31023508459306559,-1.1560458023096172
1.7423999999999999,0.30954063935073162,-1.1587696953292483
1.7429999999999999,0.30884456463137766,-1.1614784932270001
1.7435999999999998,0.30814686952590609,-1.1641721706570582
1.7441999999999998,0.30744756204060508,-1.1668506985323306
1.7447999999999999,0.306746649553647,-1.1695140456639002
1.7453999999999998,0.30604414358490584,-1.1721621958820809
1.7459999999999998,0.30534005326243346,-1.1747951245868569
1.7465999999999999,0.3046343877293613,-1.1774128073878216
1.7471999999999999,0.30392715614379334,-1.1800152201047409
1.7477999999999998,0.30321836767869736,-1.1826023387681219
1.7484,0.30250803152179856,-1.1851741396197699
1.7489999999999999,0.3017961568754724,-1.1877305991133547
1.7495999999999998,0.30108275295663584,-1.1902716939149742
1.7501999999999998,0.30036782899664122,-1.192797400903717
1.7507999999999999,0.29965139424116793,-1.1953076971722265
1.7513999999999998,0.29893345795011617,-1.1978025600272606
1.7519999999999998,0.29821402939749775,-1.2002819669902611
1.7525999999999999,0.29749311787133009,-1.2027458957979131
1.7531999999999999,0.29677073267352894,-1.2051943244027066
1.7537999999999998,0.29604688311979949,-1.207627230973505
1.7543999999999997,0.29532157853953039,-1.2100445938961037
1.7549999999999999,0.29459482827568501,-1.2124463917737975
1.7555999999999998,0.29386664168469601,-1.214832603427938
1.7561999999999998,0.29313702813635578,-1.2172032078985036
1.7567999999999999,0.29240599701370995,-1.2195581844446599
1.7573999999999999,0.29167355771295062,-1.2218975125453189
1.7579999999999998,0.29093971964330739,-1.2242211718997111
1.7585999999999999,0.29020449222694111,-1.2265291424279416
1.7591999999999999,0.28946788489883657,-1.2288214042715548
1.7597999999999998,0.28872990710669405,-1.2310979377941007
1.7603999999999997,0.2879905683108227,-1.2333587235816941
1.7609999999999999,0.28724987798403273,-1.2356037424435826
