"Time","body.phi","body.w","revolute2.phi","revolute2.w","revolute4.phi","revolute4.w","springDamper1D.s_rel","springDamper1D.v_rel"
0,-0.28661485473024195,0,-0.82303369213497612,0,-0.69813170079773001,0,0.40000000000000002,0
0.0011999999999999999,-0.2866048995345018,0.016545766461821463,-0.82300426586610498,0.048858509083300639,-0.69810703246755423,0.040975021003471765,0.39998651514625305,-0.022389925391630323
0.0023999999999999998,-0.28657530834674327,0.032732654139037524,-0.82291708751060821,0.096277207996502495,-0.69803385210204738,0.080871258137288751,0.39994656436844361,-0.044120881896079711
0.0035999999999999999,-0.28652649237913447,0.048570418821759755,-0.82277380852087278,0.14229249744301492,-0.69791339663957086,0.11971666754326735,0.39988090299000983,-0.065210311434029028
0.0047999999999999996,-0.2864588726125426,0.064068856024285317,-0.82257612279428005,0.18694118013861322,-0.69774693400968268,0.15753944609359183,0.39979030491940115,-0.085675762462122135
0.0059999999999999993,-0.28637285012035013,0.079237094290506807,-0.82232564735048208,0.23025782876743262,-0.69753567379559112,0.1943660086742231,0.39967550805837088,-0.10553368964108306
0.0071999999999999998,-0.28626882105357587,0.094084057981156502,-0.82202398069652016,0.27227637198649229,-0.69728081140183595,0.23022224397440266,0.39953724113411876,-0.12480018461216943
0.0083999999999999995,-0.28614716525402739,0.10861808677709134,-0.82167265862924443,0.31302882181622649,-0.69698349456864961,0.26513249768520436,0.39937620352119463,-0.1434903981201951
0.0095999999999999992,-0.28600825295251275,0.1228471552608759,-0.8212731799699482,0.35254601318619366,-0.69664484293748685,0.2991201618539725,0.39919307710823027,-0.1616188826933104
0.010799999999999999,-0.28585244501420898,0.13677888783376652,-0.82082700722187441,0.39085764829473135,-0.69626594862514612,0.33220771198113219,0.39898852666736151,-0.1791996168531807
0.011999999999999999,-0.28568009378673326,0.1504205957573197,-0.82033556958975773,0.42799241281430667,-0.69584787858161212,0.36441680216447336,0.39876320130206377,-0.19624606194596289
0.013199999999999998,-0.28549154402798549,0.16377931864482509,-0.81980026629265434,0.46397810534302819,-0.69539167717431272,0.39576837131633924,0.39851773602581975,-0.21277122479714755
0.0144,-0.28528713139945933,0.17686177239477149,-0.8192224605303674,0.49884146602586177,-0.69489836166464303,0.42628250540770241,0.39825274905103702,-0.22878758264386662
0.015599999999999999,-0.28506718384170432,0.18967440193265381,-0.81860348470100919,0.53260834616881159,-0.69436892619220891,0.45597857501705918,0.39796884423269346,-0.24430716376945399
0.016799999999999999,-0.28483202031806931,0.20222333659484254,-0.81794463542300733,0.56530356229061318,-0.69380433802957298,0.48487511774014902,0.39766660883251231,-0.25934148372054344
0.017999999999999999,-0.28458195326975844,0.21451448742668036,-0.81724718274343355,0.59695120681648173,-0.69320554464147521,0.51299009083492109,0.39734661778653346,-0.27390169007453852
0.019199999999999998,-0.28431728916244242,0.22655358078635582,-0.81651237153472267,0.62757474736946672,-0.69257347492980381,0.54034095447108965,0.39700943438806569,-0.28799861047577435
0.020399999999999998,-0.28403832581346833,0.23834603620709785,-0.81574141239198961,0.65719664761189323,-0.69190903200946319,0.56694436001304471,0.39665560614901973,-0.3016425816390732
0.021599999999999998,-0.28374535724771038,0.24989718962984578,-0.81493549827613365,0.68583905933356004,-0.69121310638577715,0.59281671929662516,0.39628567247280849,-0.3148437682178335
0.022799999999999997,-0.28343866863053552,0.26121205787156787,-0.81409578719717712,0.71352309374126677,-0.69048656222912408,0.61797360474220098,0.39590015673966655,-0.32761183163770913
0.023999999999999997,-0.28311854188465657,0.27229560392269669,-0.81322342127047464,0.74026963916855448,-0.68973025251989384,0.64243042350697355,0.39549957508418992,-0.33995630623304818
0.025199999999999997,-0.28278525074492278,0.28315250113406082,-0.81231951002092928,0.76609863595060024,-0.68894500575538742,0.66620181910936083,0.39508442875824235,-0.35188626943582535
0.026399999999999996,-0.28243906541802938,0.29378735851692411,-0.81138514604093592,0.79102976652016765,-0.68813163843849734,0.68930224177700827,0.39465521134621651,-0.36341065936929895
0.027599999999999996,-0.28208024904454304,0.30420454814247683,-0.81042139313262529,0.81508192810473046,-0.68729094561085569,0.71174551219484128,0.39421240334267432,-0.37453803529111906
0.028799999999999999,-0.2817090604270025,0.31440833824023884,-0.80942929550597986,0.83827363887257655,-0.68642370817999243,0.73354515767652728,0.39375647639840911,-0.38527676508711889
0.029999999999999999,-0.28132575323692177,0.32440285459253826,-0.80840987509347573,0.86062292014130704,-0.68553069078365958,0.75471431466319072,0.39328789210666665,-0.39563497292748817
0.031199999999999999,-0.28093057603153665,0.33419208018045532,-0.80736413166758125,0.88214729578708695,-0.68461264186532733,0.77526572807399918,0.39280710207449154,-0.40562054044805773
0.032399999999999998,-0.28052377288988939,0.34377988562391026,-0.80629304502798149,0.90286388530505002,-0.68367029540388013,0.79521182827643533,0.39231454894402545,-0.41524115073069856
0.033599999999999998,-0.28010558321685497,0.35317002106456213,-0.80519757431270023,0.92278937835481811,-0.68270437037320508,0.81456471024197108,0.39181066609020648,-0.42450427797536161
0.034799999999999998,-0.27967624180710871,0.36236611808983626,-0.80407865837160819,0.9419400409476596,-0.6817155709929128,0.83333613856366573,0.39129587780507225,-0.43341719154801051
0.035999999999999997,-0.27923597936151173,0.37137171451592171,-0.80293721739375623,0.96033179146174485,-0.68070458805838985,0.85153761024679442,0.39077060005764819,-0.44198699197386593
0.037199999999999997,-0.27878502238373859,0.38019024940644097,-0.8017741526743436,0.97798018519451668,-0.67967209872091039,0.8691803420036992,0.39023524039686658,-0.45022060496638755
