"Time","damper.phi_rel","damper.w_rel","cutTorque.torque"
0,0,0,0.44590909090909125
0.00059999999999999995,-1.6052376823881135e-06,-0.0053507631602079395,0.4466873837668639
0.0011999999999999999,-6.4208225597092247e-06,-0.010701234470594971,0.44746563465628364
0.0018,-1.4446574374999691e-05,-0.016051413947280248,0.44824384482031254
0.0023999999999999998,-2.5682349869678357e-05,-0.021401301602730689,0.4490220163281316
0.0029999999999999996,-4.0127969294096935e-05,-0.026750897452186818,0.4498001520757885
0.0035999999999999999,-5.7783258533801076e-05,-0.032100201509730711,0.45057825578533039
0.0041999999999999997,-7.8648055027015344e-05,-0.037449213787673699,0.4513563320044548
0.0047999999999999996,-0.00010272218402947586,-0.042797934297986111,0.45213438610640105
0.0053999999999999994,-0.00013000548140255835,-0.048146363051322069,0.45291242428955808
0.0059999999999999993,-0.00016049775119294431,-0.053494500059110883,0.45369045357738585
0.0065999999999999991,-0.00019419882029845923,-0.058842345330307598,0.45446848181775268
0.0071999999999999998,-0.00023110851053377224,-0.064189898871217538,0.45524651768257585
0.0077999999999999996,-0.00027122664603086466,-0.069537160685048172,0.45602457066747581
0.0083999999999999995,-0.00031455305445263491,-0.074884130768515522,0.45680265109102725
0.0089999999999999993,-0.00036108755886171407,-0.080230809126414601,0.45758077009653053
0.0095999999999999992,-0.00041082998374185521,-0.085577195761044583,0.45835893965023039
0.010199999999999999,-0.000463780152604883,-0.090923290659891451,0.45913717253920766
0.010799999999999999,-0.00051993788938971925,-0.096269093816950577,0.45991548237420499
0.011399999999999999,-0.00057930301861849214,-0.10161460523510606,0.4606938835896971
0.011999999999999999,-0.00064187536447332303,-0.10695982491205992,0.46147239144153235
0.012599999999999998,-0.00070765475560401496,-0.11230475275585602,0.4622510219944227
0.013199999999999998,-0.00077664101686624484,-0.11764938875067932,0.46302979214568218
0.013799999999999998,-0.00084883397233551235,-0.12299373289637155,0.46380871961617143
0.0144,-0.00092423344708444661,-0.12833778517276392,0.46458782294483336
0.014999999999999999,-0.0010028392661856757,-0.13368154555968761,0.46536712149131354
0.015599999999999999,-0.0010846512547118285,-0.1390250140369737,0.46614663543566365
0.016199999999999999,-0.0011696692377355337,-0.14436819058445349,0.46692638577805695
0.016799999999999999,-0.0012578930403294203,-0.14971107518195806,0.4677063943384972
0.017399999999999999,-0.0013493224812115088,-0.15505366751559391,0.46848668371358698
0.017999999999999999,-0.0014439573889377857,-0.1603959677262011,0.46926727738561635
0.018599999999999998,-0.0015417975884273001,-0.16573797578651195,0.47004819963127431
0.019199999999999998,-0.0016428429043950257,-0.17107969165982612,0.47082947554453486
0.019799999999999998,-0.001747093161555938,-0.17642111530944304,0.47161113103774033
0.020399999999999998,-0.0018545481846250105,-0.18176224669866237,0.47239319284131831
0.020999999999999998,-0.0019652077983172184,-0.18710308579078369,0.47317568850348041
0.021599999999999998,-0.0020790718258719425,-0.19244363233390302,0.4739586463584915
0.022199999999999998,-0.0021961400841366821,-0.19778388514391199,0.47474209542152512
0.022799999999999997,-0.0023164124033997406,-0.20312384499693542,0.47552606581103385
0.023399999999999997,-0.0024398886079554632,-0.20846351179492739,0.47631058833437701
0.023999999999999997,-0.0025665685220981941,-0.21380288543984191,0.47709569461521206
0.024599999999999997,-0.002696451970122278,-0.2191419658336331,0.4778814170931997
0.025199999999999997,-0.0028295387763220587,-0.224480752878255,0.47866778902370027
0.025799999999999997,-0.0029658287649918817,-0.2298192464756616,0.4794548444774786
0.026399999999999996,-0.00310532176042609,-0.23515744652780704,0.48024261834040938
0.026999999999999996,-0.0032480175869190292,-0.24049535293664528,0.48103114631317051
0.027599999999999996,-0.0033939160687650439,-0.24583296560413051,0.48182046491094577
0.028199999999999996,-0.003543017030258477,-0.25117028443221667,0.48261061146312195
0.028799999999999999,-0.0036953202956936763,-0.25650730932285787,0.48340162411298926
0.029399999999999999,-0.0038508256893649822,-0.26184404017800811,0.48419354181743529
0.029999999999999999,-0.0040095330355667414,-0.26718047689962149,0.48498640434664447
0.030599999999999999,-0.0041714421585932982,-0.27251661938965205,0.48578025228378918
0.031199999999999999,-0.0043365528512472485,-0.27785246529510632,0.48657512669158487
0.031799999999999995,-0.0045048649373069152,-0.28318801448098874,0.4873710697720422
0.032399999999999998,-0.0046763782608032611,-0.28852326826248215,0.48816812475375021
0.032999999999999995,-0.0048510926451883858,-0.29385822648123222,0.48896633545947649
0.033599999999999998,-0.0050290079139143993,-0.29919288897888507,0.48976574652338489
0.034199999999999994,-0.0052101238904333994,-0.3045272555970866,0.4905664033907291
0.034799999999999998,-0.005394440398197497,-0.30986132617748274,0.49136835231753029
0.035399999999999994,-0.0055819572606587908,-0.31519510056171951,0.49217164037026262
0.035999999999999997,-0.0057726743012693899,-0.32052857859144279,0.49297631542553194
0.036599999999999994,-0.0059665913434813938,-0.32586176010829848,0.49378242616976625
0.037199999999999997,-0.006163708210746909,-0.33119464495393275,0.49459002209888048
0.037799999999999993,-0.0063640247265180395,-0.33652723296999132,0.49539915351796354
0.038399999999999997,-0.0065675407142468901,-0.34185952399812031,0.49620987154095153
0.039,-0.0067742559973855664,-0.34719151787996555,0.49702222809030183
0.039599999999999996,-0.0069841703993861687,-0.352523214457173,0.49783627589666535
0.0402,-0.0071972837437008046,-0.35785461357138876,0.49865206849855426
0.040799999999999996,-0.0074135956943201242,-0.36318570463540262,0.49946965867598725
0.041399999999999999,-0.0076331062027151621,-0.36851649586336033,0.50028910283532979
0.041999999999999996,-0.0078558150919370642,-0.37384698707068509,0.50111045693147638
