"Time","revoluteDrive.phi","revoluteDrive.w"
0,0,-2.5
0.002,-0.0049998671916338597,-2.4998405192066402
0.0040000000000000001,-0.0099989383201474265,-2.4993625656031373
0.0060000000000000001,-0.01499665053494322,-2.4985670850706563
0.0080000000000000002,-0.019992460960171463,-2.4974554463028689
0.01,-0.024985734731255774,-2.496029668975452
0.012,-0.029975890145448398,-2.4942921190979317
0.014,-0.034962372531394746,-2.4922455767551384
0.016,-0.039944516827598198,-2.4898940505360603
0.018000000000000002,-0.044921687045794946,-2.4872416052000821
0.02,-0.049893277320681925,-2.4842928176544112
0.021999999999999999,-0.054858690034479282,-2.4810530974812166
0.024,-0.059817331695737004,-2.4775277275417982
0.026000000000000002,-0.064768640057349738,-2.4737227989202575
0.028000000000000001,-0.069712068129435492,-2.4696448395885797
0.029999999999999999,-0.074647065266421828,-2.4653002555116208
0.032000000000000001,-0.079573112347310335,-2.4606962319777117
0.034000000000000002,-0.084489692044736317,-2.4558399987181563
0.036000000000000004,-0.089396308616360665,-2.4507391761011856
0.037999999999999999,-0.094292490034176113,-2.4454017113203133
0.040000000000000001,-0.099177769194165696,-2.4398358588256204
0.042000000000000003,-0.10405169757275409,-2.4340498733621398
0.043999999999999997,-0.10891384101875951,-2.4280517577667982
0.045999999999999999,-0.11376378251612788,-2.4218504305772575
0.048000000000000001,-0.11860112346504409,-2.4154544944303811
0.050000000000000003,-0.12342548783935599,-2.4088721902829473
0.052000000000000005,-0.12823650719669452,-2.4021126089185851
0.053999999999999999,-0.13303383473430647,-2.3951844533571784
0.056000000000000001,-0.13781714506143652,-2.3880959124118677
0.058000000000000003,-0.14258612411376642,-2.3808559864321812
0.059999999999999998,-0.14734047724769314,-2.3734732522403497
0.062,-0.15207992761370004,-2.3659557494064507
0.064000000000000001,-0.15680421499087949,-2.3583121507022611
0.066000000000000003,-0.16151309592326576,-2.3505507593095722
0.068000000000000005,-0.16620634114303645,-2.3426794003610389
0.070000000000000007,-0.17088374069930112,-2.3347061471886996
0.072000000000000008,-0.17554509932905923,-2.3266387653891636
0.073999999999999996,-0.18019023433976816,-2.3184848025511018
0.075999999999999998,-0.18481898148529283,-2.3102516141679748
0.078,-0.18943118999306596,-2.3019463460922229
0.080000000000000002,-0.19402672150460887,-2.2935760895069182
0.082000000000000003,-0.19860545342124664,-2.2851475313989504
0.084000000000000005,-0.20316727586288988,-2.2766672008441629
0.086000000000000007,-0.20771209122151671,-2.2681415505745863
0.087999999999999995,-0.21223981513998735,-2.2595766604179244
0.089999999999999997,-0.21675037513411016,-2.2509784382447435
0.091999999999999998,-0.22124371001167575,-2.2423526235225828
0.094,-0.22571977024507006,-2.2337046782355556
0.096000000000000002,-0.23017851698896835,-2.225039858398481
0.098000000000000004,-0.2346199212725503,-2.2163632247177922
0.10000000000000001,-0.23904396453340473,-2.2076795847262458
0.10200000000000001,-0.24345063752614496,-2.1989935325511651
0.10400000000000001,-0.24783993971106683,-2.190309502036782
0.106,-0.25221187941203466,-2.1816316536681635
0.108,-0.256566472992933,-2.1729639534336358
0.11,-0.26090374476814349,-2.1643102333950357
0.112,-0.26522372612488621,-2.155674059849618
0.114,-0.26952645540395009,-2.1470588260202654
0.11600000000000001,-0.2738119782322283,-2.1384677836715502
0.11800000000000001,-0.27808034570655271,-2.1299039645267013
0.12,-0.28233161491259828,-2.1213702392576614
0.122,-0.28656584937124052,-2.1128693237623546
0.124,-0.29078311690011177,-2.1044037610588098
0.126,-0.29498349038445226,-2.0959759415648578
0.128,-0.29916704868979693,-2.0875881077787155
0.13,-0.30333387385482591,-2.0792423549506109
0.13200000000000001,-0.30748405228810632,-2.0709406392638807
0.13400000000000001,-0.3116176741605034,-2.062684782631973
0.13600000000000001,-0.31573483306667882,-2.0544764780001303
0.13800000000000001,-0.31983562570752772,-2.046317294686343
0.14000000000000001,-0.32392015237071409,-2.0382086860038924
0.14200000000000002,-0.32798851502754045,-2.0301519900695202
0.14400000000000002,-0.33204081806962188,-2.0221484381582107
0.14599999999999999,-0.33607716784974412,-2.0141991596394053
0.14799999999999999,-0.34009767232087612,-2.0063051871938149
0.14999999999999999,-0.34410244072578039,-1.9984674621748815
0.152,-0.34809159753242491,-1.9906868060642007
0.154,-0.35206525360793001,-1.9829639937023138
0.156,-0.3560235230657105,-1.9752997178140053
0.158,-0.3599665227061814,-1.9676945949621694
0.16,-0.36389437003422814,-1.960149174889084
0.16200000000000001,-0.36780718302228615,-1.9526639457030057
0.16400000000000001,-0.37170509085823156,-1.9452392092237931
0.16600000000000001,-0.37558821262376135,-1.9378753353916462
0.16800000000000001,-0.37945666755507307,-1.9305726433715786
0.17000000000000001,-0.3833105770999341,-1.9233313796249545
0.17200000000000001,-0.38715006263587814,-1.916151747266708
0.17400000000000002,-0.39097524527849403,-1.9090339107175587
0.17599999999999999,-0.39478625805862061,-1.9019777989379478
0.17799999999999999,-0.39858322366579152,-1.894983469389613
0.17999999999999999,-0.40236626192731956,-1.8880509877746943
0.182,-0.40613549564502405,-1.8811803345193798
0.184,-0.40989104713571539,-1.8743714626398837
0.186,-0.41363303808900725,-1.867624301588207
0.188,-0.41736159833807385,-1.8609385634608111
0.19,-0.4210768514193769,-1.8543140638925222
0.192,-0.42477891624088038,-1.8477506857581287
0.19400000000000001,-0.42846791426347947,-1.8412482206230931
0.19600000000000001,-0.43214396619845186,-1.8348064426676962
0.19800000000000001,-0.43580719190506406,-1.82842511165042
0.20000000000000001,-0.43945771611831325,-1.8221038345100515
0.20200000000000001,-0.44309566025471325,-1.8158422645286452
